,Unnamed: 0,Name,Code,Province
0,0,Buffalo City Metropolitan Municipality,BUF,Eastern Cape
1,1,City of Cape Town Metropolitan Municipality,CPT,Western Cape
2,2,City of Johannesburg Metropolitan Municipality,JHB,Gauteng
3,3,City of Tshwane Metropolitan Municipality,TSH,Gauteng
4,4,Ekurhuleni Metropolitan Municipality,EKU,Gauteng
5,5,eThekwini Metropolitan Municipality,ETH,KwaZulu-Natal
6,6,Mangaung Metropolitan Municipality,MAN,Free State
7,7,Nelson Mandela Bay Metropolitan Municipality,NMA,Eastern Cape
8,8,Alfred Nzo District Municipality,DC44,Eastern Cape
9,9,Amajuba District Municipality,DC25,KwaZulu-Natal
10,10,Amathole District Municipality,DC12,Eastern Cape
11,11,Bojanala District Municipality,DC37,North West
12,13,Cape Winelands District Municipality,DC02 !DC2,Western Cape
13,14,Capricorn District Municipality,DC35,Limpopo
14,15,Central Karoo District Municipality,DC05 !DC5,Western Cape
15,16,Chris Hani District Municipality,DC13,Eastern Cape
16,20,Dr Kenneth Kaunda District Municipality,DC40,North West
17,21,Dr Ruth Segomotsi Mompati District Municipality,DC39,North West
18,22,Eden District Municipality,DC04 !DC4,Western Cape
19,23,Ehlanzeni District Municipality,DC32,Mpumalanga
20,26,Fezile Dabi District Municipality,DC20,Free State
21,27,Frances Baard District Municipality,DC09 !DC9,Northern Cape
22,28,Gert Sibande District Municipality,DC30,Mpumalanga
23,29,Harry Gwala District Municipality,DC43,KwaZulu-Natal
24,30,iLembe District Municipality,DC29,KwaZulu-Natal
25,31,Joe Gqabi District Municipality,DC14,Eastern Cape
26,32,John Taolo Gaetsewe District Municipality,DC45,Northern Cape
27,33,King Cetshwayo District Municipality,DC28,KwaZulu-Natal
28,34,Lejweleputswa District Municipality,DC18,Free State
29,36,Mopani District Municipality,DC33,Limpopo
30,37,Namakwa District Municipality,DC06 !DC6,Northern Cape
31,39,Ngaka Modiri Molema District Municipality,DC38,North West
32,40,Nkangala District Municipality,DC31,Mpumalanga
33,41,OR Tambo District Municipality,DC15,Eastern Cape
34,42,Overberg District Municipality,DC03 !DC3,Western Cape
35,43,Pixley ka Seme District Municipality,DC07 !DC7,Northern Cape
36,44,Sarah Baartman District Municipality,DC10,Eastern Cape
37,45,Sedibeng District Municipality,DC42,Gauteng
38,46,Sekhukhune District Municipality,DC47,Limpopo
39,47,Thabo Mofutsanyana District Municipality,DC19,Free State
40,48,Ugu District Municipality,DC21,KwaZulu-Natal
41,49,uMgungundlovu District Municipality,DC22,KwaZulu-Natal
42,50,uMkhanyakude District Municipality,DC27,KwaZulu-Natal
43,51,uMzinyathi District Municipality,DC24,KwaZulu-Natal
44,52,uThukela District Municipality,DC23,KwaZulu-Natal
45,53,Vhembe District Municipality,DC34,Limpopo
46,54,Waterberg District Municipality,DC36,Limpopo
47,55,West Coast District Municipality,DC01 !DC1,Western Cape
48,56,West Rand District Municipality,DC48,Gauteng
49,57,Xhariep District Municipality,DC16,Free State
50,58,ZF Mgcawu District Municipality,DC08 !DC8,Northern Cape
51,59,Zululand District Municipality,DC26,KwaZulu-Natal
52,60,Abaqulusi Local Municipality,KZN263,KwaZulu-Natal
53,61,Albert Luthuli Local Municipality,MP301,Mpumalanga
54,62,Alfred Duma Local Municipality,KZN238,KwaZulu-Natal
55,63,Amahlathi Local Municipality,EC124,Eastern Cape
56,64,Ba-Phalaborwa Local Municipality,LIM334,Limpopo
57,65,Beaufort West Local Municipality,WC053,Western Cape
58,66,Bela-Bela Local Municipality,LIM366,Limpopo
59,67,Bergrivier Local Municipality,WC013,Western Cape
60,68,Big Five Hlabisa Local Municipality,KZN276,KwaZulu-Natal
61,69,Bitou Local Municipality,WC047,Western Cape
62,70,Blouberg Local Municipality,LIM351,Limpopo
63,71,Blue Crane Route Local Municipality,EC102,Eastern Cape
64,72,Breede Valley Local Municipality,WC025,Western Cape
65,74,Bushbuckridge Local Municipality,MP325,Mpumalanga
66,75,Cape Agulhas Local Municipality,WC033,Western Cape
67,76,Cederberg Local Municipality,WC012,Western Cape
68,79,City of Matlosana Local Municipality,NW403,North West
69,81,Collins Chabane Local Municipality,LIM345,Limpopo
70,82,Dannhauser Local Municipality,KZN254,KwaZulu-Natal
71,83,Dawid Kruiper Local Municipality,NC087,Northern Cape
72,84,Dihlabeng Local Municipality,FS192,Free State
73,85,Dikgatlong Local Municipality,NC092,Northern Cape
74,86,Dipaleseng Local Municipality,MP306,Mpumalanga
75,87,Ditsobotla Local Municipality,NW384,North West
76,88,Dr Beyers Naud̩ Local Municipality,EC101,Eastern Cape
77,89,Dr JS Moroka Local Municipality,MP316,Mpumalanga
78,90,Dr Nkosazana Dlamini Zuma Local Municipality,KZN436,KwaZulu-Natal
79,91,Drakenstein Local Municipality,WC023,Western Cape
80,92,eDumbe Local Municipality,KZN261,KwaZulu-Natal
81,94,Elias Motsoaledi Local Municipality,LIM472,Limpopo
82,95,Elundini Local Municipality,EC141,Eastern Cape
83,96,eMadlangeni Local Municipality,KZN253,KwaZulu-Natal
84,97,Emakhazeni Local Municipality,MP314,Mpumalanga
85,98,Emalahleni Local Municipality,EC136,Eastern Cape
86,99,Emalahleni Local Municipality,MP312,Mpumalanga
87,100,Emfuleni Local Municipality,GT421,Gauteng
88,101,Emthanjeni Local Municipality,NC073,Northern Cape
89,102,Endumeni Local Municipality,KZN241,KwaZulu-Natal
90,103,Engcobo Local Municipality,EC137,Eastern Cape
91,104,Enoch Mgijima Local Municipality,EC139,Eastern Cape
92,105,Ephraim Mogale Local Municipality,LIM471,Limpopo
93,107,Fetakgomo/Greater Tubatse Local Municipality,LIM476,Limpopo
94,108,Ga-Segonyana Local Municipality,NC452,Northern Cape
95,109,Gamagara Local Municipality,NC453,Northern Cape
96,110,George Local Municipality,WC044,Western Cape
97,111,Govan Mbeki Local Municipality,MP307,Mpumalanga
98,112,Great Kei Local Municipality,EC123,Eastern Cape
99,113,Greater Giyani Local Municipality,LIM331,Limpopo
100,114,Greater Kokstad Local Municipality,KZN433,KwaZulu-Natal
101,115,Greater Letaba Local Municipality,LIM332,Limpopo
102,116,Greater Taung Local Municipality,NW394,North West
103,117,Greater Tzaneen Local Municipality,LIM333,Limpopo
104,118,Hantam Local Municipality,NC065,Northern Cape
105,119,Hessequa Local Municipality,WC042,Western Cape
106,120,Impendle Local Municipality,KZN224,KwaZulu-Natal
107,121,Ingquza Hill Local Municipality,EC153,Eastern Cape
108,122,Inkosi Langalibalele Local Municipality,KZN237,KwaZulu-Natal
109,123,Intsika Yethu Local Municipality,EC135,Eastern Cape
110,124,Inxuba Yethemba Local Municipality,EC131,Eastern Cape
111,125,JB Marks Local Municipality,NW405,North West
112,126,Joe Morolong Local Municipality,NC451,Northern Cape
113,127,Jozini Local Municipality,KZN272,KwaZulu-Natal
114,128,Kagisano-Molopo Local Municipality,NW397,North West
115,129,Kai��!Garib Local Municipality,NC082,Northern Cape
116,130,Kamiesberg Local Municipality,NC064,Northern Cape
117,131,Kannaland Local Municipality,WC041,Western Cape
118,132,Kareeberg Local Municipality,NC074,Northern Cape
119,133,Karoo Hoogland Local Municipality,NC066,Northern Cape
120,134,Kgatelopele Local Municipality,NC086,Northern Cape
121,135,Kgetlengrivier Local Municipality,NW374,North West
122,136,Kh̢i-Ma Local Municipality,NC067,Northern Cape
123,137,!Kheis Local Municipality,NC084,Northern Cape
124,138,King Sabata Dalindyebo Local Municipality,EC157,Eastern Cape
125,139,Knysna Local Municipality,WC048,Western Cape
126,140,Kopanong Local Municipality,FS162,Free State
127,141,Kou-Kamma Local Municipality,EC109,Eastern Cape
128,142,Kouga Local Municipality,EC108,Eastern Cape
129,143,KwaDukuza Local Municipality,KZN292,KwaZulu-Natal
130,144,Laingsburg Local Municipality,WC051,Western Cape
131,145,Langeberg Local Municipality,WC026,Western Cape
132,146,Lekwa Local Municipality,MP305,Mpumalanga
133,147,Lekwa-Teemane Local Municipality,NW396,North West
134,148,Lepelle-Nkumpi Local Municipality,LIM355,Limpopo
135,149,Lephalale Local Municipality,LIM362,Limpopo
136,150,Lesedi Local Municipality,GT423,Gauteng
137,151,Letsemeng Local Municipality,FS161,Free State
138,152,Madibeng Local Municipality,NW372,North West
139,153,Mafube Local Municipality,FS205,Free State
140,154,Magareng Local Municipality,NC093,Northern Cape
141,155,Mahikeng Local Municipality,NW383,North West
142,156,Makana Local Municipality,EC104,Eastern Cape
143,157,Makhado Local Municipality,LIM344,Limpopo
144,158,Makhuduthamaga Local Municipality,LIM473,Limpopo
145,159,Maluti-a-Phofung Local Municipality,FS194,Free State
146,160,Mamusa Local Municipality,NW393,North West
147,161,Mandeni Local Municipality,KZN291,KwaZulu-Natal
148,163,Mantsopa Local Municipality,FS196,Free State
149,164,Maphumulo Local Municipality,KZN294,KwaZulu-Natal
