,mun_name,mun_code,account_type,label,total_amount
2013,AUDA,BUF,Buffalo City,Total,404009112
2013,AUDA,DC1,West Coast,Total,29983600
2013,AUDA,DC10,Cacadu,Total,0
2013,AUDA,DC12,Amathole,Total,-65629594
2013,AUDA,DC13,Chris Hani,Total,187691980
2013,AUDA,DC14,Joe Gqabi,Total,42799743
2013,AUDA,DC15,O.R.Tambo,Total,199982939
2013,AUDA,DC16,Xhariep,Total,5754722
2013,AUDA,DC18,Lejweleputswa,Total,8044383
2013,AUDA,DC19,Thabo Mofutsanyane,Total,25309749
2013,AUDA,DC2,Cape Winelands,Total,1903324
2013,AUDA,DC20,Fezile Dabi,Total,0
2013,AUDA,DC21,Ugu,Total,129654518
2013,AUDA,DC22,Umgungundlovu,Total,30817714
2013,AUDA,DC23,Uthukela,Total,64472480
2013,AUDA,DC24,Umzinyathi,Total,54065076
2013,AUDA,DC25,Amajuba,Total,44785259
2013,AUDA,DC26,Zululand,Total,72148018
2013,AUDA,DC27,Umkhanyakude,Total,29113311
2013,AUDA,DC28,Uthungulu,Total,29846958
2013,AUDA,DC29,iLembe,Total,42252572
2013,AUDA,DC3,Overberg,Total,1221210
2013,AUDA,DC30,Gert Sibande,Total,55790942
2013,AUDA,DC31,Nkangala,Total,25740482
2013,AUDA,DC32,Ehlanzeni,Total,16347748
2013,AUDA,DC33,Mopani,Total,527911191
2013,AUDA,DC35,Capricorn,Total,222091149
2013,AUDA,DC36,Waterberg,Total,8183514
2013,AUDA,DC37,Bojanala,Total,19920283
2013,AUDA,DC4,Eden,Total,45332193
2013,AUDA,DC40,Dr Kenneth Kaunda,Total,32334681
2013,AUDA,DC42,Sedibeng,Total,47095145
2013,AUDA,DC43,Harry Gwala,Total,68771331
2013,AUDA,DC44,Alfred Nzo,Total,3515
2013,AUDA,DC47,Sekhukhune,Total,116412702
2013,AUDA,DC48,West Rand,Total,23535361
2013,AUDA,DC5,Central Karoo,Total,5002073
2013,AUDA,DC7,Pixley ka Seme,Total,13703333
2013,AUDA,DC9,Frances Baard,Total,4171424
2013,AUDA,EC101,Dr Beyers Naude,Total,7116563
2013,AUDA,EC102,Blue Crane Route,Total,16748460
2013,AUDA,EC103,Ikwezi,Total,4879313
2013,AUDA,EC104,Makana,Total,28643751
2013,AUDA,EC106,Sundays River Valley,Total,16785419
2013,AUDA,EC107,Baviaans,Total,13009716
2013,AUDA,EC108,Kouga,Total,106705228
2013,AUDA,EC109,Kou-Kamma,Total,6391236
2013,AUDA,EC121,Mbhashe,Total,9360003
2013,AUDA,EC122,Mnquma,Total,7873659
2013,AUDA,EC123,Great Kei,Total,8241488
2013,AUDA,EC124,Amahlathi,Total,7201897
2013,AUDA,EC126,Ngqushwa,Total,8187024
2013,AUDA,EC128,Nxuba,Total,13626140
2013,AUDA,EC131,Inxuba Yethemba,Total,49249552
2013,AUDA,EC132,Tsolwana,Total,1550322
2013,AUDA,EC133,Inkwanca,Total,17943470
2013,AUDA,EC134,Lukanji,Total,3933694
2013,AUDA,EC135,Intsika Yethu,Total,24398566
2013,AUDA,EC136,Emalahleni,Total,6800439
2013,AUDA,EC137,Engcobo,Total,7556748
2013,AUDA,EC138,Sakhisizwe,Total,6845138
2013,AUDA,EC141,Elundini,Total,19924799
2013,AUDA,EC142,Senqu,Total,1644785
2013,AUDA,EC143,Maletswai,Total,36406088
2013,AUDA,EC144,Gariep,Total,2893732
2013,AUDA,EC155,Nyandeni,Total,7018939
2013,AUDA,EC157,King Sabata Dalindyebo,Total,376760934
2013,AUDA,EC441,Matatiele,Total,11987061
2013,AUDA,EC442,Umzimvubu,Total,13875535
2013,AUDA,EC443,Mbizana,Total,19952825
2013,AUDA,EC444,Ntabankulu,Total,6045827
2013,AUDA,EKU,Ekurhuleni,Total,1718331711
2013,AUDA,FS162,Kopanong,Total,64527596
2013,AUDA,FS181,Masilonyana,Total,9892127
2013,AUDA,FS183,Tswelopele,Total,16477308
2013,AUDA,FS184,Matjhabeng,Total,798800649
2013,AUDA,FS191,Setsoto,Total,18063134
2013,AUDA,FS192,Dihlabeng,Total,169234320
2013,AUDA,FS194,Maluti a Phofung,Total,64879080
2013,AUDA,FS195,Phumelela,Total,40528374
