,demarcation.label,demarcation.code,amount_type.code,item.label,amount.sum
2013,Buffalo City,BUF,AUDA,COMMUNITY WEALTH / EQUITY,0
2013,Buffalo City,BUF,AUDA,Community Wealth,0
2013,Buffalo City,BUF,AUDA,Housing Development Fund,0
2013,Buffalo City,BUF,AUDA,Reserves,2415540000
2013,Buffalo City,BUF,AUDA,Accumulated Surplus/(Deficit),8393971000
2013,Buffalo City,BUF,AUDA,Minorities Interests,0
2013,Buffalo City,BUF,AUDA,Total Community Wealth / Equity,10809511000
2013,Buffalo City,BUF,AUDA,Non-Current Liabilities,0
2013,Buffalo City,BUF,AUDA,Borrowing,600830000
2013,Buffalo City,BUF,AUDA,Non-Current Provisions,377703000
2013,Buffalo City,BUF,AUDA,Total Non-Current Liabilities,978533000
2013,Buffalo City,BUF,AUDA,Current Liabilities,0
2013,Buffalo City,BUF,AUDA,Consumer Deposits,45519000
2013,Buffalo City,BUF,AUDA,Provisions,131340000
2013,Buffalo City,BUF,AUDA,Creditors,583163000
2013,Buffalo City,BUF,AUDA,Conditional Grants and Receipts,450148000
2013,Buffalo City,BUF,AUDA,Bank Overdraft,0
2013,Buffalo City,BUF,AUDA,Borrowing,51657000
2013,Buffalo City,BUF,AUDA,Total Current Liabilities,1261827000
2013,Buffalo City,BUF,AUDA,Total Net Assets and Liabilities,13049871000
2013,Buffalo City,BUF,AUDA,ASSETS,0
2013,Buffalo City,BUF,AUDA,Non-Current Assets,0
2013,Buffalo City,BUF,AUDA,Property Plant and Equipment,10108484000
2013,Buffalo City,BUF,AUDA,Non-Current Investments,892000
2013,Buffalo City,BUF,AUDA,Long-term Receivables,43000
2013,Buffalo City,BUF,AUDA,Investment Property,302981000
2013,Buffalo City,BUF,AUDA,Investment in Associate,5326000
2013,Buffalo City,BUF,AUDA,Agricultural,0
2013,Buffalo City,BUF,AUDA,Biological,0
2013,Buffalo City,BUF,AUDA,Intangible,3851000
2013,Buffalo City,BUF,AUDA,Other Non-Current Assets,61816000
2013,Buffalo City,BUF,AUDA,Total Non-Current Assets,10483393000
2013,Buffalo City,BUF,AUDA,Current Assets,0
2013,Buffalo City,BUF,AUDA,Call Investment Deposits,1698468000
2013,Buffalo City,BUF,AUDA,Inventory,59365000
