,mun_name,mun_code,account_type,label,total_amount
2013,AUDA,BUF,Buffalo City,Bulk Electricity,65656286.0
2013,AUDA,BUF,Buffalo City,Bulk Water,10601718.0
2013,AUDA,BUF,Buffalo City,PAYE deductions,8912032.0
2013,AUDA,BUF,Buffalo City,VAT (output less input),0.0
2013,AUDA,BUF,Buffalo City,Pensions / Retirement deductions,13018652.0
2013,AUDA,BUF,Buffalo City,Loan repayments,27102086.0
2013,AUDA,BUF,Buffalo City,Trade Creditors,145937497.0
2013,AUDA,BUF,Buffalo City,Auditor General,109148.0
2013,AUDA,BUF,Buffalo City,Other,132671693.0
2013,AUDA,BUF,Buffalo City,Total,404009112.0
2013,AUDA,DC1,West Coast,Bulk Electricity,0.0
2013,AUDA,DC1,West Coast,Bulk Water,0.0
2013,AUDA,DC1,West Coast,PAYE deductions,0.0
2013,AUDA,DC1,West Coast,VAT (output less input),138459.0
2013,AUDA,DC1,West Coast,Pensions / Retirement deductions,0.0
2013,AUDA,DC1,West Coast,Loan repayments,0.0
2013,AUDA,DC1,West Coast,Trade Creditors,29845141.0
2013,AUDA,DC1,West Coast,Auditor General,0.0
2013,AUDA,DC1,West Coast,Other,0.0
2013,AUDA,DC1,West Coast,Total,29983600.0
2013,AUDA,DC10,Cacadu,Bulk Electricity,0.0
2013,AUDA,DC10,Cacadu,Bulk Water,0.0
2013,AUDA,DC10,Cacadu,PAYE deductions,0.0
2013,AUDA,DC10,Cacadu,VAT (output less input),0.0
2013,AUDA,DC10,Cacadu,Pensions / Retirement deductions,0.0
2013,AUDA,DC10,Cacadu,Loan repayments,0.0
2013,AUDA,DC10,Cacadu,Trade Creditors,0.0
2013,AUDA,DC10,Cacadu,Auditor General,0.0
2013,AUDA,DC10,Cacadu,Other,0.0
2013,AUDA,DC10,Cacadu,Total,0.0
2013,AUDA,DC12,Amathole,Bulk Electricity,0.0
2013,AUDA,DC12,Amathole,Bulk Water,0.0
2013,AUDA,DC12,Amathole,PAYE deductions,0.0
2013,AUDA,DC12,Amathole,VAT (output less input),0.0
2013,AUDA,DC12,Amathole,Pensions / Retirement deductions,0.0
2013,AUDA,DC12,Amathole,Loan repayments,0.0
2013,AUDA,DC12,Amathole,Trade Creditors,0.0
2013,AUDA,DC12,Amathole,Auditor General,0.0
2013,AUDA,DC12,Amathole,Other,-65629594.0
2013,AUDA,DC12,Amathole,Total,-65629594.0
2013,AUDA,DC13,Chris Hani,Bulk Electricity,0.0
2013,AUDA,DC13,Chris Hani,Bulk Water,0.0
2013,AUDA,DC13,Chris Hani,PAYE deductions,0.0
2013,AUDA,DC13,Chris Hani,VAT (output less input),0.0
2013,AUDA,DC13,Chris Hani,Pensions / Retirement deductions,0.0
2013,AUDA,DC13,Chris Hani,Loan repayments,0.0
2013,AUDA,DC13,Chris Hani,Trade Creditors,0.0
2013,AUDA,DC13,Chris Hani,Auditor General,0.0
2013,AUDA,DC13,Chris Hani,Other,187691980.0
2013,AUDA,DC13,Chris Hani,Total,187691980.0
2013,AUDA,DC14,Joe Gqabi,Bulk Electricity,0.0
2013,AUDA,DC14,Joe Gqabi,Bulk Water,0.0
2013,AUDA,DC14,Joe Gqabi,PAYE deductions,0.0
2013,AUDA,DC14,Joe Gqabi,VAT (output less input),0.0
2013,AUDA,DC14,Joe Gqabi,Pensions / Retirement deductions,0.0
2013,AUDA,DC14,Joe Gqabi,Loan repayments,0.0
2013,AUDA,DC14,Joe Gqabi,Trade Creditors,27240551.0
2013,AUDA,DC14,Joe Gqabi,Auditor General,0.0
2013,AUDA,DC14,Joe Gqabi,Other,15559192.0
2013,AUDA,DC14,Joe Gqabi,Total,42799743.0
2013,AUDA,DC15,O.R.Tambo,Bulk Electricity,0.0
2013,AUDA,DC15,O.R.Tambo,Bulk Water,89469187.0
2013,AUDA,DC15,O.R.Tambo,PAYE deductions,0.0
2013,AUDA,DC15,O.R.Tambo,VAT (output less input),0.0
2013,AUDA,DC15,O.R.Tambo,Pensions / Retirement deductions,0.0
2013,AUDA,DC15,O.R.Tambo,Loan repayments,0.0
2013,AUDA,DC15,O.R.Tambo,Trade Creditors,110513752.0
2013,AUDA,DC15,O.R.Tambo,Auditor General,0.0
2013,AUDA,DC15,O.R.Tambo,Other,0.0
2013,AUDA,DC15,O.R.Tambo,Total,199982939.0
2013,AUDA,DC16,Xhariep,Bulk Electricity,0.0
2013,AUDA,DC16,Xhariep,Bulk Water,0.0
2013,AUDA,DC16,Xhariep,PAYE deductions,0.0
2013,AUDA,DC16,Xhariep,VAT (output less input),0.0
2013,AUDA,DC16,Xhariep,Pensions / Retirement deductions,0.0
2013,AUDA,DC16,Xhariep,Loan repayments,0.0
2013,AUDA,DC16,Xhariep,Trade Creditors,2609630.0
2013,AUDA,DC16,Xhariep,Auditor General,0.0
2013,AUDA,DC16,Xhariep,Other,3145092.0
2013,AUDA,DC16,Xhariep,Total,5754722.0
2013,AUDA,DC18,Lejweleputswa,Bulk Electricity,0.0
2013,AUDA,DC18,Lejweleputswa,Bulk Water,0.0
2013,AUDA,DC18,Lejweleputswa,PAYE deductions,0.0
2013,AUDA,DC18,Lejweleputswa,VAT (output less input),0.0
2013,AUDA,DC18,Lejweleputswa,Pensions / Retirement deductions,0.0
2013,AUDA,DC18,Lejweleputswa,Loan repayments,1585085.0
2013,AUDA,DC18,Lejweleputswa,Trade Creditors,1042967.0
2013,AUDA,DC18,Lejweleputswa,Auditor General,0.0
2013,AUDA,DC18,Lejweleputswa,Other,5416331.0
2013,AUDA,DC18,Lejweleputswa,Total,8044383.0
2013,AUDA,DC19,Thabo Mofutsanyane,Bulk Electricity,0.0
2013,AUDA,DC19,Thabo Mofutsanyane,Bulk Water,0.0
