,mun_name,mun_code,account_type,label,total_amount,Province
2013,Buffalo City,BUF,AUDA,Total By Income Source,1088904619,Eastern Cape
2013,Buffalo City,BUF,AUDA,Total By Customer Group,1088904618,Eastern Cape
2013,City of Cape Town,CPT,AUDA,Total By Income Source,6135323585,Western Cape
2013,City of Cape Town,CPT,AUDA,Total By Customer Group,6135323583,Western Cape
2013,West Coast,DC1,AUDA,Total By Income Source,7511253,Western Cape
2013,West Coast,DC1,AUDA,Total By Customer Group,7511253,Western Cape
2013,Cacadu,DC10,AUDA,Total By Income Source,22305346,Eastern Cape
2013,Cacadu,DC10,AUDA,Total By Customer Group,22305346,Eastern Cape
2013,Amathole,DC12,AUDA,Total By Income Source,368143463,Eastern Cape
2013,Amathole,DC12,AUDA,Total By Customer Group,368143463,Eastern Cape
2013,Chris Hani,DC13,AUDA,Total By Income Source,192686073,Eastern Cape
2013,Chris Hani,DC13,AUDA,Total By Customer Group,192686073,Eastern Cape
2013,Joe Gqabi,DC14,AUDA,Total By Income Source,24733476,Eastern Cape
2013,Joe Gqabi,DC14,AUDA,Total By Customer Group,24733476,Eastern Cape
2013,O.R.Tambo,DC15,AUDA,Total By Income Source,44932869,Eastern Cape
2013,O.R.Tambo,DC15,AUDA,Total By Customer Group,44932869,Eastern Cape
2013,Xhariep,DC16,AUDA,Total By Income Source,2652823,Free State
2013,Xhariep,DC16,AUDA,Total By Customer Group,2652823,Free State
2013,Lejweleputswa,DC18,AUDA,Total By Income Source,1557206,Free State
2013,Lejweleputswa,DC18,AUDA,Total By Customer Group,1557206,Free State
2013,Thabo Mofutsanyane,DC19,AUDA,Total By Income Source,3465234,Free State
2013,Thabo Mofutsanyane,DC19,AUDA,Total By Customer Group,3465234,Free State
2013,Cape Winelands,DC2,AUDA,Total By Income Source,128226,Western Cape
2013,Cape Winelands,DC2,AUDA,Total By Customer Group,128226,Western Cape
2013,Fezile Dabi,DC20,AUDA,Total By Income Source,0,Free State
2013,Fezile Dabi,DC20,AUDA,Total By Customer Group,0,Free State
2013,Ugu,DC21,AUDA,Total By Income Source,192964409,KwaZulu-Natal
2013,Ugu,DC21,AUDA,Total By Customer Group,192964409,KwaZulu-Natal
2013,Umgungundlovu,DC22,AUDA,Total By Income Source,300639467,KwaZulu-Natal
2013,Umgungundlovu,DC22,AUDA,Total By Customer Group,300639467,KwaZulu-Natal
2013,Umzinyathi,DC24,AUDA,Total By Income Source,175035387,KwaZulu-Natal
2013,Umzinyathi,DC24,AUDA,Total By Customer Group,175035387,KwaZulu-Natal
2013,Amajuba,DC25,AUDA,Total By Income Source,64385,KwaZulu-Natal
2013,Amajuba,DC25,AUDA,Total By Customer Group,64385,KwaZulu-Natal
2013,Zululand,DC26,AUDA,Total By Income Source,60597865,KwaZulu-Natal
2013,Zululand,DC26,AUDA,Total By Customer Group,60597865,KwaZulu-Natal
2013,Umkhanyakude,DC27,AUDA,Total By Income Source,14037124,KwaZulu-Natal
2013,Umkhanyakude,DC27,AUDA,Total By Customer Group,14037124,KwaZulu-Natal
2013,Uthungulu,DC28,AUDA,Total By Income Source,46489460,KwaZulu-Natal
2013,Uthungulu,DC28,AUDA,Total By Customer Group,46489460,KwaZulu-Natal
2013,iLembe,DC29,AUDA,Total By Income Source,146717363,KwaZulu-Natal
2013,iLembe,DC29,AUDA,Total By Customer Group,146717363,KwaZulu-Natal
2013,Overberg,DC3,AUDA,Total By Income Source,2618892,Western Cape
2013,Overberg,DC3,AUDA,Total By Customer Group,2618892,Western Cape
2013,Gert Sibande,DC30,AUDA,Total By Income Source,14000863,Mpumalanga
2013,Gert Sibande,DC30,AUDA,Total By Customer Group,14000863,Mpumalanga
2013,Nkangala,DC31,AUDA,Total By Income Source,22385917,Mpumalanga
2013,Nkangala,DC31,AUDA,Total By Customer Group,22385917,Mpumalanga
2013,Ehlanzeni,DC32,AUDA,Total By Income Source,4014219,Mpumalanga
2013,Ehlanzeni,DC32,AUDA,Total By Customer Group,4014219,Mpumalanga
2013,Mopani,DC33,AUDA,Total By Income Source,569520638,Limpopo
2013,Mopani,DC33,AUDA,Total By Customer Group,569520638,Limpopo
