,total_amount,account_type,mun_code,mun_name,label,Province
2013,263701937.0,AUDA,BUF,Buffalo City,Total Repairs and Maintenance Expenditure,Eastern Cape
2013,2756428540.0,AUDA,CPT,City of Cape Town,Total Repairs and Maintenance Expenditure,Western Cape
2013,25881665.0,AUDA,DC1,West Coast,Total Repairs and Maintenance Expenditure,Western Cape
2013,388129.0,AUDA,DC10,Cacadu,Total Repairs and Maintenance Expenditure,Eastern Cape
2013,0.0,AUDA,DC12,Amathole,Total Repairs and Maintenance Expenditure,Eastern Cape
2013,1746150.0,AUDA,DC13,Chris Hani,Total Repairs and Maintenance Expenditure,Eastern Cape
2013,0.0,AUDA,DC14,Joe Gqabi,Total Repairs and Maintenance Expenditure,Eastern Cape
2013,62150058.0,AUDA,DC15,O.R.Tambo,Total Repairs and Maintenance Expenditure,Eastern Cape
2013,1271312.0,AUDA,DC16,Xhariep,Total Repairs and Maintenance Expenditure,Free State
2013,500000.0,AUDA,DC18,Lejweleputswa,Total Repairs and Maintenance Expenditure,Free State
2013,0.0,AUDA,DC19,Thabo Mofutsanyane,Total Repairs and Maintenance Expenditure,Free State
2013,0.0,AUDA,DC2,Cape Winelands,Total Repairs and Maintenance Expenditure,Western Cape
2013,747650.0,AUDA,DC20,Fezile Dabi,Total Repairs and Maintenance Expenditure,Free State
2013,11200295.0,AUDA,DC21,Ugu,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,114969083.0,AUDA,DC22,Umgungundlovu,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,13477000.0,AUDA,DC23,Uthukela,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,5884349.0,AUDA,DC24,Umzinyathi,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,1030871.0,AUDA,DC25,Amajuba,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,38258583.0,AUDA,DC26,Zululand,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,0.0,AUDA,DC27,Umkhanyakude,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,43985000.0,AUDA,DC28,Uthungulu,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,0.0,AUDA,DC29,iLembe,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,7782286.0,AUDA,DC3,Overberg,Total Repairs and Maintenance Expenditure,Western Cape
2013,0.0,AUDA,DC30,Gert Sibande,Total Repairs and Maintenance Expenditure,Mpumalanga
2013,35519811.0,AUDA,DC31,Nkangala,Total Repairs and Maintenance Expenditure,Mpumalanga
2013,0.0,AUDA,DC32,Ehlanzeni,Total Repairs and Maintenance Expenditure,Mpumalanga
2013,85225709.0,AUDA,DC33,Mopani,Total Repairs and Maintenance Expenditure,Limpopo
2013,0.0,AUDA,DC34,Vhembe,Total Repairs and Maintenance Expenditure,Limpopo
2013,3864702.0,AUDA,DC35,Capricorn,Total Repairs and Maintenance Expenditure,Limpopo
2013,0.0,AUDA,DC36,Waterberg,Total Repairs and Maintenance Expenditure,Limpopo
2013,2903000.0,AUDA,DC37,Bojanala,Total Repairs and Maintenance Expenditure,North West
2013,0.0,AUDA,DC38,Ngaka Modiri Molema,Total Repairs and Maintenance Expenditure,North West
2013,1735498.0,AUDA,DC39,Dr Ruth Segomotsi Mompati,Total Repairs and Maintenance Expenditure,North West
2013,2957000.0,AUDA,DC4,Eden,Total Repairs and Maintenance Expenditure,Western Cape
2013,902095.0,AUDA,DC40,Dr Kenneth Kaunda,Total Repairs and Maintenance Expenditure,North West
2013,4813629.0,AUDA,DC42,Sedibeng,Total Repairs and Maintenance Expenditure,Gauteng
2013,22806551.0,AUDA,DC43,Harry Gwala,Total Repairs and Maintenance Expenditure,KwaZulu-Natal
2013,0.0,AUDA,DC44,Alfred Nzo,Total Repairs and Maintenance Expenditure,Eastern Cape
2013,0.0,AUDA,DC45,John Taolo Gaetsewe,Total Repairs and Maintenance Expenditure,Northern Cape
2013,0.0,AUDA,DC47,Sekhukhune,Total Repairs and Maintenance Expenditure,Limpopo
2013,2229000.0,AUDA,DC48,West Rand,Total Repairs and Maintenance Expenditure,Gauteng
2013,0.0,AUDA,DC5,Central Karoo,Total Repairs and Maintenance Expenditure,Western Cape
2013,0.0,AUDA,DC6,Namakwa,Total Repairs and Maintenance Expenditure,Northern Cape
2013,0.0,AUDA,DC7,Pixley ka Seme,Total Repairs and Maintenance Expenditure,Northern Cape
2013,0.0,AUDA,DC8,Z F Mgcawu,Total Repairs and Maintenance Expenditure,Northern Cape
2013,2569405.0,AUDA,DC9,Frances Baard,Total Repairs and Maintenance Expenditure,Northern Cape
