,total_amount,account_type,mun_code,mun_name,label
2013,0,AUDA,BUF,Buffalo City,Cash Receipts by Source
2013,580100409,AUDA,BUF,Buffalo City,Property rates
2013,0,AUDA,BUF,Buffalo City,Property rates - penalties & collection charges
2013,1266659640,AUDA,BUF,Buffalo City,Service charges - electricity revenue
2013,271026418,AUDA,BUF,Buffalo City,Service charges - water revenue
2013,223023307,AUDA,BUF,Buffalo City,Service charges - sanitation revenue
2013,198898045,AUDA,BUF,Buffalo City,Service charges - refuse revenue
2013,5451854,AUDA,BUF,Buffalo City,Service charges - other
2013,15485474,AUDA,BUF,Buffalo City,Rental of facilities and equipment
2013,83980184,AUDA,BUF,Buffalo City,Interest earned - external investments
2013,22204094,AUDA,BUF,Buffalo City,Interest earned - outstanding debtors
2013,0,AUDA,BUF,Buffalo City,Dividends received
2013,5979206,AUDA,BUF,Buffalo City,Fines
2013,15299244,AUDA,BUF,Buffalo City,Licences and permits
2013,0,AUDA,BUF,Buffalo City,Agency services
2013,723456797,AUDA,BUF,Buffalo City,Transfer receipts - operational
2013,250897958,AUDA,BUF,Buffalo City,Other revenue
2013,3662462630,AUDA,BUF,Buffalo City,Cash Receipts by Source
2013,0,AUDA,BUF,Buffalo City,Other Cash Flows/Receipts by Source
2013,506406416,AUDA,BUF,Buffalo City,Transfer receipts - capital
2013,0,AUDA,BUF,Buffalo City,Contributions recognised - capital & Contributed assets
2013,18167786,AUDA,BUF,Buffalo City,Proceeds on disposal of PPE
2013,0,AUDA,BUF,Buffalo City,Short term loans
2013,-278942818,AUDA,BUF,Buffalo City,Borrowing long term/refinancing
2013,8599372,AUDA,BUF,Buffalo City,Increase (decrease) in consumer deposits
2013,0,AUDA,BUF,Buffalo City,Decrease (Increase) in non-current debtors
2013,13098,AUDA,BUF,Buffalo City,Decrease (increase) other non-current receivables
2013,-35634,AUDA,BUF,Buffalo City,Decrease (increase) in non-current investments
2013,3916670850,AUDA,BUF,Buffalo City,Total Cash Receipts by Source
2013,0,AUDA,BUF,Buffalo City,Cash Payments by Type
2013,982560038,AUDA,BUF,Buffalo City,Employee related costs
2013,43331310,AUDA,BUF,Buffalo City,Remuneration of councillors
2013,0,AUDA,BUF,Buffalo City,Collection costs
2013,67258679,AUDA,BUF,Buffalo City,Interest paid
2013,900088648,AUDA,BUF,Buffalo City,Bulk purchases - Electricity
2013,140024695,AUDA,BUF,Buffalo City,Bulk purchases - Water & Sewer
2013,263701689,AUDA,BUF,Buffalo City,Other materials
2013,7763365,AUDA,BUF,Buffalo City,Contracted services
2013,0,AUDA,BUF,Buffalo City,Grants and subsidies paid - other municipalities
2013,115921661,AUDA,BUF,Buffalo City,Grants and subsidies paid - other
2013,631519075,AUDA,BUF,Buffalo City,General expenses
2013,3152169160,AUDA,BUF,Buffalo City,Cash Payments by Type
2013,0,AUDA,BUF,Buffalo City,Other Cash Flows/Payments by Type
2013,608431268,AUDA,BUF,Buffalo City,Capital assets
2013,-5243417,AUDA,BUF,Buffalo City,Repayment of borrowing
2013,-160032225,AUDA,BUF,Buffalo City,Other Cash Flows/Payments
2013,3595324786,AUDA,BUF,Buffalo City,Total Cash Payments by Type
2013,321346064,AUDA,BUF,Buffalo City,Net Increase/(Decrease) in Cash Held
2013,1521968733,AUDA,BUF,Buffalo City,Cash/cash equivalents at the month/year begin:
2013,1843314797,AUDA,BUF,Buffalo City,Cash/cash equivalents at the month/year end:
2013,0,AUDA,CPT,City of Cape Town,Cash Receipts by Source
2013,5076445000,AUDA,CPT,City of Cape Town,Property rates
2013,0,AUDA,CPT,City of Cape Town,Property rates - penalties & collection charges
2013,8853037000,AUDA,CPT,City of Cape Town,Service charges - electricity revenue
2013,2053577000,AUDA,CPT,City of Cape Town,Service charges - water revenue
2013,1091897000,AUDA,CPT,City of Cape Town,Service charges - sanitation revenue
2013,775144000,AUDA,CPT,City of Cape Town,Service charges - refuse revenue
2013,326150000,AUDA,CPT,City of Cape Town,Service charges - other
2013,306606000,AUDA,CPT,City of Cape Town,Rental of facilities and equipment
2013,681878000,AUDA,CPT,City of Cape Town,Interest earned - external investments
2013,0,AUDA,CPT,City of Cape Town,Interest earned - outstanding debtors
2013,0,AUDA,CPT,City of Cape Town,Dividends received
2013,100524000,AUDA,CPT,City of Cape Town,Fines
2013,41844000,AUDA,CPT,City of Cape Town,Licences and permits
2013,132469000,AUDA,CPT,City of Cape Town,Agency services
2013,1979795000,AUDA,CPT,City of Cape Town,Transfer receipts - operational
2013,112205000,AUDA,CPT,City of Cape Town,Other revenue
2013,21531571000,AUDA,CPT,City of Cape Town,Cash Receipts by Source
2013,0,AUDA,CPT,City of Cape Town,Other Cash Flows/Receipts by Source
2013,3414645000,AUDA,CPT,City of Cape Town,Transfer receipts - capital
2013,0,AUDA,CPT,City of Cape Town,Contributions recognised - capital & Contributed assets
2013,93472000,AUDA,CPT,City of Cape Town,Proceeds on disposal of PPE
2013,0,AUDA,CPT,City of Cape Town,Short term loans
2013,2384420000,AUDA,CPT,City of Cape Town,Borrowing long term/refinancing
2013,33273000,AUDA,CPT,City of Cape Town,Increase (decrease) in consumer deposits
2013,0,AUDA,CPT,City of Cape Town,Decrease (Increase) in non-current debtors
2013,-3125000,AUDA,CPT,City of Cape Town,Decrease (increase) other non-current receivables
2013,-574187000,AUDA,CPT,City of Cape Town,Decrease (increase) in non-current investments
2013,26880069000,AUDA,CPT,City of Cape Town,Total Cash Receipts by Source
2013,0,AUDA,CPT,City of Cape Town,Cash Payments by Type
2013,7446199000,AUDA,CPT,City of Cape Town,Employee related costs
2013,111673000,AUDA,CPT,City of Cape Town,Remuneration of councillors
2013,183024000,AUDA,CPT,City of Cape Town,Collection costs
2013,645706000,AUDA,CPT,City of Cape Town,Interest paid
2013,6097891000,AUDA,CPT,City of Cape Town,Bulk purchases - Electricity
2013,293295000,AUDA,CPT,City of Cape Town,Bulk purchases - Water & Sewer
2013,0,AUDA,CPT,City of Cape Town,Other materials
2013,2825946000,AUDA,CPT,City of Cape Town,Contracted services
2013,0,AUDA,CPT,City of Cape Town,Grants and subsidies paid - other municipalities
2013,103144000,AUDA,CPT,City of Cape Town,Grants and subsidies paid - other
2013,1736707000,AUDA,CPT,City of Cape Town,General expenses
2013,19443585000,AUDA,CPT,City of Cape Town,Cash Payments by Type
2013,0,AUDA,CPT,City of Cape Town,Other Cash Flows/Payments by Type
2013,5868809000,AUDA,CPT,City of Cape Town,Capital assets
2013,165311000,AUDA,CPT,City of Cape Town,Repayment of borrowing
2013,0,AUDA,CPT,City of Cape Town,Other Cash Flows/Payments
2013,25477705000,AUDA,CPT,City of Cape Town,Total Cash Payments by Type
2013,1402364000,AUDA,CPT,City of Cape Town,Net Increase/(Decrease) in Cash Held
2013,3327832000,AUDA,CPT,City of Cape Town,Cash/cash equivalents at the month/year begin:
2013,4730196000,AUDA,CPT,City of Cape Town,Cash/cash equivalents at the month/year end:
2013,0,AUDA,DC1,West Coast,Cash Receipts by Source
2013,0,AUDA,DC1,West Coast,Property rates
2013,0,AUDA,DC1,West Coast,Property rates - penalties & collection charges
2013,0,AUDA,DC1,West Coast,Service charges - electricity revenue
2013,88353178,AUDA,DC1,West Coast,Service charges - water revenue
2013,0,AUDA,DC1,West Coast,Service charges - sanitation revenue
2013,0,AUDA,DC1,West Coast,Service charges - refuse revenue
2013,0,AUDA,DC1,West Coast,Service charges - other
2013,0,AUDA,DC1,West Coast,Rental of facilities and equipment
2013,8898704,AUDA,DC1,West Coast,Interest earned - external investments
2013,0,AUDA,DC1,West Coast,Interest earned - outstanding debtors
2013,0,AUDA,DC1,West Coast,Dividends received
2013,0,AUDA,DC1,West Coast,Fines
2013,0,AUDA,DC1,West Coast,Licences and permits
2013,70094500,AUDA,DC1,West Coast,Agency services
2013,82061757,AUDA,DC1,West Coast,Transfer receipts - operational
2013,3176921,AUDA,DC1,West Coast,Other revenue
2013,252585060,AUDA,DC1,West Coast,Cash Receipts by Source
2013,0,AUDA,DC1,West Coast,Other Cash Flows/Receipts by Source
2013,6420683,AUDA,DC1,West Coast,Transfer receipts - capital
2013,0,AUDA,DC1,West Coast,Contributions recognised - capital & Contributed assets
2013,245668,AUDA,DC1,West Coast,Proceeds on disposal of PPE
2013,0,AUDA,DC1,West Coast,Short term loans
2013,20580985,AUDA,DC1,West Coast,Borrowing long term/refinancing
2013,0,AUDA,DC1,West Coast,Increase (decrease) in consumer deposits
2013,0,AUDA,DC1,West Coast,Decrease (Increase) in non-current debtors
2013,0,AUDA,DC1,West Coast,Decrease (increase) other non-current receivables
2013,0,AUDA,DC1,West Coast,Decrease (increase) in non-current investments
2013,279832396,AUDA,DC1,West Coast,Total Cash Receipts by Source
2013,0,AUDA,DC1,West Coast,Cash Payments by Type
2013,110880621,AUDA,DC1,West Coast,Employee related costs
2013,4690543,AUDA,DC1,West Coast,Remuneration of councillors
2013,0,AUDA,DC1,West Coast,Collection costs
2013,10793408,AUDA,DC1,West Coast,Interest paid
2013,0,AUDA,DC1,West Coast,Bulk purchases - Electricity
2013,8719712,AUDA,DC1,West Coast,Bulk purchases - Water & Sewer
2013,25881379,AUDA,DC1,West Coast,Other materials
2013,0,AUDA,DC1,West Coast,Contracted services
2013,0,AUDA,DC1,West Coast,Grants and subsidies paid - other municipalities
2013,0,AUDA,DC1,West Coast,Grants and subsidies paid - other
2013,48142734,AUDA,DC1,West Coast,General expenses
2013,209108397,AUDA,DC1,West Coast,Cash Payments by Type
2013,0,AUDA,DC1,West Coast,Other Cash Flows/Payments by Type
2013,45727505,AUDA,DC1,West Coast,Capital assets
2013,0,AUDA,DC1,West Coast,Repayment of borrowing
2013,0,AUDA,DC1,West Coast,Other Cash Flows/Payments
2013,254835902,AUDA,DC1,West Coast,Total Cash Payments by Type
2013,24996494,AUDA,DC1,West Coast,Net Increase/(Decrease) in Cash Held
2013,134240446,AUDA,DC1,West Coast,Cash/cash equivalents at the month/year begin:
2013,159236940,AUDA,DC1,West Coast,Cash/cash equivalents at the month/year end:
2013,0,AUDA,DC10,Cacadu,Cash Receipts by Source
2013,0,AUDA,DC10,Cacadu,Property rates
2013,0,AUDA,DC10,Cacadu,Property rates - penalties & collection charges
2013,0,AUDA,DC10,Cacadu,Service charges - electricity revenue
2013,0,AUDA,DC10,Cacadu,Service charges - water revenue
2013,0,AUDA,DC10,Cacadu,Service charges - sanitation revenue
2013,0,AUDA,DC10,Cacadu,Service charges - refuse revenue
2013,0,AUDA,DC10,Cacadu,Service charges - other
2013,1076663,AUDA,DC10,Cacadu,Rental of facilities and equipment
2013,15676298,AUDA,DC10,Cacadu,Interest earned - external investments
2013,0,AUDA,DC10,Cacadu,Interest earned - outstanding debtors
2013,0,AUDA,DC10,Cacadu,Dividends received
2013,0,AUDA,DC10,Cacadu,Fines
2013,0,AUDA,DC10,Cacadu,Licences and permits
2013,31871,AUDA,DC10,Cacadu,Agency services
2013,79709387,AUDA,DC10,Cacadu,Transfer receipts - operational
2013,3950598,AUDA,DC10,Cacadu,Other revenue
2013,100444817,AUDA,DC10,Cacadu,Cash Receipts by Source
2013,0,AUDA,DC10,Cacadu,Other Cash Flows/Receipts by Source
2013,0,AUDA,DC10,Cacadu,Transfer receipts - capital
2013,0,AUDA,DC10,Cacadu,Contributions recognised - capital & Contributed assets
2013,288170,AUDA,DC10,Cacadu,Proceeds on disposal of PPE
2013,0,AUDA,DC10,Cacadu,Short term loans
2013,0,AUDA,DC10,Cacadu,Borrowing long term/refinancing
2013,0,AUDA,DC10,Cacadu,Increase (decrease) in consumer deposits
2013,7500,AUDA,DC10,Cacadu,Decrease (Increase) in non-current debtors
2013,-15068,AUDA,DC10,Cacadu,Decrease (increase) other non-current receivables
2013,0,AUDA,DC10,Cacadu,Decrease (increase) in non-current investments
2013,100725419,AUDA,DC10,Cacadu,Total Cash Receipts by Source
2013,0,AUDA,DC10,Cacadu,Cash Payments by Type
2013,36332828,AUDA,DC10,Cacadu,Employee related costs
2013,5665022,AUDA,DC10,Cacadu,Remuneration of councillors
2013,0,AUDA,DC10,Cacadu,Collection costs
2013,0,AUDA,DC10,Cacadu,Interest paid
2013,0,AUDA,DC10,Cacadu,Bulk purchases - Electricity
2013,0,AUDA,DC10,Cacadu,Bulk purchases - Water & Sewer
2013,0,AUDA,DC10,Cacadu,Other materials
2013,2797059,AUDA,DC10,Cacadu,Contracted services
2013,19181868,AUDA,DC10,Cacadu,Grants and subsidies paid - other municipalities
2013,0,AUDA,DC10,Cacadu,Grants and subsidies paid - other
2013,44750994,AUDA,DC10,Cacadu,General expenses
2013,108727771,AUDA,DC10,Cacadu,Cash Payments by Type
2013,0,AUDA,DC10,Cacadu,Other Cash Flows/Payments by Type
2013,3513643,AUDA,DC10,Cacadu,Capital assets
2013,15274633,AUDA,DC10,Cacadu,Repayment of borrowing
2013,0,AUDA,DC10,Cacadu,Other Cash Flows/Payments
2013,127516047,AUDA,DC10,Cacadu,Total Cash Payments by Type
2013,-26790628,AUDA,DC10,Cacadu,Net Increase/(Decrease) in Cash Held
2013,117613447,AUDA,DC10,Cacadu,Cash/cash equivalents at the month/year begin:
2013,90822819,AUDA,DC10,Cacadu,Cash/cash equivalents at the month/year end:
2013,0,AUDA,DC12,Amathole,Cash Receipts by Source
2013,0,AUDA,DC12,Amathole,Property rates
2013,0,AUDA,DC12,Amathole,Property rates - penalties & collection charges
2013,0,AUDA,DC12,Amathole,Service charges - electricity revenue
2013,59239014,AUDA,DC12,Amathole,Service charges - water revenue
2013,0,AUDA,DC12,Amathole,Service charges - sanitation revenue
2013,0,AUDA,DC12,Amathole,Service charges - refuse revenue
2013,0,AUDA,DC12,Amathole,Service charges - other
2013,326333,AUDA,DC12,Amathole,Rental of facilities and equipment
2013,36605289,AUDA,DC12,Amathole,Interest earned - external investments
2013,23270634,AUDA,DC12,Amathole,Interest earned - outstanding debtors
2013,0,AUDA,DC12,Amathole,Dividends received
2013,0,AUDA,DC12,Amathole,Fines
2013,0,AUDA,DC12,Amathole,Licences and permits
2013,0,AUDA,DC12,Amathole,Agency services
2013,667491924,AUDA,DC12,Amathole,Transfer receipts - operational
2013,84787741,AUDA,DC12,Amathole,Other revenue
2013,871720935,AUDA,DC12,Amathole,Cash Receipts by Source
2013,0,AUDA,DC12,Amathole,Other Cash Flows/Receipts by Source
2013,422726000,AUDA,DC12,Amathole,Transfer receipts - capital
2013,0,AUDA,DC12,Amathole,Contributions recognised - capital & Contributed assets
2013,680056,AUDA,DC12,Amathole,Proceeds on disposal of PPE
2013,0,AUDA,DC12,Amathole,Short term loans
2013,0,AUDA,DC12,Amathole,Borrowing long term/refinancing
2013,170670,AUDA,DC12,Amathole,Increase (decrease) in consumer deposits
2013,-298348,AUDA,DC12,Amathole,Decrease (Increase) in non-current debtors
2013,-1629,AUDA,DC12,Amathole,Decrease (increase) other non-current receivables
2013,-975774,AUDA,DC12,Amathole,Decrease (increase) in non-current investments
2013,1294021910,AUDA,DC12,Amathole,Total Cash Receipts by Source
2013,0,AUDA,DC12,Amathole,Cash Payments by Type
2013,368597356,AUDA,DC12,Amathole,Employee related costs
2013,11562552,AUDA,DC12,Amathole,Remuneration of councillors
2013,2857365,AUDA,DC12,Amathole,Collection costs
2013,10944928,AUDA,DC12,Amathole,Interest paid
2013,0,AUDA,DC12,Amathole,Bulk purchases - Electricity
2013,51558536,AUDA,DC12,Amathole,Bulk purchases - Water & Sewer
2013,0,AUDA,DC12,Amathole,Other materials
2013,29016085,AUDA,DC12,Amathole,Contracted services
2013,0,AUDA,DC12,Amathole,Grants and subsidies paid - other municipalities
2013,0,AUDA,DC12,Amathole,Grants and subsidies paid - other
2013,424983578,AUDA,DC12,Amathole,General expenses
2013,899520400,AUDA,DC12,Amathole,Cash Payments by Type
2013,0,AUDA,DC12,Amathole,Other Cash Flows/Payments by Type
2013,549567426,AUDA,DC12,Amathole,Capital assets
2013,163908,AUDA,DC12,Amathole,Repayment of borrowing
2013,0,AUDA,DC12,Amathole,Other Cash Flows/Payments
2013,1449251734,AUDA,DC12,Amathole,Total Cash Payments by Type
2013,-155229824,AUDA,DC12,Amathole,Net Increase/(Decrease) in Cash Held
2013,346293277,AUDA,DC12,Amathole,Cash/cash equivalents at the month/year begin:
2013,191063453,AUDA,DC12,Amathole,Cash/cash equivalents at the month/year end:
2013,0,AUDA,DC13,Chris Hani,Cash Receipts by Source
2013,0,AUDA,DC13,Chris Hani,Property rates
2013,0,AUDA,DC13,Chris Hani,Property rates - penalties & collection charges
2013,0,AUDA,DC13,Chris Hani,Service charges - electricity revenue
2013,579907,AUDA,DC13,Chris Hani,Service charges - water revenue
2013,0,AUDA,DC13,Chris Hani,Service charges - sanitation revenue
2013,0,AUDA,DC13,Chris Hani,Service charges - refuse revenue
2013,0,AUDA,DC13,Chris Hani,Service charges - other
2013,0,AUDA,DC13,Chris Hani,Rental of facilities and equipment
2013,19049242,AUDA,DC13,Chris Hani,Interest earned - external investments
2013,0,AUDA,DC13,Chris Hani,Interest earned - outstanding debtors
2013,0,AUDA,DC13,Chris Hani,Dividends received
2013,0,AUDA,DC13,Chris Hani,Fines
2013,0,AUDA,DC13,Chris Hani,Licences and permits
2013,0,AUDA,DC13,Chris Hani,Agency services
2013,739262400,AUDA,DC13,Chris Hani,Transfer receipts - operational
2013,0,AUDA,DC13,Chris Hani,Other revenue
2013,758891549,AUDA,DC13,Chris Hani,Cash Receipts by Source
2013,0,AUDA,DC13,Chris Hani,Other Cash Flows/Receipts by Source
2013,224628833,AUDA,DC13,Chris Hani,Transfer receipts - capital
2013,0,AUDA,DC13,Chris Hani,Contributions recognised - capital & Contributed assets
2013,0,AUDA,DC13,Chris Hani,Proceeds on disposal of PPE
2013,0,AUDA,DC13,Chris Hani,Short term loans
2013,0,AUDA,DC13,Chris Hani,Borrowing long term/refinancing
2013,0,AUDA,DC13,Chris Hani,Increase (decrease) in consumer deposits
2013,0,AUDA,DC13,Chris Hani,Decrease (Increase) in non-current debtors
2013,0,AUDA,DC13,Chris Hani,Decrease (increase) other non-current receivables
2013,-49002932,AUDA,DC13,Chris Hani,Decrease (increase) in non-current investments
2013,934517450,AUDA,DC13,Chris Hani,Total Cash Receipts by Source
2013,0,AUDA,DC13,Chris Hani,Cash Payments by Type
2013,122620735,AUDA,DC13,Chris Hani,Employee related costs
2013,7918180,AUDA,DC13,Chris Hani,Remuneration of councillors
2013,0,AUDA,DC13,Chris Hani,Collection costs
2013,226790,AUDA,DC13,Chris Hani,Interest paid
2013,0,AUDA,DC13,Chris Hani,Bulk purchases - Electricity
2013,13174780,AUDA,DC13,Chris Hani,Bulk purchases - Water & Sewer
2013,0,AUDA,DC13,Chris Hani,Other materials
2013,1028202,AUDA,DC13,Chris Hani,Contracted services
2013,529111560,AUDA,DC13,Chris Hani,Grants and subsidies paid - other municipalities
2013,0,AUDA,DC13,Chris Hani,Grants and subsidies paid - other
2013,68830766,AUDA,DC13,Chris Hani,General expenses
2013,742911013,AUDA,DC13,Chris Hani,Cash Payments by Type
2013,0,AUDA,DC13,Chris Hani,Other Cash Flows/Payments by Type
2013,224628833,AUDA,DC13,Chris Hani,Capital assets
2013,5553708,AUDA,DC13,Chris Hani,Repayment of borrowing
2013,-11107416,AUDA,DC13,Chris Hani,Other Cash Flows/Payments
2013,961986138,AUDA,DC13,Chris Hani,Total Cash Payments by Type
2013,-27468688,AUDA,DC13,Chris Hani,Net Increase/(Decrease) in Cash Held
2013,230224396,AUDA,DC13,Chris Hani,Cash/cash equivalents at the month/year begin:
2013,202755708,AUDA,DC13,Chris Hani,Cash/cash equivalents at the month/year end:
2013,0,AUDA,DC14,Joe Gqabi,Cash Receipts by Source
2013,0,AUDA,DC14,Joe Gqabi,Property rates
2013,0,AUDA,DC14,Joe Gqabi,Property rates - penalties & collection charges
2013,0,AUDA,DC14,Joe Gqabi,Service charges - electricity revenue
2013,29014375,AUDA,DC14,Joe Gqabi,Service charges - water revenue
2013,12182725,AUDA,DC14,Joe Gqabi,Service charges - sanitation revenue
2013,0,AUDA,DC14,Joe Gqabi,Service charges - refuse revenue
2013,8291328,AUDA,DC14,Joe Gqabi,Service charges - other
2013,0,AUDA,DC14,Joe Gqabi,Rental of facilities and equipment
2013,3233424,AUDA,DC14,Joe Gqabi,Interest earned - external investments
2013,1391970,AUDA,DC14,Joe Gqabi,Interest earned - outstanding debtors
2013,0,AUDA,DC14,Joe Gqabi,Dividends received
2013,0,AUDA,DC14,Joe Gqabi,Fines
2013,0,AUDA,DC14,Joe Gqabi,Licences and permits
2013,0,AUDA,DC14,Joe Gqabi,Agency services
2013,234373277,AUDA,DC14,Joe Gqabi,Transfer receipts - operational
2013,0,AUDA,DC14,Joe Gqabi,Other revenue
2013,288487099,AUDA,DC14,Joe Gqabi,Cash Receipts by Source
2013,0,AUDA,DC14,Joe Gqabi,Other Cash Flows/Receipts by Source
2013,174629000,AUDA,DC14,Joe Gqabi,Transfer receipts - capital
2013,0,AUDA,DC14,Joe Gqabi,Contributions recognised - capital & Contributed assets
2013,150000,AUDA,DC14,Joe Gqabi,Proceeds on disposal of PPE
2013,0,AUDA,DC14,Joe Gqabi,Short term loans
2013,0,AUDA,DC14,Joe Gqabi,Borrowing long term/refinancing
2013,0,AUDA,DC14,Joe Gqabi,Increase (decrease) in consumer deposits
2013,0,AUDA,DC14,Joe Gqabi,Decrease (Increase) in non-current debtors
2013,0,AUDA,DC14,Joe Gqabi,Decrease (increase) other non-current receivables
2013,218962,AUDA,DC14,Joe Gqabi,Decrease (increase) in non-current investments
2013,463485061,AUDA,DC14,Joe Gqabi,Total Cash Receipts by Source
2013,0,AUDA,DC14,Joe Gqabi,Cash Payments by Type
2013,106493648,AUDA,DC14,Joe Gqabi,Employee related costs
2013,4310179,AUDA,DC14,Joe Gqabi,Remuneration of councillors
2013,0,AUDA,DC14,Joe Gqabi,Collection costs
2013,773487,AUDA,DC14,Joe Gqabi,Interest paid
2013,0,AUDA,DC14,Joe Gqabi,Bulk purchases - Electricity
2013,0,AUDA,DC14,Joe Gqabi,Bulk purchases - Water & Sewer
2013,0,AUDA,DC14,Joe Gqabi,Other materials
2013,0,AUDA,DC14,Joe Gqabi,Contracted services
2013,0,AUDA,DC14,Joe Gqabi,Grants and subsidies paid - other municipalities
2013,10710780,AUDA,DC14,Joe Gqabi,Grants and subsidies paid - other
2013,239616216,AUDA,DC14,Joe Gqabi,General expenses
2013,361904310,AUDA,DC14,Joe Gqabi,Cash Payments by Type
2013,0,AUDA,DC14,Joe Gqabi,Other Cash Flows/Payments by Type
2013,95183917,AUDA,DC14,Joe Gqabi,Capital assets
2013,228698,AUDA,DC14,Joe Gqabi,Repayment of borrowing
2013,0,AUDA,DC14,Joe Gqabi,Other Cash Flows/Payments
2013,457316925,AUDA,DC14,Joe Gqabi,Total Cash Payments by Type
2013,6168136,AUDA,DC14,Joe Gqabi,Net Increase/(Decrease) in Cash Held
2013,20550223,AUDA,DC14,Joe Gqabi,Cash/cash equivalents at the month/year begin:
2013,26718359,AUDA,DC14,Joe Gqabi,Cash/cash equivalents at the month/year end:
2013,0,AUDA,DC15,O.R.Tambo,Cash Receipts by Source
2013,0,AUDA,DC15,O.R.Tambo,Property rates
2013,0,AUDA,DC15,O.R.Tambo,Property rates - penalties & collection charges
2013,0,AUDA,DC15,O.R.Tambo,Service charges - electricity revenue
2013,77699662,AUDA,DC15,O.R.Tambo,Service charges - water revenue
2013,0,AUDA,DC15,O.R.Tambo,Service charges - sanitation revenue
2013,0,AUDA,DC15,O.R.Tambo,Service charges - refuse revenue
2013,0,AUDA,DC15,O.R.Tambo,Service charges - other
2013,17132,AUDA,DC15,O.R.Tambo,Rental of facilities and equipment
2013,22617054,AUDA,DC15,O.R.Tambo,Interest earned - external investments
2013,24471981,AUDA,DC15,O.R.Tambo,Interest earned - outstanding debtors
2013,0,AUDA,DC15,O.R.Tambo,Dividends received
2013,0,AUDA,DC15,O.R.Tambo,Fines
2013,0,AUDA,DC15,O.R.Tambo,Licences and permits
2013,0,AUDA,DC15,O.R.Tambo,Agency services
2013,738267148,AUDA,DC15,O.R.Tambo,Transfer receipts - operational
2013,86060222,AUDA,DC15,O.R.Tambo,Other revenue
2013,949133199,AUDA,DC15,O.R.Tambo,Cash Receipts by Source
2013,0,AUDA,DC15,O.R.Tambo,Other Cash Flows/Receipts by Source
2013,421925754,AUDA,DC15,O.R.Tambo,Transfer receipts - capital
2013,0,AUDA,DC15,O.R.Tambo,Contributions recognised - capital & Contributed assets
2013,0,AUDA,DC15,O.R.Tambo,Proceeds on disposal of PPE
2013,0,AUDA,DC15,O.R.Tambo,Short term loans
2013,0,AUDA,DC15,O.R.Tambo,Borrowing long term/refinancing
2013,0,AUDA,DC15,O.R.Tambo,Increase (decrease) in consumer deposits
2013,0,AUDA,DC15,O.R.Tambo,Decrease (Increase) in non-current debtors
2013,0,AUDA,DC15,O.R.Tambo,Decrease (increase) other non-current receivables
2013,0,AUDA,DC15,O.R.Tambo,Decrease (increase) in non-current investments
2013,1371058953,AUDA,DC15,O.R.Tambo,Total Cash Receipts by Source
2013,0,AUDA,DC15,O.R.Tambo,Cash Payments by Type
2013,250601848,AUDA,DC15,O.R.Tambo,Employee related costs
2013,13906369,AUDA,DC15,O.R.Tambo,Remuneration of councillors
2013,0,AUDA,DC15,O.R.Tambo,Collection costs
2013,972661,AUDA,DC15,O.R.Tambo,Interest paid
2013,0,AUDA,DC15,O.R.Tambo,Bulk purchases - Electricity
2013,79113383,AUDA,DC15,O.R.Tambo,Bulk purchases - Water & Sewer
2013,62150058,AUDA,DC15,O.R.Tambo,Other materials
2013,9193434,AUDA,DC15,O.R.Tambo,Contracted services
2013,6924758,AUDA,DC15,O.R.Tambo,Grants and subsidies paid - other municipalities
2013,0,AUDA,DC15,O.R.Tambo,Grants and subsidies paid - other
2013,753790887,AUDA,DC15,O.R.Tambo,General expenses
2013,1176653398,AUDA,DC15,O.R.Tambo,Cash Payments by Type
2013,0,AUDA,DC15,O.R.Tambo,Other Cash Flows/Payments by Type
2013,421460964,AUDA,DC15,O.R.Tambo,Capital assets
2013,416797,AUDA,DC15,O.R.Tambo,Repayment of borrowing
2013,-425192,AUDA,DC15,O.R.Tambo,Other Cash Flows/Payments
2013,1598105967,AUDA,DC15,O.R.Tambo,Total Cash Payments by Type
2013,-227047014,AUDA,DC15,O.R.Tambo,Net Increase/(Decrease) in Cash Held
2013,454616303,AUDA,DC15,O.R.Tambo,Cash/cash equivalents at the month/year begin:
2013,227569289,AUDA,DC15,O.R.Tambo,Cash/cash equivalents at the month/year end:
2013,0,AUDA,DC16,Xhariep,Cash Receipts by Source
2013,0,AUDA,DC16,Xhariep,Property rates
2013,254014,AUDA,DC16,Xhariep,Property rates - penalties & collection charges
2013,0,AUDA,DC16,Xhariep,Service charges - electricity revenue
2013,0,AUDA,DC16,Xhariep,Service charges - water revenue
2013,0,AUDA,DC16,Xhariep,Service charges - sanitation revenue
2013,0,AUDA,DC16,Xhariep,Service charges - refuse revenue
2013,0,AUDA,DC16,Xhariep,Service charges - other
2013,0,AUDA,DC16,Xhariep,Rental of facilities and equipment
2013,283816,AUDA,DC16,Xhariep,Interest earned - external investments
2013,0,AUDA,DC16,Xhariep,Interest earned - outstanding debtors
