,mun_name,mun_code,account_type,label,total_amount
2013,Buffalo City,BUF,AUDA,Debtors Age Analysis By Income Source,0
2013,Buffalo City,BUF,AUDA,Trade and Other Receivables from Exchange Transactions - Water,272677143
2013,Buffalo City,BUF,AUDA,Trade and Other Receivables from Exchange Transactions - Electricity,179922271
2013,Buffalo City,BUF,AUDA,Receivables from Non-exchange Transactions - Property Rates,218657712
2013,Buffalo City,BUF,AUDA,Receivables from Exchange Transactions - Waste Water Management,138386707
2013,Buffalo City,BUF,AUDA,Receivables from Exchange Transactions - Waste Management,166289611
2013,Buffalo City,BUF,AUDA,Receivables from Exchange Transactions - Property Rental Debtors,2655609
2013,Buffalo City,BUF,AUDA,Interest on Arrear Debtor Accounts,0
2013,Buffalo City,BUF,AUDA,"Recoverable unauthorised, irregular or fruitless and wasteful Expenditure",0
2013,Buffalo City,BUF,AUDA,Other,110315566
2013,Buffalo City,BUF,AUDA,Total By Income Source,1088904619
2013,Buffalo City,BUF,AUDA,Debtors Age Analysis By Customer Group,0
2013,Buffalo City,BUF,AUDA,Organs of State,16548306
2013,Buffalo City,BUF,AUDA,Commercial,226651466
2013,Buffalo City,BUF,AUDA,Households,676541188
2013,Buffalo City,BUF,AUDA,Other,169163658
2013,Buffalo City,BUF,AUDA,Total By Customer Group,1088904618
2013,City of Cape Town,CPT,AUDA,Debtors Age Analysis By Income Source,0
2013,City of Cape Town,CPT,AUDA,Trade and Other Receivables from Exchange Transactions - Water,1852943716
2013,City of Cape Town,CPT,AUDA,Trade and Other Receivables from Exchange Transactions - Electricity,815226842
2013,City of Cape Town,CPT,AUDA,Receivables from Non-exchange Transactions - Property Rates,1405408917
2013,City of Cape Town,CPT,AUDA,Receivables from Exchange Transactions - Waste Water Management,899605202
2013,City of Cape Town,CPT,AUDA,Receivables from Exchange Transactions - Waste Management,334406383
2013,City of Cape Town,CPT,AUDA,Receivables from Exchange Transactions - Property Rental Debtors,482910540
2013,City of Cape Town,CPT,AUDA,Interest on Arrear Debtor Accounts,673804498
2013,City of Cape Town,CPT,AUDA,"Recoverable unauthorised, irregular or fruitless and wasteful Expenditure",0
2013,City of Cape Town,CPT,AUDA,Other,-328982513
2013,City of Cape Town,CPT,AUDA,Total By Income Source,6135323585
2013,City of Cape Town,CPT,AUDA,Debtors Age Analysis By Customer Group,0
2013,City of Cape Town,CPT,AUDA,Organs of State,104717345
2013,City of Cape Town,CPT,AUDA,Commercial,1290599349
2013,City of Cape Town,CPT,AUDA,Households,4776706369
2013,City of Cape Town,CPT,AUDA,Other,-36699480
2013,City of Cape Town,CPT,AUDA,Total By Customer Group,6135323583
2013,West Coast,DC1,AUDA,Debtors Age Analysis By Income Source,0
2013,West Coast,DC1,AUDA,Trade and Other Receivables from Exchange Transactions - Water,7335786
2013,West Coast,DC1,AUDA,Trade and Other Receivables from Exchange Transactions - Electricity,33944
2013,West Coast,DC1,AUDA,Receivables from Non-exchange Transactions - Property Rates,0
2013,West Coast,DC1,AUDA,Receivables from Exchange Transactions - Waste Water Management,0
2013,West Coast,DC1,AUDA,Receivables from Exchange Transactions - Waste Management,7160
2013,West Coast,DC1,AUDA,Receivables from Exchange Transactions - Property Rental Debtors,131353
2013,West Coast,DC1,AUDA,Interest on Arrear Debtor Accounts,0
2013,West Coast,DC1,AUDA,"Recoverable unauthorised, irregular or fruitless and wasteful Expenditure",0
2013,West Coast,DC1,AUDA,Other,3010
2013,West Coast,DC1,AUDA,Total By Income Source,7511253
2013,West Coast,DC1,AUDA,Debtors Age Analysis By Customer Group,0
2013,West Coast,DC1,AUDA,Organs of State,6610142
2013,West Coast,DC1,AUDA,Commercial,303148
2013,West Coast,DC1,AUDA,Households,597963
2013,West Coast,DC1,AUDA,Other,0
2013,West Coast,DC1,AUDA,Total By Customer Group,7511253
2013,Cacadu,DC10,AUDA,Debtors Age Analysis By Income Source,0
2013,Cacadu,DC10,AUDA,Trade and Other Receivables from Exchange Transactions - Water,0
2013,Cacadu,DC10,AUDA,Trade and Other Receivables from Exchange Transactions - Electricity,0
2013,Cacadu,DC10,AUDA,Receivables from Non-exchange Transactions - Property Rates,0
2013,Cacadu,DC10,AUDA,Receivables from Exchange Transactions - Waste Water Management,0
