,total_amount,account_type,mun_code,mun_name,label
2013,,AUDA,BUF,Buffalo City,Employee Related Costs
2013,,AUDA,BUF,Buffalo City,Other Materials
2013,,AUDA,BUF,Buffalo City,Contracted Services
2013,263701937.0,AUDA,BUF,Buffalo City,Other Expenditure
2013,263701937.0,AUDA,BUF,Buffalo City,Total Repairs and Maintenance Expenditure
2013,1030136790.0,AUDA,CPT,City of Cape Town,Employee Related Costs
2013,202645614.0,AUDA,CPT,City of Cape Town,Other Materials
2013,1314473132.0,AUDA,CPT,City of Cape Town,Contracted Services
2013,209173005.0,AUDA,CPT,City of Cape Town,Other Expenditure
2013,2756428540.0,AUDA,CPT,City of Cape Town,Total Repairs and Maintenance Expenditure
2013,,AUDA,DC1,West Coast,Employee Related Costs
2013,25881665.0,AUDA,DC1,West Coast,Other Materials
2013,,AUDA,DC1,West Coast,Contracted Services
2013,,AUDA,DC1,West Coast,Other Expenditure
2013,25881665.0,AUDA,DC1,West Coast,Total Repairs and Maintenance Expenditure
2013,,AUDA,DC10,Cacadu,Employee Related Costs
2013,,AUDA,DC10,Cacadu,Other Materials
2013,,AUDA,DC10,Cacadu,Contracted Services
2013,388129.0,AUDA,DC10,Cacadu,Other Expenditure
2013,388129.0,AUDA,DC10,Cacadu,Total Repairs and Maintenance Expenditure
2013,,AUDA,DC12,Amathole,Employee Related Costs
2013,,AUDA,DC12,Amathole,Other Materials
2013,,AUDA,DC12,Amathole,Contracted Services
2013,,AUDA,DC12,Amathole,Other Expenditure
2013,,AUDA,DC12,Amathole,Total Repairs and Maintenance Expenditure
2013,,AUDA,DC13,Chris Hani,Employee Related Costs
2013,,AUDA,DC13,Chris Hani,Other Materials
2013,,AUDA,DC13,Chris Hani,Contracted Services
2013,1746150.0,AUDA,DC13,Chris Hani,Other Expenditure
2013,1746150.0,AUDA,DC13,Chris Hani,Total Repairs and Maintenance Expenditure
2013,,AUDA,DC14,Joe Gqabi,Employee Related Costs
2013,,AUDA,DC14,Joe Gqabi,Other Materials
2013,,AUDA,DC14,Joe Gqabi,Contracted Services
2013,,AUDA,DC14,Joe Gqabi,Other Expenditure
2013,,AUDA,DC14,Joe Gqabi,Total Repairs and Maintenance Expenditure
2013,,AUDA,DC15,O.R.Tambo,Employee Related Costs
2013,62150058.0,AUDA,DC15,O.R.Tambo,Other Materials
2013,,AUDA,DC15,O.R.Tambo,Contracted Services
2013,,AUDA,DC15,O.R.Tambo,Other Expenditure
2013,62150058.0,AUDA,DC15,O.R.Tambo,Total Repairs and Maintenance Expenditure
2013,,AUDA,DC16,Xhariep,Employee Related Costs
2013,,AUDA,DC16,Xhariep,Other Materials
2013,,AUDA,DC16,Xhariep,Contracted Services
2013,1271312.0,AUDA,DC16,Xhariep,Other Expenditure
2013,1271312.0,AUDA,DC16,Xhariep,Total Repairs and Maintenance Expenditure
2013,,AUDA,DC18,Lejweleputswa,Employee Related Costs
2013,1232125.0,AUDA,DC18,Lejweleputswa,Other Materials
2013,,AUDA,DC18,Lejweleputswa,Contracted Services
2013,320571.0,AUDA,DC18,Lejweleputswa,Other Expenditure
2013,500000.0,AUDA,DC18,Lejweleputswa,Total Repairs and Maintenance Expenditure
2013,,AUDA,DC19,Thabo Mofutsanyane,Employee Related Costs
2013,,AUDA,DC19,Thabo Mofutsanyane,Other Materials
2013,,AUDA,DC19,Thabo Mofutsanyane,Contracted Services
2013,,AUDA,DC19,Thabo Mofutsanyane,Other Expenditure
2013,,AUDA,DC19,Thabo Mofutsanyane,Total Repairs and Maintenance Expenditure
2013,,AUDA,DC2,Cape Winelands,Employee Related Costs
2013,,AUDA,DC2,Cape Winelands,Other Materials
2013,,AUDA,DC2,Cape Winelands,Contracted Services
2013,,AUDA,DC2,Cape Winelands,Other Expenditure
2013,,AUDA,DC2,Cape Winelands,Total Repairs and Maintenance Expenditure
2013,500000.0,AUDA,DC20,Fezile Dabi,Employee Related Costs
2013,376885.0,AUDA,DC20,Fezile Dabi,Other Materials
2013,934929.0,AUDA,DC20,Fezile Dabi,Contracted Services
2013,674219.0,AUDA,DC20,Fezile Dabi,Other Expenditure
2013,747650.0,AUDA,DC20,Fezile Dabi,Total Repairs and Maintenance Expenditure
2013,,AUDA,DC21,Ugu,Employee Related Costs
2013,,AUDA,DC21,Ugu,Other Materials
2013,,AUDA,DC21,Ugu,Contracted Services
2013,11200295.0,AUDA,DC21,Ugu,Other Expenditure
2013,11200295.0,AUDA,DC21,Ugu,Total Repairs and Maintenance Expenditure
2013,,AUDA,DC22,Umgungundlovu,Employee Related Costs
2013,1000000.0,AUDA,DC22,Umgungundlovu,Other Materials
2013,111988578.0,AUDA,DC22,Umgungundlovu,Contracted Services
2013,1980505.0,AUDA,DC22,Umgungundlovu,Other Expenditure
2013,114969083.0,AUDA,DC22,Umgungundlovu,Total Repairs and Maintenance Expenditure
2013,,AUDA,DC23,Uthukela,Employee Related Costs
2013,13477000.0,AUDA,DC23,Uthukela,Other Materials
2013,,AUDA,DC23,Uthukela,Contracted Services
2013,,AUDA,DC23,Uthukela,Other Expenditure
2013,13477000.0,AUDA,DC23,Uthukela,Total Repairs and Maintenance Expenditure
2013,,AUDA,DC24,Umzinyathi,Employee Related Costs
2013,,AUDA,DC24,Umzinyathi,Other Materials
2013,5884349.0,AUDA,DC24,Umzinyathi,Contracted Services
2013,,AUDA,DC24,Umzinyathi,Other Expenditure
2013,5884349.0,AUDA,DC24,Umzinyathi,Total Repairs and Maintenance Expenditure
2013,,AUDA,DC25,Amajuba,Employee Related Costs
2013,,AUDA,DC25,Amajuba,Other Materials
2013,,AUDA,DC25,Amajuba,Contracted Services
2013,1030871.0,AUDA,DC25,Amajuba,Other Expenditure
2013,1030871.0,AUDA,DC25,Amajuba,Total Repairs and Maintenance Expenditure
2013,,AUDA,DC26,Zululand,Employee Related Costs
2013,,AUDA,DC26,Zululand,Other Materials
2013,38258583.0,AUDA,DC26,Zululand,Contracted Services
2013,,AUDA,DC26,Zululand,Other Expenditure
2013,38258583.0,AUDA,DC26,Zululand,Total Repairs and Maintenance Expenditure
2013,,AUDA,DC27,Umkhanyakude,Employee Related Costs
2013,,AUDA,DC27,Umkhanyakude,Other Materials
2013,,AUDA,DC27,Umkhanyakude,Contracted Services
2013,,AUDA,DC27,Umkhanyakude,Other Expenditure
2013,,AUDA,DC27,Umkhanyakude,Total Repairs and Maintenance Expenditure
2013,,AUDA,DC28,Uthungulu,Employee Related Costs
2013,981743.0,AUDA,DC28,Uthungulu,Other Materials
2013,41521306.0,AUDA,DC28,Uthungulu,Contracted Services
2013,1481951.0,AUDA,DC28,Uthungulu,Other Expenditure
2013,43985000.0,AUDA,DC28,Uthungulu,Total Repairs and Maintenance Expenditure
2013,,AUDA,DC29,iLembe,Employee Related Costs
2013,,AUDA,DC29,iLembe,Other Materials
2013,,AUDA,DC29,iLembe,Contracted Services
2013,,AUDA,DC29,iLembe,Other Expenditure
2013,,AUDA,DC29,iLembe,Total Repairs and Maintenance Expenditure
2013,,AUDA,DC3,Overberg,Employee Related Costs
2013,7782286.0,AUDA,DC3,Overberg,Other Materials
2013,,AUDA,DC3,Overberg,Contracted Services
2013,,AUDA,DC3,Overberg,Other Expenditure
2013,7782286.0,AUDA,DC3,Overberg,Total Repairs and Maintenance Expenditure
2013,,AUDA,DC30,Gert Sibande,Employee Related Costs
2013,,AUDA,DC30,Gert Sibande,Other Materials
