geo_level,geo_code,geoid,name,total,Any tertiary,Any tertiary-Female,Any tertiary-Male,Grade 10/11,Grade 10/11-Female,Grade 10/11-Male,Grade 9,Grade 9-Female,Grade 9-Male,Less than Grade9,Less than Grade9-Female,Less than Grade9-Male,Matric/matric equivalent,Matric/matric equivalent-Female,Matric/matric equivalent-Male
country,ZA,country-ZA,South Africa,4993756,314423,180307,134116,1525186,760474,764712,333652,148943,184709,666474,286031,380443,2154021,1157266,996755
municipality,WC044,municipality-WC044,George,16220,652,376,276,4602,2417,2185,1377,634,743,3016,1344,1672,6573,3526,3047
municipality,WC047,municipality-WC047,Bitou,4122,126,66,60,1336,732,604,430,180,250,676,263,413,1554,866,688
municipality,WC048,municipality-WC048,Knysna,5491,182,120,62,1655,915,740,584,278,306,1037,417,620,2033,1074,959
municipality,WC051,municipality-WC051,Laingsburg,564,25,13,12,139,77,62,84,34,50,160,66,94,156,84,72
municipality,WC052,municipality-WC052,Prince Albert,1087,23,15,8,227,126,101,142,69,73,389,194,195,306,146,160
municipality,WC053,municipality-WC053,Beaufort West,3824,101,54,47,1023,567,456,355,166,189,798,349,449,1547,829,718
municipality,MP303,municipality-MP303,Mkhondo,14268,277,143,134,4260,2209,2051,969,486,483,2455,1211,1244,6307,3368,2939
municipality,MP311,municipality-MP311,Victor Khanye,7063,262,122,140,2251,1061,1190,498,220,278,1216,510,706,2836,1412,1424
municipality,MP322,municipality-MP322,Mbombela,63033,3112,1904,1208,17853,8778,9075,3525,1551,1974,8046,3532,4514,30497,16811,13686
municipality,NW373,municipality-NW373,Rustenburg,55382,2452,1357,1095,15859,7358,8501,3638,1617,2021,8246,3403,4843,25187,12436,12751
municipality,NW384,municipality-NW384,Ditsobotla,14997,443,257,186,4307,2113,2194,1515,721,794,4479,2130,2349,4253,2246,2007
municipality,NW396,municipality-NW396,Lekwa-Teemane,4746,103,59,44,1478,727,751,476,228,248,1272,550,722,1417,719,698
municipality,NC062,municipality-NC062,Nama Khoi,3454,149,102,47,840,399,441,488,214,274,591,207,384,1386,804,582
municipality,NC071,municipality-NC071,Ubuntu,1505,26,14,12,394,197,197,152,75,77,493,243,250,440,212,228
municipality,NC077,municipality-NC077,Siyathemba,1625,25,15,10,492,252,240,226,110,116,411,187,224,471,265,206
municipality,NC085,municipality-NC085,Tsantsabane,3472,114,62,52,1014,475,539,294,128,166,682,287,395,1368,656,712
municipality,NC094,municipality-NC094,Phokwane,5320,156,96,60,1668,866,802,480,220,260,1146,594,552,1870,949,921
municipality,WC012,municipality-WC012,Cederberg,4195,84,34,50,1206,605,601,680,329,351,1007,476,531,1218,654,564
municipality,WC024,municipality-WC024,Stellenbosch,18859,2439,1343,1096,4002,2132,1870,1503,664,839,2319,902,1417,8596,4422,4174
municipality,WC033,municipality-WC033,Cape Agulhas,2645,85,53,32,708,357,351,361,180,181,712,315,397,779,419,360
municipality,WC045,municipality-WC045,Oudtshoorn,7529,140,87,53,1899,977,922,697,329,368,1892,857,1035,2901,1624,1277
municipality,EC102,municipality-EC102,Blue Crane Route,2748,65,38,27,770,383,387,249,123,126,795,375,420,869,456,413
municipality,EC103,municipality-EC103,Ikwezi,794,14,8,6,242,138,104,65,45,20,265,118,147,208,99,109
municipality,EC104,municipality-EC104,Makana,7303,855,518,337,2201,1122,1079,522,252,270,1016,417,599,2709,1479,1230
municipality,EC106,municipality-EC106,Sundays River Valley,4982,77,48,29,1815,875,940,540,232,308,1514,625,889,1036,510,526
municipality,EC107,municipality-EC107,Baviaans,1338,18,6,12,358,197,161,183,85,98,457,233,224,322,147,175
municipality,EC108,municipality-EC108,Kouga,8284,244,137,107,2574,1341,1233,828,412,416,2169,969,1200,2469,1320,1149
municipality,EC109,municipality-EC109,Kou-Kamma,3638,52,35,17,1136,516,620,498,239,259,1107,497,610,845,432,413
municipality,EC121,municipality-EC121,Mbhashe,19201,404,270,134,7608,4193,3415,1933,991,942,5307,2178,3129,3949,2338,1611
municipality,EC123,municipality-EC123,Great Kei,3145,50,31,19,1331,647,684,319,118,201,664,221,443,781,420,361
municipality,EC124,municipality-EC124,Amahlathi,9376,176,115,61,3780,1832,1948,1050,438,612,2154,797,1357,2216,1208,1008
municipality,EC126,municipality-EC126,Ngqushwa,4930,102,66,36,2050,984,1066,431,146,285,833,279,554,1514,847,667
municipality,EC127,municipality-EC127,Nkonkobe,9312,347,208,139,3585,1731,1854,811,345,466,1629,592,1037,2940,1607,1333
municipality,EC131,municipality-EC131,Inxuba Yethemba,5299,219,136,83,1384,670,714,539,274,265,1621,735,886,1536,782,754
municipality,EC132,municipality-EC132,Tsolwana,2746,48,26,22,1081,568,513,250,138,112,708,280,428,659,354,305
municipality,EC133,municipality-EC133,Inkwanca,2038,40,26,14,636,321,315,226,95,131,615,284,331,521,277,244
municipality,EC134,municipality-EC134,Lukanji,16920,848,501,347,6014,2972,3042,1371,597,774,2510,1032,1478,6177,3383,2794
municipality,EC136,municipality-EC136,Emalahleni,8692,114,63,51,3372,1721,1651,957,423,534,2208,800,1408,2041,1168,873
municipality,EC137,municipality-EC137,Engcobo,10852,235,143,92,4131,2452,1679,1249,734,515,3340,1401,1939,1897,1169,728
municipality,EC138,municipality-EC138,Sakhisizwe,5153,115,69,46,1929,978,951,540,226,314,1277,463,814,1292,712,580
municipality,EC141,municipality-EC141,Elundini,11429,224,133,91,4194,2143,2051,1358,594,764,3095,1182,1913,2558,1383,1175
municipality,EC142,municipality-EC142,Senqu,11753,192,114,78,4775,2518,2257,1312,657,655,2692,1183,1509,2782,1575,1207
municipality,EC143,municipality-EC143,Maletswai,3963,166,91,75,1266,687,579,357,172,185,968,464,504,1206,661,545
municipality,EC153,municipality-EC153,Ngquza Hill,22287,363,237,126,8608,4593,4015,2314,1216,1098,6357,2651,3706,4645,2573,2072
municipality,EC154,municipality-EC154,Port St Johns,12433,134,92,42,4638,2531,2107,1272,633,639,3490,1562,1928,2899,1680,1219
municipality,EC155,municipality-EC155,Nyandeni,24858,435,277,158,9439,5063,4376,2550,1252,1298,6206,2542,3664,6228,3508,2720
municipality,EC156,municipality-EC156,Mhlontlo,15709,254,157,97,6573,3449,3124,1896,890,1006,3595,1347,2248,3391,1905,1486
municipality,EC441,municipality-EC441,Matatiele,16432,324,190,134,6459,3392,3067,2048,1000,1048,4026,1674,2352,3575,2067,1508
municipality,EC442,municipality-EC442,Umzimvubu,15718,396,239,157,6420,3400,3020,1824,908,916,3405,1376,2029,3673,2151,1522
municipality,EC443,municipality-EC443,Mbizana,22147,371,242,129,8756,4844,3912,2389,1284,1105,5589,2615,2974,5042,2864,2178
municipality,EC444,municipality-EC444,Ntabankulu,10361,126,76,50,3990,2212,1778,1295,693,602,3315,1346,1969,1635,928,707
municipality,FS161,municipality-FS161,Letsemeng,3229,63,38,25,910,458,452,325,159,166,948,471,477,983,477,506
municipality,FS162,municipality-FS162,Kopanong,4065,78,50,28,1198,580,618,461,220,241,1113,545,568,1215,679,536
municipality,FS163,municipality-FS163,Mohokare,3194,56,27,29,1011,503,508,439,215,224,910,458,452,778,410,368
municipality,FS181,municipality-FS181,Masilonyana,5266,111,63,48,1658,875,783,546,263,283,1111,516,595,1840,989,851
municipality,FS182,municipality-FS182,Tokologo,2491,54,29,25,614,317,297,315,129,186,858,431,427,650,354,296
municipality,FS183,municipality-FS183,Tswelopele,4495,72,34,38,1374,750,624,543,241,302,1079,486,593,1427,761,666
municipality,FS184,municipality-FS184,Matjhabeng,39092,2270,1326,944,12545,6408,6137,3039,1356,1683,4896,2073,2823,16342,8767,7575
municipality,FS185,municipality-FS185,Nala,7378,158,96,62,2522,1383,1139,780,405,375,1435,644,791,2483,1341,1142
municipality,FS192,municipality-FS192,Dihlabeng,11187,593,356,237,3532,1877,1655,981,499,482,1744,831,913,4337,2268,2069
municipality,FS193,municipality-FS193,Nketoana,5540,161,90,71,1943,987,956,644,322,322,1040,508,532,1752,942,810
municipality,FS194,municipality-FS194,Maluti a Phofung,33411,1806,1035,771,11953,5997,5956,1972,898,1074,3180,1377,1803,14500,8327,6173
municipality,FS195,municipality-FS195,Phumelela,4365,127,85,42,1526,789,737,369,181,188,883,393,490,1460,781,679
municipality,FS201,municipality-FS201,Moqhaka,13066,602,353,249,4053,2064,1989,972,454,518,1836,843,993,5603,2882,2721
municipality,FS203,municipality-FS203,Ngwathe,10463,300,200,100,3434,1710,1724,857,381,476,1759,859,900,4113,2207,1906
municipality,FS204,municipality-FS204,Metsimaholo,14275,1185,650,535,4614,2242,2372,964,417,547,1699,721,978,5813,2982,2831
municipality,FS205,municipality-FS205,Mafube,5179,110,63,47,1674,830,844,444,204,240,808,340,468,2143,1170,973
municipality,GT421,municipality-GT421,Emfuleni,75048,7200,3923,3277,21055,9986,11069,2758,1103,1655,5241,2054,3187,38794,20495,18299
municipality,GT423,municipality-GT423,Lesedi,8904,416,209,207,3106,1493,1613,645,255,390,1063,432,631,3674,1991,1683
municipality,GT481,municipality-GT481,Mogale City,34785,2711,1581,1130,9616,4488,5128,1954,853,1101,4352,1820,2532,16152,8202,7950
municipality,GT482,municipality-GT482,Randfontein,14026,895,506,389,4194,1927,2267,861,351,510,1544,643,901,6532,3459,3073
municipality,GT483,municipality-GT483,Westonaria,11855,364,211,153,3758,1763,1995,1000,433,567,2001,837,1164,4732,2345,2387
municipality,KZN211,municipality-KZN211,Vulamehlo,6697,85,46,39,2270,1093,1177,347,153,194,1075,508,567,2920,1648,1272
municipality,KZN212,municipality-KZN212,Umdoni,7386,250,139,111,2007,1055,952,502,229,273,1178,547,631,3449,1796,1653
municipality,KZN213,municipality-KZN213,Umzumbe,13722,256,164,92,4954,2495,2459,969,449,520,2080,880,1200,5463,2936,2527
municipality,KZN214,municipality-KZN214,UMuziwabantu,8080,163,95,68,2928,1559,1369,657,338,319,1982,921,1061,2350,1308,1042
municipality,KZN215,municipality-KZN215,Ezingoleni,4333,71,52,19,1722,847,875,440,200,240,814,363,451,1286,765,521
municipality,KZN221,municipality-KZN221,uMshwathi,10054,176,96,80,3237,1601,1636,744,380,364,1971,979,992,3926,2082,1844
municipality,KZN222,municipality-KZN222,uMngeni,8223,441,261,180,2063,1047,1016,578,297,281,1355,570,785,3786,1917,1869
municipality,KZN223,municipality-KZN223,Mpofana,3751,72,48,24,1230,604,626,244,128,116,632,304,328,1573,791,782
municipality,KZN224,municipality-KZN224,Impendle,2844,51,35,16,932,444,488,161,82,79,329,129,200,1371,743,628
municipality,KZN225,municipality-KZN225,The Msunduzi,63327,4914,2850,2064,15835,7674,8161,2868,1293,1575,5981,2649,3332,33729,17957,15772
municipality,KZN226,municipality-KZN226,Mkhambathini,6164,140,79,61,1915,979,936,495,212,283,1229,566,663,2385,1253,1132
municipality,KZN232,municipality-KZN232,Emnambithi/Ladysmith,21471,832,510,322,6508,3479,3029,1240,587,653,2373,1100,1273,10518,5672,4846
municipality,KZN233,municipality-KZN233,Indaka,8427,93,57,36,2957,1665,1292,638,319,319,1472,745,727,3267,2015,1252
municipality,KZN234,municipality-KZN234,Umtshezi,7383,241,146,95,2252,1102,1150,459,228,231,1157,621,536,3274,1695,1579
municipality,KZN235,municipality-KZN235,Okhahlamba,10780,156,98,58,3782,1991,1791,642,356,286,1466,674,792,4734,2711,2023
municipality,KZN236,municipality-KZN236,Imbabazane,10231,185,95,90,3278,1609,1669,555,288,267,1311,661,650,4902,2618,2284
municipality,KZN242,municipality-KZN242,Nqutu,13765,239,144,95,5166,2849,2317,1019,463,556,2257,1061,1196,5084,3197,1887
municipality,KZN244,municipality-KZN244,Msinga,12901,200,124,76,3812,2137,1675,744,390,354,3186,1997,1189,4959,3089,1870
municipality,KZN245,municipality-KZN245,Umvoti,8881,164,103,61,2676,1439,1237,618,286,332,1812,961,851,3611,2176,1435
municipality,KZN252,municipality-KZN252,Newcastle,35235,2099,1123,976,10208,4946,5262,1567,699,868,2712,1226,1486,18649,9919,8730
municipality,KZN254,municipality-KZN254,Dannhauser,9159,196,121,75,3371,1662,1709,684,303,381,1032,441,591,3876,2105,1771
municipality,KZN261,municipality-KZN261,eDumbe,7364,117,81,36,2693,1415,1278,561,288,273,1193,541,652,2800,1572,1228
municipality,KZN262,municipality-KZN262,UPhongolo,12480,201,115,86,4042,2104,1938,793,405,388,2276,1108,1168,5168,2852,2316
municipality,KZN263,municipality-KZN263,Abaqulusi,18456,414,258,156,6197,3149,3048,1188,528,660,2565,1159,1406,8092,4439,3653
municipality,KZN265,municipality-KZN265,Nongoma,17577,399,243,156,5226,2684,2542,912,432,480,2326,1139,1187,8714,5339,3375
municipality,KZN266,municipality-KZN266,Ulundi,16626,420,264,156,4561,2302,2259,769,315,454,2226,1042,1184,8650,5218,3432
municipality,KZN272,municipality-KZN272,Jozini,17391,234,139,95,5912,3162,2750,1018,533,485,2967,1550,1417,7260,4073,3187
municipality,KZN273,municipality-KZN273,The Big 5 False Bay,3267,57,34,23,992,517,475,249,129,120,663,340,323,1306,768,538
municipality,KZN274,municipality-KZN274,Hlabisa,6492,84,53,31,2250,1151,1099,393,167,226,832,410,422,2933,1794,1139
municipality,KZN275,municipality-KZN275,Mtubatuba,16241,297,188,109,5099,2643,2456,874,402,472,2395,1167,1228,7576,4316,3260
municipality,KZN281,municipality-KZN281,Mfolozi,12320,177,100,77,4256,2202,2054,681,291,390,1376,639,737,5830,3190,2640
