geo_level,geo_code,geoid,name,total,Income-poor,Income-poor-Black African,Income-poor-Black African-Female,Income-poor-Black African-Male,Income-poor-Coloured,Income-poor-Coloured-Female,Income-poor-Coloured-Male,Income-poor-Indian or Asian,Income-poor-Indian or Asian-Female,Income-poor-Indian or Asian-Male,Income-poor-Other,Income-poor-Other-Female,Income-poor-Other-Male,Income-poor-White,Income-poor-White-Female,Income-poor-White-Male,Non-poor,Non-poor-Black African,Non-poor-Black African-Female,Non-poor-Black African-Male,Non-poor-Coloured,Non-poor-Coloured-Female,Non-poor-Coloured-Male,Non-poor-Indian or Asian,Non-poor-Indian or Asian-Female,Non-poor-Indian or Asian-Male,Non-poor-Other,Non-poor-Other-Female,Non-poor-Other-Male,Non-poor-White,Non-poor-White-Female,Non-poor-White-Male
country,ZA,country-ZA,South Africa,8474230,5267334,4862644,2562638,2300006,339132,175944,163188,32814,15824,16990,11170,4620,6550,21574,10752,10822,3206896,2241435,1089915,1151520,400978,199731,201247,145818,70206,75612,22593,7714,14879,396072,197033,199039
municipality,WC044,municipality-WC044,George,28695,14857,5474,3000,2474,9116,4779,4337,50,29,21,54,20,34,163,105,58,13838,3028,1490,1538,7665,3836,3829,73,36,37,195,59,136,2877,1455,1422
municipality,WC047,municipality-WC047,Bitou,6379,3478,1953,1088,865,1299,686,613,19,12,7,173,74,99,34,10,24,2901,1208,546,662,1029,515,514,13,8,5,195,84,111,456,235,221
municipality,WC048,municipality-WC048,Knysna,9096,4975,2376,1306,1070,2491,1305,1186,26,14,12,23,11,12,59,19,40,4121,1271,643,628,2030,1003,1027,12,6,6,86,23,63,722,377,345
municipality,WC051,municipality-WC051,Laingsburg,1076,567,33,14,19,525,286,239,0,0,0,3,2,1,6,3,3,509,39,10,29,429,203,226,0,0,0,6,4,2,35,14,21
municipality,WC052,municipality-WC052,Prince Albert,2092,1445,28,16,12,1400,735,665,5,1,4,0,0,0,12,6,6,647,26,7,19,532,227,305,2,0,2,9,1,8,78,32,46
municipality,WC053,municipality-WC053,Beaufort West,7211,4612,758,434,324,3792,1957,1835,16,7,9,12,7,5,34,11,23,2599,399,190,209,1841,900,941,11,6,5,13,1,12,335,159,176
municipality,MP303,municipality-MP303,Mkhondo,26818,20925,20725,10950,9775,88,53,35,54,24,30,11,5,6,47,26,21,5893,5063,2491,2572,65,40,25,150,65,85,39,7,32,576,265,311
municipality,MP311,municipality-MP311,Victor Khanye,11843,6974,6739,3510,3229,68,43,25,11,4,7,18,2,16,138,71,67,4869,3494,1556,1938,74,37,37,38,18,20,16,6,10,1247,565,682
municipality,MP322,municipality-MP322,Mbombela,110709,69550,68803,36746,32057,445,251,194,77,13,64,46,19,27,179,108,71,41159,35099,17642,17457,701,374,327,489,243,246,81,29,52,4789,2415,2374
municipality,NW373,municipality-NW373,Rustenburg,77090,31329,30770,16267,14503,183,86,97,80,42,38,78,32,46,218,107,111,45761,39328,17955,21373,463,213,250,484,202,282,240,73,167,5246,2555,2691
municipality,NW384,municipality-NW384,Ditsobotla,27201,20020,19516,10375,9141,363,200,163,18,8,10,18,4,14,105,44,61,7181,5436,2359,3077,189,97,92,115,29,86,47,10,37,1394,681,713
municipality,NW396,municipality-NW396,Lekwa-Teemane,8700,6434,5852,3057,2795,483,245,238,4,0,4,8,5,3,87,35,52,2266,1571,697,874,222,100,122,27,6,21,26,6,20,420,235,185
municipality,NC062,municipality-NC062,Nama Khoi,6894,3555,62,21,41,3465,1772,1693,11,3,8,12,6,6,5,1,4,3339,124,48,76,2932,1443,1489,21,15,6,38,7,31,224,98,126
municipality,NC071,municipality-NC071,Ubuntu,2737,1859,391,214,177,1449,764,685,9,3,6,2,2,0,8,3,5,878,229,96,133,559,249,310,1,1,0,18,5,13,71,33,38
municipality,NC077,municipality-NC077,Siyathemba,3280,2173,417,238,179,1742,927,815,9,2,7,1,1,0,4,1,3,1107,210,85,125,729,333,396,10,2,8,16,2,14,142,72,70
municipality,NC085,municipality-NC085,Tsantsabane,5695,2552,1319,713,606,1200,576,624,7,1,6,11,3,8,15,12,3,3143,1622,701,921,1182,576,606,19,1,18,27,5,22,293,126,167
municipality,NC094,municipality-NC094,Phokwane,10241,7559,6754,3574,3180,744,404,340,14,6,8,20,7,13,27,14,13,2682,1837,847,990,434,220,214,25,1,24,28,7,21,358,177,181
municipality,WC012,municipality-WC012,Cederberg,7382,3344,354,193,161,2948,1569,1379,5,1,4,8,0,8,29,8,21,4038,544,237,307,3079,1459,1620,16,6,10,12,2,10,387,193,194
municipality,WC024,municipality-WC024,Stellenbosch,22905,8990,3594,1984,1610,5058,2622,2436,32,11,21,48,8,40,258,140,118,13915,3001,1428,1573,7966,3931,4035,42,23,19,100,26,74,2806,1421,1385
municipality,WC033,municipality-WC033,Cape Agulhas,4765,2062,263,152,111,1763,967,796,3,1,2,8,3,5,25,7,18,2703,360,164,196,1807,931,876,8,3,5,36,13,23,492,236,256
municipality,WC045,municipality-WC045,Oudtshoorn,15143,9986,780,397,383,9105,4672,4433,24,9,15,16,5,11,61,25,36,5157,489,259,230,3818,1867,1951,18,6,12,74,27,47,758,356,402
municipality,EC102,municipality-EC102,Blue Crane Route,5313,3758,2440,1281,1159,1277,678,599,6,3,3,21,13,8,14,7,7,1555,785,382,403,577,275,302,6,0,6,23,4,19,164,79,85
municipality,EC103,municipality-EC103,Ikwezi,1494,1121,456,234,222,650,382,268,3,0,3,3,0,3,9,4,5,373,137,58,79,171,65,106,0,0,0,10,0,10,55,31,24
municipality,EC104,municipality-EC104,Makana,11895,7284,6329,3332,2997,846,443,403,14,8,6,19,6,13,76,43,33,4611,3028,1470,1558,755,404,351,28,10,18,54,14,40,746,378,368
