,geo_level,geo_code,geoid,name,total,No,Unspecified,Yes,province
0,country,ZA,country-ZA,South Africa,9886916,344992,50430,9491494,South Africa
1,municipality,WC044,municipality-WC044,George,32616,379,127,32110,Western Cape
2,municipality,WC047,municipality-WC047,Bitou,7572,195,19,7358,Western Cape
3,municipality,WC048,municipality-WC048,Knysna,10615,356,29,10230,Western Cape
4,municipality,WC051,municipality-WC051,Laingsburg,1177,11,6,1160,Western Cape
5,municipality,WC052,municipality-WC052,Prince Albert,2227,7,1,2219,Western Cape
6,municipality,WC053,municipality-WC053,Beaufort West,8126,49,70,8007,Western Cape
7,municipality,MP303,municipality-MP303,Mkhondo,30525,471,109,29945,Mpumalanga
8,municipality,MP311,municipality-MP311,Victor Khanye,13535,514,79,12942,Mpumalanga
9,municipality,MP322,municipality-MP322,Mbombela,124575,4290,531,119754,North West
10,municipality,NW373,municipality-NW373,Rustenburg,94936,7640,623,86673,North West
11,municipality,NW384,municipality-NW384,Ditsobotla,29720,460,57,29203,North West
12,municipality,NW396,municipality-NW396,Lekwa-Teemane,9567,106,25,9436,Northern Cape
13,municipality,NC062,municipality-NC062,Nama Khoi,7484,49,5,7430,Northern Cape
14,municipality,NC071,municipality-NC071,Ubuntu,3079,43,6,3030,Northern Cape
15,municipality,NC077,municipality-NC077,Siyathemba,3468,40,7,3421,Northern Cape
16,municipality,NC085,municipality-NC085,Tsantsabane,6422,68,15,6339,Northern Cape
17,municipality,NC094,municipality-NC094,Phokwane,11411,120,24,11267,Western Cape
18,municipality,WC012,municipality-WC012,Cederberg,8037,226,53,7758,Western Cape
19,municipality,WC024,municipality-WC024,Stellenbosch,32264,841,289,31134,Western Cape
20,municipality,WC033,municipality-WC033,Cape Agulhas,5242,154,50,5038,Western Cape
21,municipality,WC045,municipality-WC045,Oudtshoorn,16354,79,24,16251,Eastern Cape
22,municipality,EC102,municipality-EC102,Blue Crane Route,5857,40,22,5795,Eastern Cape
23,municipality,EC103,municipality-EC103,Ikwezi,1662,22,6,1634,Eastern Cape
24,municipality,EC104,municipality-EC104,Makana,13753,291,57,13405,Eastern Cape
25,municipality,EC106,municipality-EC106,Sundays River Valley,9365,335,22,9008,Eastern Cape
26,municipality,EC107,municipality-EC107,Baviaans,2794,21,2,2771,Eastern Cape
27,municipality,EC108,municipality-EC108,Kouga,15720,282,79,15359,Eastern Cape
28,municipality,EC109,municipality-EC109,Kou-Kamma,6672,185,27,6460,Eastern Cape
29,municipality,EC121,municipality-EC121,Mbhashe,52649,192,171,52286,Eastern Cape
30,municipality,EC123,municipality-EC123,Great Kei,6666,18,38,6610,Eastern Cape
31,municipality,EC124,municipality-EC124,Amahlathi,22059,93,37,21929,Eastern Cape
32,municipality,EC126,municipality-EC126,Ngqushwa,11954,58,36,11860,Eastern Cape
33,municipality,EC127,municipality-EC127,Nkonkobe,20924,199,73,20652,Eastern Cape
34,municipality,EC131,municipality-EC131,Inxuba Yethemba,10970,85,30,10855,Eastern Cape
35,municipality,EC132,municipality-EC132,Tsolwana,6263,84,34,6145,Eastern Cape
36,municipality,EC133,municipality-EC133,Inkwanca,4122,44,15,4063,Eastern Cape
37,municipality,EC134,municipality-EC134,Lukanji,36389,525,86,35778,Eastern Cape
38,municipality,EC136,municipality-EC136,Emalahleni,22263,205,83,21975,Eastern Cape
39,municipality,EC137,municipality-EC137,Engcobo,29896,180,378,29338,Eastern Cape
40,municipality,EC138,municipality-EC138,Sakhisizwe,12644,115,109,12420,Eastern Cape
41,municipality,EC141,municipality-EC141,Elundini,28411,331,135,27945,Eastern Cape
42,municipality,EC142,municipality-EC142,Senqu,27396,985,162,26249,Eastern Cape
43,municipality,EC143,municipality-EC143,Maletswai,8097,102,23,7972,Eastern Cape
44,municipality,EC153,municipality-EC153,Ngquza Hill,59427,205,217,59005,Eastern Cape
45,municipality,EC154,municipality-EC154,Port St Johns,34389,52,161,34176,Eastern Cape
46,municipality,EC155,municipality-EC155,Nyandeni,64655,183,313,64159,Eastern Cape
47,municipality,EC156,municipality-EC156,Mhlontlo,40277,136,258,39883,Eastern Cape
48,municipality,EC441,municipality-EC441,Matatiele,41021,701,361,39959,Eastern Cape
49,municipality,EC442,municipality-EC442,Umzimvubu,39664,163,323,39178,Eastern Cape
50,municipality,EC443,municipality-EC443,Mbizana,60208,129,338,59741,Eastern Cape
51,municipality,EC444,municipality-EC444,Ntabankulu,26569,84,75,26410,Free State
52,municipality,FS161,municipality-FS161,Letsemeng,6733,60,7,6666,Free State
53,municipality,FS162,municipality-FS162,Kopanong,8384,104,11,8269,Free State
54,municipality,FS163,municipality-FS163,Mohokare,6421,118,6,6297,Free State
55,municipality,FS181,municipality-FS181,Masilonyana,10944,158,61,10725,Free State
56,municipality,FS182,municipality-FS182,Tokologo,4970,63,13,4894,Free State
57,municipality,FS183,municipality-FS183,Tswelopele,8870,84,8,8778,Free State
58,municipality,FS184,municipality-FS184,Matjhabeng,75962,2963,214,72785,Free State
59,municipality,FS185,municipality-FS185,Nala,14927,148,33,14746,Free State
60,municipality,FS192,municipality-FS192,Dihlabeng,22404,279,33,22092,Free State
61,municipality,FS193,municipality-FS193,Nketoana,11392,90,16,11286,Free State
62,municipality,FS194,municipality-FS194,Maluti a Phofung,72911,511,137,72263,Free State
63,municipality,FS195,municipality-FS195,Phumelela,8899,114,4,8781,Free State
64,municipality,FS201,municipality-FS201,Moqhaka,26470,325,57,26088,Free State
65,municipality,FS203,municipality-FS203,Ngwathe,21159,317,42,20800,Free State
66,municipality,FS204,municipality-FS204,Metsimaholo,26671,569,94,26008,Free State
67,municipality,FS205,municipality-FS205,Mafube,10803,110,30,10663,Gauteng
68,municipality,GT421,municipality-GT421,Emfuleni,137855,4852,703,132300,Gauteng
69,municipality,GT423,municipality-GT423,Lesedi,16975,677,84,16214,Gauteng
70,municipality,GT481,municipality-GT481,Mogale City,61201,4591,379,56231,Gauteng
71,municipality,GT482,municipality-GT482,Randfontein,25429,1128,133,24168,Gauteng
72,municipality,GT483,municipality-GT483,Westonaria,20140,2536,128,17476,KwaZulu-Natal
73,municipality,KZN211,municipality-KZN211,Vulamehlo,15935,13,104,15818,KwaZulu-Natal
74,municipality,KZN212,municipality-KZN212,Umdoni,14818,52,75,14691,KwaZulu-Natal
75,municipality,KZN213,municipality-KZN213,Umzumbe,33441,61,115,33265,KwaZulu-Natal
76,municipality,KZN214,municipality-KZN214,UMuziwabantu,20550,45,56,20449,KwaZulu-Natal
77,municipality,KZN215,municipality-KZN215,Ezingoleni,10861,21,21,10819,KwaZulu-Natal
78,municipality,KZN221,municipality-KZN221,uMshwathi,22178,190,103,21885,KwaZulu-Natal
79,municipality,KZN222,municipality-KZN222,uMngeni,15706,550,90,15066,KwaZulu-Natal
80,municipality,KZN223,municipality-KZN223,Mpofana,7273,87,54,7132,KwaZulu-Natal
81,municipality,KZN224,municipality-KZN224,Impendle,6857,24,25,6808,KwaZulu-Natal
82,municipality,KZN225,municipality-KZN225,The Msunduzi,124237,1762,608,121867,KwaZulu-Natal
83,municipality,KZN226,municipality-KZN226,Mkhambathini,12647,135,17,12495,KwaZulu-Natal
84,municipality,KZN232,municipality-KZN232,Emnambithi/Ladysmith,46170,376,207,45587,KwaZulu-Natal
85,municipality,KZN233,municipality-KZN233,Indaka,21866,26,68,21772,KwaZulu-Natal
86,municipality,KZN234,municipality-KZN234,Umtshezi,16072,116,90,15866,KwaZulu-Natal
87,municipality,KZN235,municipality-KZN235,Okhahlamba,26415,159,55,26201,KwaZulu-Natal
88,municipality,KZN236,municipality-KZN236,Imbabazane,23912,31,102,23779,KwaZulu-Natal
89,municipality,KZN242,municipality-KZN242,Nqutu,34986,90,60,34836,KwaZulu-Natal
90,municipality,KZN244,municipality-KZN244,Msinga,36125,58,172,35895,KwaZulu-Natal
91,municipality,KZN245,municipality-KZN245,Umvoti,20838,121,63,20654,KwaZulu-Natal
92,municipality,KZN252,municipality-KZN252,Newcastle,75163,644,280,74239,KwaZulu-Natal
93,municipality,KZN254,municipality-KZN254,Dannhauser,21651,63,29,21559,KwaZulu-Natal
94,municipality,KZN261,municipality-KZN261,eDumbe,17002,165,61,16776,KwaZulu-Natal
95,municipality,KZN262,municipality-KZN262,UPhongolo,28089,589,96,27404,KwaZulu-Natal
96,municipality,KZN263,municipality-KZN263,Abaqulusi,42523,241,225,42057,KwaZulu-Natal
97,municipality,KZN265,municipality-KZN265,Nongoma,43231,107,230,42894,KwaZulu-Natal
98,municipality,KZN266,municipality-KZN266,Ulundi,39695,147,143,39405,KwaZulu-Natal
99,municipality,KZN272,municipality-KZN272,Jozini,41474,310,172,40992,KwaZulu-Natal
100,municipality,KZN273,municipality-KZN273,The Big 5 False Bay,7481,56,126,7299,KwaZulu-Natal
101,municipality,KZN274,municipality-KZN274,Hlabisa,15989,33,76,15880,KwaZulu-Natal
102,municipality,KZN275,municipality-KZN275,Mtubatuba,37293,311,276,36706,KwaZulu-Natal
103,municipality,KZN281,municipality-KZN281,Mfolozi,26388,134,226,26028,KwaZulu-Natal
104,municipality,KZN283,municipality-KZN283,Ntambanana,16530,39,125,16366,KwaZulu-Natal
105,municipality,KZN284,municipality-KZN284,uMlalazi,45337,296,250,44791,KwaZulu-Natal
106,municipality,KZN285,municipality-KZN285,Mthonjaneni,9718,89,26,9603,KwaZulu-Natal
107,municipality,KZN286,municipality-KZN286,Nkandla,24302,40,72,24190,KwaZulu-Natal
108,municipality,KZN291,municipality-KZN291,Mandeni,29135,376,109,28650,KwaZulu-Natal
109,municipality,KZN293,municipality-KZN293,Ndwedwe,29554,73,114,29367,KwaZulu-Natal
110,municipality,KZN294,municipality-KZN294,Maphumulo,20652,45,126,20481,KwaZulu-Natal
111,municipality,KZN431,municipality-KZN431,Ingwe,20904,92,72,20740,KwaZulu-Natal
112,municipality,KZN432,municipality-KZN432,Kwa Sani,2258,23,9,2226,KwaZulu-Natal
