geo_level,geo_code,geoid,name,total,Do not know,Given birth,Never given birth,Unspecified
country,ZA,country-ZA,South Africa,5100726,7668,1585260,2519482,988316
municipality,WC044,municipality-WC044,George,17027,15,5231,7829,3952
municipality,WC047,municipality-WC047,Bitou,3948,4,1269,1827,848
municipality,WC048,municipality-WC048,Knysna,5560,6,1781,2385,1388
municipality,WC051,municipality-WC051,Laingsburg,617,0,213,280,124
municipality,WC052,municipality-WC052,Prince Albert,1100,1,395,582,122
municipality,WC053,municipality-WC053,Beaufort West,4142,1,1363,1594,1184
municipality,MP303,municipality-MP303,Mkhondo,15749,62,5951,6235,3501
municipality,MP311,municipality-MP311,Victor Khanye,6587,12,2417,2944,1214
municipality,MP322,municipality-MP322,Mbombela,65196,100,23038,31695,10363
municipality,NW373,municipality-NW373,Rustenburg,46605,58,15490,20791,10266
municipality,NW384,municipality-NW384,Ditsobotla,15139,10,5719,7452,1958
municipality,NW396,municipality-NW396,Lekwa-Teemane,4789,1,1742,2328,718
municipality,NC062,municipality-NC062,Nama Khoi,3928,1,1185,2063,679
municipality,NC071,municipality-NC071,Ubuntu,1535,3,620,686,226
municipality,NC077,municipality-NC077,Siyathemba,1778,1,701,891,185
municipality,NC085,municipality-NC085,Tsantsabane,3055,3,1258,1385,409
municipality,NC094,municipality-NC094,Phokwane,5747,11,2275,2499,962
municipality,WC012,municipality-WC012,Cederberg,4289,7,1519,1589,1174
municipality,WC024,municipality-WC024,Stellenbosch,19642,30,4147,7705,7760
municipality,WC033,municipality-WC033,Cape Agulhas,2752,1,900,1197,654
municipality,WC045,municipality-WC045,Oudtshoorn,8525,11,2743,3641,2130
municipality,EC102,municipality-EC102,Blue Crane Route,2998,2,931,1548,517
municipality,EC103,municipality-EC103,Ikwezi,858,0,303,371,184
municipality,EC104,municipality-EC104,Makana,9114,13,1677,4238,3186
municipality,EC106,municipality-EC106,Sundays River Valley,4402,6,1498,2169,729
municipality,EC107,municipality-EC107,Baviaans,1398,2,554,649,193
municipality,EC108,municipality-EC108,Kouga,7922,13,2956,3616,1337
municipality,EC109,municipality-EC109,Kou-Kamma,3233,2,1378,1301,552
municipality,EC121,municipality-EC121,Mbhashe,27408,16,7876,15134,4382
municipality,EC123,municipality-EC123,Great Kei,3306,0,839,1781,686
municipality,EC124,municipality-EC124,Amahlathi,10839,5,2989,6286,1559
