geo_level,geo_code,geoid,name,total,Afrikaans,English,IsiNdebele,IsiXhosa,IsiZulu,Other,Sepedi,Sesotho,Setswana,Sign language,Siswati,Tshivenda,Xitsonga
country,ZA,country-ZA,South Africa,9886915,1097555,796150,217968,1651542,2422317,162823,958750,741191,756180,49773,291191,259491,481984
municipality,WC044,municipality-WC044,George,32616,21394,2105,54,8007,121,302,48,178,143,184,27,25,28
municipality,WC047,municipality-WC047,Bitou,7571,3380,588,22,3204,38,139,19,66,33,35,9,9,29
municipality,WC048,municipality-WC048,Knysna,10617,5652,870,34,3504,76,276,20,57,47,54,8,8,11
municipality,WC051,municipality-WC051,Laingsburg,1177,1105,20,1,13,7,7,1,5,10,6,1,1,0
municipality,WC052,municipality-WC052,Prince Albert,2226,2091,60,2,23,2,10,1,8,18,7,1,3,0
municipality,WC053,municipality-WC053,Beaufort West,8126,6736,189,13,967,30,34,19,45,53,27,2,10,1
municipality,MP303,municipality-MP303,Mkhondo,30526,824,754,296,34,27504,155,67,38,175,103,546,9,21
municipality,MP311,municipality-MP311,Victor Khanye,13534,1726,503,3461,470,5244,284,453,491,259,24,264,77,278
municipality,MP322,municipality-MP322,Mbombela,124574,5285,4439,182,198,1585,1223,704,1421,231,132,104251,351,4572
municipality,NW373,municipality-NW373,Rustenburg,94936,7957,5436,1169,9208,2828,3279,1639,3812,53522,428,558,507,4593
municipality,NW384,municipality-NW384,Ditsobotla,29720,2325,815,315,962,575,295,96,535,23566,141,15,20,60
municipality,NW396,municipality-NW396,Lekwa-Teemane,9566,1377,228,83,568,124,95,20,618,6337,58,7,7,44
municipality,NC062,municipality-NC062,Nama Khoi,7482,7190,63,18,56,11,37,8,22,43,30,1,2,1
municipality,NC071,municipality-NC071,Ubuntu,3078,2513,60,13,390,15,9,11,20,21,15,0,9,2
municipality,NC077,municipality-NC077,Siyathemba,3469,3242,29,5,101,13,16,1,7,38,11,2,4,0
municipality,NC085,municipality-NC085,Tsantsabane,6422,3536,158,41,153,76,88,19,151,2127,35,0,26,12
municipality,NC094,municipality-NC094,Phokwane,11413,1911,525,151,685,163,79,41,152,7632,40,6,8,20
municipality,WC012,municipality-WC012,Cederberg,8036,6856,162,6,495,13,46,7,342,70,31,0,8,0
municipality,WC024,municipality-WC024,Stellenbosch,32262,20781,3106,47,6975,95,488,40,373,125,172,13,22,25
municipality,WC033,municipality-WC033,Cape Agulhas,5243,4353,214,12,408,29,120,7,42,25,24,2,7,0
municipality,WC045,municipality-WC045,Oudtshoorn,16354,14823,366,16,807,23,56,17,60,126,31,7,13,9
municipality,EC102,municipality-EC102,Blue Crane Route,5856,2477,170,7,3084,9,34,6,21,22,18,4,2,2
municipality,EC103,municipality-EC103,Ikwezi,1661,1117,45,4,456,0,16,2,3,9,6,1,2,0
municipality,EC104,municipality-EC104,Makana,13752,1951,1914,50,9385,73,144,29,61,44,74,10,7,10
municipality,EC106,municipality-EC106,Sundays River Valley,9365,2516,344,49,5966,50,183,24,127,27,47,2,14,16
municipality,EC107,municipality-EC107,Baviaans,2794,2570,43,1,148,1,14,1,6,7,3,0,0,0
municipality,EC108,municipality-EC108,Kouga,15719,9260,742,30,5090,98,213,20,114,72,28,8,16,28
municipality,EC109,municipality-EC109,Kou-Kamma,6671,4657,210,19,1449,19,134,3,92,38,23,5,15,7
municipality,EC121,municipality-EC121,Mbhashe,52647,290,905,116,50272,186,129,132,142,67,349,14,33,12
municipality,EC123,municipality-EC123,Great Kei,6665,104,267,1,6200,18,14,7,4,7,43,0,0,0
municipality,EC124,municipality-EC124,Amahlathi,22061,374,509,27,20748,41,63,35,92,18,135,3,11,5
municipality,EC126,municipality-EC126,Ngqushwa,11956,73,335,32,11298,39,32,27,34,17,39,8,10,12
municipality,EC127,municipality-EC127,Nkonkobe,20925,1090,624,34,18692,66,116,54,55,35,122,15,11,11
municipality,EC131,municipality-EC131,Inxuba Yethemba,10969,4867,304,14,5525,22,55,29,42,46,51,4,3,7
municipality,EC132,municipality-EC132,Tsolwana,6262,429,114,18,5402,17,42,26,168,6,29,2,2,7
municipality,EC133,municipality-EC133,Inkwanca,4120,263,94,18,3660,14,27,7,10,6,19,0,1,1
municipality,EC134,municipality-EC134,Lukanji,36388,1797,1564,128,31711,132,327,92,276,60,266,7,9,19
municipality,EC136,municipality-EC136,Emalahleni,22263,209,348,36,21190,51,95,51,125,22,116,1,5,14
municipality,EC137,municipality-EC137,Engcobo,29894,268,655,76,28180,88,85,77,112,54,280,3,14,2
municipality,EC138,municipality-EC138,Sakhisizwe,12644,149,336,36,11712,35,57,53,60,22,171,0,6,7
municipality,EC141,municipality-EC141,Elundini,28412,415,469,61,19381,91,79,66,7624,28,170,6,17,5
municipality,EC142,municipality-EC142,Senqu,27396,503,359,57,20243,66,121,39,5781,39,152,0,14,22
municipality,EC143,municipality-EC143,Maletswai,8098,980,183,6,5232,18,38,18,1578,10,33,0,1,1
municipality,EC153,municipality-EC153,Ngquza Hill,59427,231,1523,118,55976,544,206,202,96,82,397,6,28,18
municipality,EC154,municipality-EC154,Port St Johns,34388,183,969,82,32647,155,16,76,55,49,135,1,14,6
municipality,EC155,municipality-EC155,Nyandeni,64655,324,1544,129,61345,185,81,171,157,87,524,31,57,20
municipality,EC156,municipality-EC156,Mhlontlo,40277,237,961,74,38184,151,65,102,104,75,254,8,49,13
municipality,EC441,municipality-EC441,Matatiele,41022,642,1159,149,23704,782,183,106,13700,69,479,11,21,17
municipality,EC442,municipality-EC442,Umzimvubu,39663,210,1087,103,36945,266,426,83,192,52,230,16,19,34
municipality,EC443,municipality-EC443,Mbizana,60208,309,1338,148,56289,897,124,180,186,112,580,7,23,15
