geo_level,geo_code,geoid,name,total,Multidimensionally poor,Multidimensionally poor-Black African,Multidimensionally poor-Black African-Female,Multidimensionally poor-Black African-Male,Multidimensionally poor-Coloured,Multidimensionally poor-Coloured-Female,Multidimensionally poor-Coloured-Male,Multidimensionally poor-Indian or Asian,Multidimensionally poor-Indian or Asian-Female,Multidimensionally poor-Indian or Asian-Male,Multidimensionally poor-Other,Multidimensionally poor-Other-Female,Multidimensionally poor-Other-Male,Multidimensionally poor-White,Multidimensionally poor-White-Female,Multidimensionally poor-White-Male,Non-poor,Non-poor-Black African,Non-poor-Black African-Female,Non-poor-Black African-Male,Non-poor-Coloured,Non-poor-Coloured-Female,Non-poor-Coloured-Male,Non-poor-Indian or Asian,Non-poor-Indian or Asian-Female,Non-poor-Indian or Asian-Male,Non-poor-Other,Non-poor-Other-Female,Non-poor-Other-Male,Non-poor-White,Non-poor-White-Female,Non-poor-White-Male
country,ZA,country-ZA,South Africa,9383721,3109052,2878590,1437665,1440925,175544,84366,91178,18745,8882,9863,10160,4080,6080,26013,13693,12320,6274669,5016909,2556810,2460099,621777,319158,302619,174887,84455,90432,27229,9744,17485,433867,214940,218927
municipality,WC044,municipality-WC044,George,30902,7626,3004,1609,1395,4377,2173,2204,19,10,9,61,25,36,165,95,70,23276,6646,3381,3265,13047,6716,6331,119,61,58,219,65,154,3245,1624,1621
municipality,WC047,municipality-WC047,Bitou,7313,2178,1210,624,586,841,407,434,5,4,1,96,34,62,26,11,15,5135,2500,1291,1209,1778,922,856,32,19,13,320,146,174,505,250,255
municipality,WC048,municipality-WC048,Knysna,10055,2873,1480,808,672,1302,652,650,11,6,5,31,15,16,49,30,19,7182,2724,1401,1323,3514,1806,1708,31,14,17,79,21,58,834,423,411
municipality,WC051,municipality-WC051,Laingsburg,1120,284,17,7,10,255,134,121,0,0,0,1,1,0,11,4,7,836,56,18,38,735,370,365,0,0,0,10,6,4,35,15,20
municipality,WC052,municipality-WC052,Prince Albert,2168,792,16,7,9,764,407,357,3,1,2,0,0,0,9,6,3,1376,39,18,21,1234,591,643,5,0,5,9,1,8,89,34,55
municipality,WC053,municipality-WC053,Beaufort West,7713,2047,335,176,159,1674,828,846,7,1,6,14,1,13,17,5,12,5666,961,494,467,4291,2185,2106,25,13,12,22,8,14,367,171,196
municipality,MP303,municipality-MP303,Mkhondo,29872,13551,13409,6975,6434,43,26,17,32,14,18,16,4,12,51,23,28,16321,15405,7800,7605,114,63,51,172,77,95,32,5,27,598,276,322
municipality,MP311,municipality-MP311,Victor Khanye,13101,4059,3789,1884,1905,46,32,14,18,5,13,9,4,5,197,106,91,9042,7538,3633,3905,101,48,53,38,18,20,28,3,25,1337,594,743
municipality,MP322,municipality-MP322,Mbombela,121222,30326,29827,14825,15002,189,111,78,63,27,36,35,18,17,212,137,75,90896,84156,43830,40326,1036,558,478,527,239,288,110,39,71,5067,2559,2508
municipality,NW373,municipality-NW373,Rustenburg,86047,23854,23045,11287,11758,124,59,65,88,42,46,119,50,69,478,287,191,62193,55123,26503,28620,603,285,318,547,232,315,239,73,166,5681,2700,2981
municipality,NW384,municipality-NW384,Ditsobotla,28880,13285,12911,6551,6360,210,102,108,22,7,15,18,4,14,124,75,49,15595,13556,6759,6797,380,212,168,116,36,80,50,10,40,1493,698,795
municipality,NW396,municipality-NW396,Lekwa-Teemane,9387,3674,3297,1634,1663,295,150,145,2,1,1,7,5,2,73,42,31,5713,4713,2319,2394,442,202,240,30,5,25,28,6,22,500,256,244
municipality,NC062,municipality-NC062,Nama Khoi,7333,1885,38,13,25,1809,811,998,5,2,3,14,5,9,19,6,13,5448,164,63,101,4974,2573,2401,28,16,12,42,7,35,240,111,129
municipality,NC071,municipality-NC071,Ubuntu,2937,988,195,93,102,781,424,357,3,2,1,3,1,2,6,5,1,1949,471,240,231,1381,658,723,6,2,4,16,6,10,75,32,43
municipality,NC077,municipality-NC077,Siyathemba,3418,1219,196,93,103,1009,534,475,8,2,6,1,1,0,5,1,4,2199,459,238,221,1565,764,801,9,1,8,16,2,14,150,74,76
municipality,NC085,municipality-NC085,Tsantsabane,6238,1934,1114,540,574,784,406,378,6,1,5,7,1,6,23,10,13,4304,2162,1005,1157,1771,840,931,22,1,21,35,7,28,314,140,174
municipality,NC094,municipality-NC094,Phokwane,11183,4026,3556,1813,1743,419,238,181,6,3,3,17,9,8,28,14,14,7157,5885,2941,2944,827,415,412,27,3,24,29,3,26,389,189,200
municipality,WC012,municipality-WC012,Cederberg,7745,1803,438,217,221,1338,629,709,6,5,1,2,0,2,19,11,8,5942,592,294,298,4879,2486,2393,18,4,14,21,2,19,432,204,228
municipality,WC024,municipality-WC024,Stellenbosch,28372,5745,3125,1563,1562,2284,1100,1184,6,4,2,28,6,22,302,151,151,22627,5493,2869,2624,12096,6106,5990,75,31,44,172,48,124,4791,2338,2453
municipality,WC033,municipality-WC033,Cape Agulhas,5028,1250,317,157,160,872,469,403,2,2,0,28,12,16,31,17,14,3778,367,178,189,2846,1506,1340,15,7,8,23,10,13,527,241,286
municipality,WC045,municipality-WC045,Oudtshoorn,15876,4948,384,189,195,4495,2204,2291,18,4,14,15,7,8,36,16,20,10928,1004,515,489,8909,4581,4328,30,12,18,78,29,49,907,423,484
municipality,EC102,municipality-EC102,Blue Crane Route,5700,2135,1410,741,669,688,347,341,5,0,5,20,10,10,12,3,9,3565,2074,1029,1045,1272,647,625,9,5,4,29,8,21,181,91,90
municipality,EC103,municipality-EC103,Ikwezi,1603,512,179,88,91,327,175,152,0,0,0,5,0,5,1,0,1,1091,451,219,232,562,311,251,2,0,2,9,0,9,67,36,31
municipality,EC104,municipality-EC104,Makana,13244,4027,3506,1743,1763,443,215,228,8,3,5,11,5,6,59,24,35,9217,6828,3551,3277,1229,667,562,45,21,24,80,19,61,1035,526,509
municipality,EC106,municipality-EC106,Sundays River Valley,9122,3862,2942,1423,1519,870,420,450,5,2,3,28,4,24,17,7,10,5260,3750,1729,2021,1195,565,630,7,2,5,81,22,59,227,109,118
municipality,EC107,municipality-EC107,Baviaans,2750,1111,111,60,51,996,498,498,2,1,1,1,0,1,1,1,0,1639,178,87,91,1389,664,725,3,3,0,18,3,15,51,21,30
municipality,EC108,municipality-EC108,Kouga,15106,4946,2410,1243,1167,2412,1287,1125,12,10,2,40,11,29,72,38,34,10160,3795,1882,1913,4999,2487,2512,24,15,9,114,12,102,1228,602,626
municipality,EC109,municipality-EC109,Kou-Kamma,6512,2069,778,373,405,1252,664,588,5,2,3,14,3,11,20,11,9,4443,1375,605,770,2682,1330,1352,17,5,12,94,21,73,275,150,125
municipality,EC121,municipality-EC121,Mbhashe,51608,36171,36061,17485,18576,29,15,14,31,12,19,37,6,31,13,2,11,15437,15354,8023,7331,17,13,4,21,8,13,38,5,33,7,3,4
municipality,EC123,municipality-EC123,Great Kei,6021,2922,2877,1289,1588,32,13,19,1,1,0,0,0,0,12,5,7,3099,2882,1380,1502,41,20,21,5,2,3,4,3,1,167,80,87
municipality,EC124,municipality-EC124,Amahlathi,21800,11205,11068,4932,6136,98,44,54,11,9,2,17,3,14,11,3,8,10595,10225,5149,5076,179,89,90,5,0,5,27,1,26,159,70,89
municipality,EC126,municipality-EC126,Ngqushwa,11026,5084,5057,2291,2766,10,3,7,2,1,1,11,0,11,4,1,3,5942,5904,2857,3047,10,7,3,12,5,7,6,1,5,10,5,5
municipality,EC127,municipality-EC127,Nkonkobe,20527,9417,8894,4025,4869,484,238,246,13,3,10,19,5,14,7,2,5,11110,10536,5112,5424,416,218,198,17,8,9,38,9,29,103,42,61
municipality,EC131,municipality-EC131,Inxuba Yethemba,10703,3637,2343,1162,1181,1221,631,590,11,4,7,26,6,20,36,20,16,7066,3782,1882,1900,2494,1236,1258,27,15,12,61,24,37,702,370,332
municipality,EC132,municipality-EC132,Tsolwana,6137,2889,2676,1272,1404,200,100,100,2,0,2,5,1,4,6,3,3,3248,3053,1540,1513,127,67,60,10,2,8,8,0,8,50,25,25
municipality,EC133,municipality-EC133,Inkwanca,3945,1642,1544,746,798,85,34,51,2,2,0,7,3,4,4,2,2,2303,2124,1060,1064,79,43,36,2,1,1,11,1,10,87,48,39
municipality,EC134,municipality-EC134,Lukanji,35204,11946,11556,5380,6176,297,116,181,19,9,10,43,15,28,31,12,19,23258,21676,11147,10529,935,484,451,96,45,51,101,26,75,450,214,236
municipality,EC136,municipality-EC136,Emalahleni,21599,11891,11793,5279,6514,49,21,28,9,1,8,32,8,24,8,2,6,9708,9558,4782,4776,57,26,31,27,3,24,31,5,26,35,18,17
municipality,EC137,municipality-EC137,Engcobo,27838,20214,20157,9816,10341,10,6,4,8,5,3,25,5,20,14,6,8,7624,7565,3971,3594,14,4,10,17,1,16,20,4,16,8,2,6
municipality,EC138,municipality-EC138,Sakhisizwe,11733,5867,5805,2567,3238,46,25,21,1,0,1,10,0,10,5,4,1,5866,5762,2939,2823,32,19,13,17,6,11,11,1,10,44,25,19
municipality,EC141,municipality-EC141,Elundini,26661,17803,17619,8096,9523,131,59,72,9,0,9,29,6,23,15,6,9,8858,8622,4343,4279,124,70,54,9,0,9,24,4,20,79,37,42
municipality,EC142,municipality-EC142,Senqu,26743,13401,13237,6473,6764,119,49,70,14,5,9,27,14,13,4,2,2,13342,13025,6566,6459,184,97,87,38,10,28,21,7,14,74,33,41
municipality,EC143,municipality-EC143,Maletswai,7616,2773,2550,1329,1221,200,103,97,3,0,3,4,1,3,16,6,10,4843,4193,2167,2026,368,196,172,15,5,10,21,4,17,246,114,132
municipality,EC153,municipality-EC153,Ngquza Hill,56272,38369,38113,18630,19483,145,67,78,52,17,35,39,11,28,20,11,9,17903,17630,9166,8464,205,97,108,25,11,14,32,5,27,11,6,5
municipality,EC154,municipality-EC154,Port St Johns,31965,22030,21917,10771,11146,76,31,45,19,8,11,9,3,6,9,2,7,9935,9826,5280,4546,82,47,35,9,3,6,2,1,1,16,8,8
municipality,EC155,municipality-EC155,Nyandeni,63280,40384,40166,19367,20799,118,58,60,52,24,28,29,9,20,19,11,8,22896,22716,11979,10737,116,58,58,32,17,15,19,14,5,13,7,6
