geo_level,geo_code,geoid,name,total,Black African,Black African-Female,Black African-Male,Coloured,Coloured-Female,Coloured-Male,Indian or Asian,Indian or Asian-Female,Indian or Asian-Male,Other,Other-Female,Other-Male,White,White-Female,White-Male
country,ZA,country-ZA,South Africa,10140505,8450739,4266555,4184184,853183,429852,423331,216351,103701,112650,45530,16736,28794,574702,285072,289630
municipality,WC044,municipality-WC044,George,33651,10757,5541,5216,18242,9254,8988,167,85,82,365,102,263,4120,2055,2065
municipality,WC047,municipality-WC047,Bitou,7848,3994,2052,1942,2700,1366,1334,48,30,18,428,186,242,678,315,363
municipality,WC048,municipality-WC048,Knysna,10874,4602,2398,2204,5059,2578,2481,48,22,26,138,44,94,1027,518,509
municipality,WC051,municipality-WC051,Laingsburg,1237,98,40,58,1064,543,521,0,0,0,13,7,6,62,27,35
municipality,WC052,municipality-WC052,Prince Albert,2246,57,26,31,2050,1020,1030,8,1,7,9,1,8,122,51,71
municipality,WC053,municipality-WC053,Beaufort West,8268,1488,763,725,6210,3121,3089,37,16,21,49,15,34,484,228,256
municipality,MP303,municipality-MP303,Mkhondo,30969,29637,15141,14496,192,108,84,225,97,128,73,15,58,842,391,451
municipality,MP311,municipality-MP311,Victor Khanye,13693,11672,5669,6003,158,87,71,67,27,40,41,8,33,1755,797,958
municipality,MP322,municipality-MP322,Mbombela,127097,118146,60717,57429,1437,768,669,715,322,393,188,76,112,6611,3326,3285
municipality,NW373,municipality-NW373,Rustenburg,97014,87367,42016,45351,888,424,464,716,306,410,471,164,307,7572,3707,3865
municipality,NW384,municipality-NW384,Ditsobotla,30114,27397,13864,13533,620,331,289,177,54,123,76,17,59,1844,877,967
municipality,NW396,municipality-NW396,Lekwa-Teemane,9818,8332,4074,4258,771,368,403,46,11,35,41,14,27,628,323,305
municipality,NC062,municipality-NC062,Nama Khoi,7990,338,152,186,7215,3581,3634,42,23,19,60,15,45,335,159,176
municipality,NC071,municipality-NC071,Ubuntu,3106,708,337,371,2265,1145,1120,11,4,7,27,7,20,95,43,52
municipality,NC077,municipality-NC077,Siyathemba,3552,722,361,361,2623,1323,1300,22,6,16,18,4,14,167,84,83
municipality,NC085,municipality-NC085,Tsantsabane,6509,3431,1593,1838,2629,1286,1343,32,2,30,46,9,37,371,167,204
municipality,NC094,municipality-NC094,Phokwane,11441,9585,4827,4758,1268,664,604,49,7,42,58,15,43,481,235,246
municipality,WC012,municipality-WC012,Cederberg,8700,1598,772,826,6511,3250,3261,39,17,22,26,3,23,526,251,275
