geo_level,geo_code,geoid,name,total,Other,Rest of Africa,SADC,South Africa,Unspecified
country,ZA,country-ZA,South Africa,9738677,23177,29035,296391,9353871,36203
municipality,WC044,municipality-WC044,George,32098,91,139,162,31617,89
municipality,WC047,municipality-WC047,Bitou,7493,21,29,138,7288,17
municipality,WC048,municipality-WC048,Knysna,10501,46,67,239,10105,44
municipality,WC051,municipality-WC051,Laingsburg,1143,6,1,3,1133,0
municipality,WC052,municipality-WC052,Prince Albert,2205,1,6,6,2192,0
municipality,WC053,municipality-WC053,Beaufort West,8010,6,17,23,7960,4
municipality,MP303,municipality-MP303,Mkhondo,29959,35,45,360,29468,51
municipality,MP311,municipality-MP311,Victor Khanye,13318,22,31,484,12709,72
municipality,MP322,municipality-MP322,Mbombela,122730,229,157,4012,117728,604
municipality,NW373,municipality-NW373,Rustenburg,93502,264,364,6718,85232,924
municipality,NW384,municipality-NW384,Ditsobotla,29446,86,44,297,28958,61
municipality,NW396,municipality-NW396,Lekwa-Teemane,9484,51,24,29,9376,4
municipality,NC062,municipality-NC062,Nama Khoi,7391,9,10,47,7300,25
municipality,NC071,municipality-NC071,Ubuntu,3070,6,1,35,3027,1
municipality,NC077,municipality-NC077,Siyathemba,3454,23,1,18,3408,4
municipality,NC085,municipality-NC085,Tsantsabane,6374,23,27,26,6286,12
municipality,NC094,municipality-NC094,Phokwane,11280,43,47,31,11147,12
municipality,WC012,municipality-WC012,Cederberg,7923,10,11,220,7665,17
municipality,WC024,municipality-WC024,Stellenbosch,31724,165,153,587,30616,203
municipality,WC033,municipality-WC033,Cape Agulhas,5154,10,22,113,4999,10
municipality,WC045,municipality-WC045,Oudtshoorn,16205,25,29,32,16111,8
municipality,EC102,municipality-EC102,Blue Crane Route,5772,24,6,7,5729,6
municipality,EC103,municipality-EC103,Ikwezi,1654,9,10,3,1631,1
municipality,EC104,municipality-EC104,Makana,13583,75,28,239,13195,46
municipality,EC106,municipality-EC106,Sundays River Valley,9284,8,34,284,8938,20
municipality,EC107,municipality-EC107,Baviaans,2763,10,3,3,2747,0
municipality,EC108,municipality-EC108,Kouga,15513,36,67,151,15220,39
municipality,EC109,municipality-EC109,Kou-Kamma,6593,18,21,127,6404,23
municipality,EC121,municipality-EC121,Mbhashe,52028,49,62,50,51842,25
municipality,EC123,municipality-EC123,Great Kei,6491,5,5,0,6477,4
municipality,EC124,municipality-EC124,Amahlathi,21911,8,55,26,21814,8
municipality,EC126,municipality-EC126,Ngqushwa,11819,8,18,19,11771,3
municipality,EC127,municipality-EC127,Nkonkobe,20640,33,81,62,20438,26
municipality,EC131,municipality-EC131,Inxuba Yethemba,10874,18,10,51,10783,12
municipality,EC132,municipality-EC132,Tsolwana,6167,8,14,45,6093,7
municipality,EC133,municipality-EC133,Inkwanca,4082,6,10,14,4048,4
municipality,EC134,municipality-EC134,Lukanji,36066,112,166,228,35509,51
municipality,EC136,municipality-EC136,Emalahleni,22085,40,47,103,21879,16
municipality,EC137,municipality-EC137,Engcobo,29280,25,37,63,29136,19
municipality,EC138,municipality-EC138,Sakhisizwe,12402,17,26,55,12286,18
municipality,EC141,municipality-EC141,Elundini,28061,41,35,228,27732,25
municipality,EC142,municipality-EC142,Senqu,27080,48,23,971,25924,114
municipality,EC143,municipality-EC143,Maletswai,8031,23,20,64,7918,6
municipality,EC153,municipality-EC153,Ngquza Hill,58436,34,43,63,58264,32
municipality,EC154,municipality-EC154,Port St Johns,33912,2,7,7,33889,7
municipality,EC155,municipality-EC155,Nyandeni,63922,18,30,85,63782,7
municipality,EC156,municipality-EC156,Mhlontlo,39450,26,26,50,39335,13
municipality,EC441,municipality-EC441,Matatiele,39967,55,13,801,38980,118
municipality,EC442,municipality-EC442,Umzimvubu,38724,22,49,63,38568,22
municipality,EC443,municipality-EC443,Mbizana,59017,11,45,28,58923,10
municipality,EC444,municipality-EC444,Ntabankulu,26160,14,13,11,26115,7
municipality,FS161,municipality-FS161,Letsemeng,6686,15,20,23,6626,2
municipality,FS162,municipality-FS162,Kopanong,8341,31,12,56,8227,15
municipality,FS163,municipality-FS163,Mohokare,6390,9,13,93,6259,16
