geo_code,geoid,name,total,From cell phone-Female,From cell phone-Male,From elsewhere-Female,From elsewhere-Male,From home-Female,From home-Male,From work-Female,From work-Male,No access to internet-Female,No access to internet-Male
ZA,country-ZA,South Africa,9848922,1039386,970860,334591,314723,333692,333630,150220,141294,3108956,3121570
WC044,municipality-WC044,George,32511,3043,2726,715,674,1448,1483,541,489,10825,10567
WC047,municipality-WC047,Bitou,7563,801,694,296,238,266,297,115,119,2353,2384
WC048,municipality-WC048,Knysna,10590,784,750,200,212,467,456,150,138,3824,3609
WC051,municipality-WC051,Laingsburg,1174,91,96,32,37,13,9,13,13,435,435
WC052,municipality-WC052,Prince Albert,2227,200,192,23,21,47,38,16,23,809,858
WC053,municipality-WC053,Beaufort West,8100,570,539,175,193,211,196,96,73,3002,3045
MP303,municipality-MP303,Mkhondo,30388,2906,2841,787,699,437,456,195,193,11191,10683
MP311,municipality-MP311,Victor Khanye,13449,1351,1467,304,270,329,399,168,177,4333,4651
MP322,municipality-MP322,Mbombela,124261,17237,15701,2686,2363,3494,3486,2059,1828,38441,36966
NW373,municipality-NW373,Rustenburg,94464,10339,10559,1883,1982,2874,3003,1597,1631,28880,31716
NW384,municipality-NW384,Ditsobotla,29623,2987,2897,483,412,488,579,278,283,10570,10646
NW396,municipality-NW396,Lekwa-Teemane,9542,835,845,89,97,120,122,83,51,3560,3740
NC062,municipality-NC062,Nama Khoi,7474,788,632,64,86,168,156,116,97,2545,2822
NC071,municipality-NC071,Ubuntu,3075,276,272,23,27,23,51,32,27,1164,1180
NC077,municipality-NC077,Siyathemba,3463,300,277,102,80,79,55,18,40,1235,1277
NC085,municipality-NC085,Tsantsabane,6405,615,662,84,73,173,209,76,80,2085,2348
NC094,municipality-NC094,Phokwane,11390,1019,974,206,154,200,209,91,92,4210,4235
WC012,municipality-WC012,Cederberg,8015,361,366,29,34,184,169,91,98,3318,3365
WC024,municipality-WC024,Stellenbosch,32111,3388,3242,1107,1084,2487,2638,637,607,8457,8464
WC033,municipality-WC033,Cape Agulhas,5233,424,374,77,79,225,247,78,64,1890,1775
WC045,municipality-WC045,Oudtshoorn,16275,992,892,196,183,462,448,179,161,6334,6428
EC102,municipality-EC102,Blue Crane Route,5842,504,467,145,159,136,129,57,52,2114,2079
EC103,municipality-EC103,Ikwezi,1655,151,136,12,10,21,22,9,9,664,621
EC104,municipality-EC104,Makana,13703,1236,997,279,227,603,572,248,220,4651,4670
EC106,municipality-EC106,Sundays River Valley,9350,540,582,194,149,128,117,94,107,3429,4010
EC107,municipality-EC107,Baviaans,2791,132,145,20,37,14,23,9,6,1185,1220
EC108,municipality-EC108,Kouga,15662,1093,986,211,214,499,516,148,151,5927,5917
EC109,municipality-EC109,Kou-Kamma,6658,412,391,173,192,139,120,96,98,2398,2639
EC121,municipality-EC121,Mbhashe,52565,3752,3427,488,440,236,220,185,147,21429,22241
EC123,municipality-EC123,Great Kei,6651,395,431,46,35,68,38,18,29,2537,3054
EC124,municipality-EC124,Amahlathi,22030,1510,1487,299,346,164,154,108,99,8338,9525
EC126,municipality-EC126,Ngqushwa,11929,1055,976,117,139,86,128,43,57,4290,5038
EC127,municipality-EC127,Nkonkobe,20868,1506,1613,264,390,218,217,158,172,7687,8643
EC131,municipality-EC131,Inxuba Yethemba,10946,939,836,221,187,308,295,138,127,3851,4044
EC132,municipality-EC132,Tsolwana,6254,479,433,63,65,70,47,40,23,2423,2611
EC133,municipality-EC133,Inkwanca,4075,395,383,24,25,48,56,31,20,1513,1580
EC134,municipality-EC134,Lukanji,36328,3664,3168,1660,1552,832,823,461,403,11443,12322
EC136,municipality-EC136,Emalahleni,22219,1474,1599,246,295,221,186,67,83,8453,9595
EC137,municipality-EC137,Engcobo,29717,1962,1863,346,378,111,121,132,113,12250,12441
EC138,municipality-EC138,Sakhisizwe,12602,1005,948,223,237,130,155,62,61,4550,5231
EC141,municipality-EC141,Elundini,28277,1567,1569,222,217,201,213,128,129,11313,12718
EC142,municipality-EC142,Senqu,27319,2229,2160,306,319,170,173,116,96,10730,11020
EC143,municipality-EC143,Maletswai,8080,835,746,126,97,175,179,89,74,2951,2808
EC153,municipality-EC153,Ngquza Hill,59256,3764,3633,984,921,317,359,270,294,24246,24468
