geo_code,geoid,name,total,Completed-Female,Completed-Male,Not completed-Female,Not completed-Male
ZA,country-ZA,South Africa,1939081,737726,618691,232797,349867
WC044,municipality-WC044,George,6417,2499,2182,791,945
WC047,municipality-WC047,Bitou,1376,544,455,136,241
WC048,municipality-WC048,Knysna,2050,812,677,232,329
WC051,municipality-WC051,Laingsburg,257,84,82,42,49
WC052,municipality-WC052,Prince Albert,462,141,135,68,118
WC053,municipality-WC053,Beaufort West,1760,673,584,234,269
MP303,municipality-MP303,Mkhondo,6811,2485,2019,932,1375
MP311,municipality-MP311,Victor Khanye,2522,872,783,362,505
MP322,municipality-MP322,Mbombela,24253,9393,7492,3050,4318
NW373,municipality-NW373,Rustenburg,15240,6093,5425,1416,2306
NW384,municipality-NW384,Ditsobotla,5841,1821,1515,1145,1360
NW396,municipality-NW396,Lekwa-Teemane,2011,574,475,423,539
NC062,municipality-NC062,Nama Khoi,1638,656,529,140,313
NC071,municipality-NC071,Ubuntu,598,176,176,125,121
NC077,municipality-NC077,Siyathemba,740,214,176,161,189
NC085,municipality-NC085,Tsantsabane,1184,360,359,205,260
NC094,municipality-NC094,Phokwane,2466,886,789,345,446
WC012,municipality-WC012,Cederberg,1497,486,442,222,347
WC024,municipality-WC024,Stellenbosch,4766,1821,1607,561,777
WC033,municipality-WC033,Cape Agulhas,1061,373,265,198,225
WC045,municipality-WC045,Oudtshoorn,3579,1315,1162,460,642
EC102,municipality-EC102,Blue Crane Route,1298,430,341,238,289
EC103,municipality-EC103,Ikwezi,368,122,100,57,89
EC104,municipality-EC104,Makana,2581,952,792,363,474
EC106,municipality-EC106,Sundays River Valley,1758,508,418,343,489
EC107,municipality-EC107,Baviaans,599,192,182,98,127
EC108,municipality-EC108,Kouga,2967,978,783,493,713
EC109,municipality-EC109,Kou-Kamma,1166,347,287,246,286
EC121,municipality-EC121,Mbhashe,14157,3687,2631,3104,4735
EC123,municipality-EC123,Great Kei,1398,431,406,205,356
EC124,municipality-EC124,Amahlathi,5030,1592,1258,828,1352
EC126,municipality-EC126,Ngqushwa,2909,1059,844,348,658
EC127,municipality-EC127,Nkonkobe,4663,1518,1350,655,1140
EC131,municipality-EC131,Inxuba Yethemba,2313,758,602,421,532
EC132,municipality-EC132,Tsolwana,1383,405,323,254,401
EC133,municipality-EC133,Inkwanca,804,228,162,172,242
EC134,municipality-EC134,Lukanji,7881,2806,2342,1102,1631
EC136,municipality-EC136,Emalahleni,5609,1661,1331,903,1714
EC137,municipality-EC137,Engcobo,7996,1898,1217,1809,3072
EC138,municipality-EC138,Sakhisizwe,3024,889,688,531,916
EC141,municipality-EC141,Elundini,7046,1941,1511,1383,2211
EC142,municipality-EC142,Senqu,6465,1947,1625,1155,1738
EC143,municipality-EC143,Maletswai,1663,537,436,317,373
EC153,municipality-EC153,Ngquza Hill,15961,4627,2905,3346,5083
EC154,municipality-EC154,Port St Johns,9391,2443,1640,2153,3155
EC155,municipality-EC155,Nyandeni,16707,4924,3346,3205,5232
EC156,municipality-EC156,Mhlontlo,10061,3026,2292,1681,3062
EC441,municipality-EC441,Matatiele,10058,2843,2176,1895,3144
EC442,municipality-EC442,Umzimvubu,9793,2975,2088,1763,2967
EC443,municipality-EC443,Mbizana,16271,4398,3036,3598,5239
EC444,municipality-EC444,Ntabankulu,6794,1697,992,1709,2396
FS161,municipality-FS161,Letsemeng,1391,437,387,249,318
FS162,municipality-FS162,Kopanong,1662,579,475,247,361
FS163,municipality-FS163,Mohokare,1300,436,327,218,319
FS181,municipality-FS181,Masilonyana,2304,881,724,304,395
FS182,municipality-FS182,Tokologo,975,303,256,200,216
FS183,municipality-FS183,Tswelopele,1742,600,485,285,372
FS184,municipality-FS184,Matjhabeng,14539,5880,4980,1500,2179
FS185,municipality-FS185,Nala,3044,1070,928,434,612
FS192,municipality-FS192,Dihlabeng,4428,1643,1418,570,797
FS193,municipality-FS193,Nketoana,2417,794,653,417,553
FS194,municipality-FS194,Maluti a Phofung,16017,6575,5796,1376,2270
FS195,municipality-FS195,Phumelela,1843,690,574,257,322
FS201,municipality-FS201,Moqhaka,5377,2017,1798,670,892
FS203,municipality-FS203,Ngwathe,4132,1496,1277,557,802
FS204,municipality-FS204,Metsimaholo,4706,1819,1654,523,710
FS205,municipality-FS205,Mafube,2254,946,686,241,381
GT421,municipality-GT421,Emfuleni,23500,10313,9059,1681,2447
GT423,municipality-GT423,Lesedi,3190,1293,1183,293,421
GT481,municipality-GT481,Mogale City,10002,4172,3873,786,1171
GT482,municipality-GT482,Randfontein,4478,1825,1650,401,602
GT483,municipality-GT483,Westonaria,3182,1267,1105,365,445
KZN211,municipality-KZN211,Vulamehlo,3810,1401,1160,492,757
KZN212,municipality-KZN212,Umdoni,2965,1134,938,348,545
KZN213,municipality-KZN213,Umzumbe,8190,2906,2415,1150,1719
KZN214,municipality-KZN214,UMuziwabantu,5225,1641,1189,960,1435
KZN215,municipality-KZN215,Ezingoleni,2654,823,687,453,691
KZN221,municipality-KZN221,uMshwathi,5013,1807,1473,780,953
KZN222,municipality-KZN222,uMngeni,3022,1215,996,379,432
KZN223,municipality-KZN223,Mpofana,1441,506,429,206,300
KZN224,municipality-KZN224,Impendle,1704,646,576,187,295
KZN225,municipality-KZN225,The Msunduzi,24070,9730,8779,2182,3379
KZN226,municipality-KZN226,Mkhambathini,2590,904,719,403,564
KZN232,municipality-KZN232,Emnambithi/Ladysmith,10133,4098,3260,1080,1695
KZN233,municipality-KZN233,Indaka,5564,2067,1719,724,1054
KZN234,municipality-KZN234,Umtshezi,3624,1302,1070,593,659
KZN235,municipality-KZN235,Okhahlamba,6449,2506,2153,703,1087
KZN236,municipality-KZN236,Imbabazane,5701,2230,1884,642,945
KZN242,municipality-KZN242,Nqutu,8806,3080,2591,1192,1943
KZN244,municipality-KZN244,Msinga,10083,3288,2797,1768,2230
KZN245,municipality-KZN245,Umvoti,4960,1692,1421,811,1036
KZN252,municipality-KZN252,Newcastle,16009,6519,5628,1542,2320
KZN254,municipality-KZN254,Dannhauser,5158,1952,1602,591,1013
KZN261,municipality-KZN261,eDumbe,4013,1305,1229,577,902
KZN262,municipality-KZN262,UPhongolo,6394,2311,1978,858,1247
KZN263,municipality-KZN263,Abaqulusi,9915,3519,2907,1399,2090
KZN265,municipality-KZN265,Nongoma,10705,3871,3258,1327,2249
KZN266,municipality-KZN266,Ulundi,9503,3746,3041,1040,1676
KZN272,municipality-KZN272,Jozini,10072,3160,2602,1829,2481
KZN273,municipality-KZN273,The Big 5 False Bay,1714,562,441,298,413
KZN274,municipality-KZN274,Hlabisa,3972,1405,1182,527,858
KZN275,municipality-KZN275,Mtubatuba,8500,3029,2553,1220,1698
KZN281,municipality-KZN281,Mfolozi,5806,2153,1837,700,1116
KZN283,municipality-KZN283,Ntambanana,3921,1331,1058,565,967
KZN284,municipality-KZN284,uMlalazi,10630,3869,3087,1420,2254
KZN285,municipality-KZN285,Mthonjaneni,2176,761,587,327,501
KZN286,municipality-KZN286,Nkandla,6285,2322,1922,785,1256
KZN291,municipality-KZN291,Mandeni,6021,2152,1831,846,1192
KZN293,municipality-KZN293,Ndwedwe,7113,2603,2162,961,1387
KZN294,municipality-KZN294,Maphumulo,5560,2035,1706,740,1079
KZN431,municipality-KZN431,Ingwe,5060,1687,1446,708,1219
KZN432,municipality-KZN432,Kwa Sani,373,100,113,62,98
KZN434,municipality-KZN434,Ubuhlebezwe,5064,1748,1427,745,1144
KZN435,municipality-KZN435,Umzimkhulu,10089,3111,2104,1867,3007
LIM331,municipality-LIM331,Greater Giyani,13351,4897,3777,1821,2856
LIM332,municipality-LIM332,Greater Letaba,11512,4465,3808,1244,1995
LIM333,municipality-LIM333,Greater Tzaneen,17322,6605,5321,2119,3277
LIM335,municipality-LIM335,Maruleng,4701,1823,1405,580,893
LIM341,municipality-LIM341,Musina,1995,653,527,375,440
LIM342,municipality-LIM342,Mutale,5169,1826,1452,737,1154
LIM343,municipality-LIM343,Thulamela,33344,12779,10473,3789,6303
LIM344,municipality-LIM344,Makhado,25962,9746,8186,3015,5015
LIM351,municipality-LIM351,Blouberg,9011,3056,2559,1325,2071
LIM353,municipality-LIM353,Molemole,5321,2059,1792,512,958
LIM354,municipality-LIM354,Polokwane,25303,10488,8783,2162,3870
LIM355,municipality-LIM355,Lepele-Nkumpi,11831,4643,3931,1160,2097
LIM361,municipality-LIM361,Thabazimbi,1609,595,472,233,309
LIM362,municipality-LIM362,Lephalale,3765,1434,1149,457,725
LIM365,municipality-LIM365,Modimolle,2267,680,617,419,551
LIM366,municipality-LIM366,Bela-Bela,1953,637,554,318,444
BUF,municipality-BUF,Buffalo City,26412,10665,8639,2839,4269
EC101,municipality-EC101,Camdeboo,1807,621,632,234,320
EC105,municipality-EC105,Ndlambe,1960,688,507,320,445
EC122,municipality-EC122,Mnquma,12847,4202,3219,1892,3534
EC128,municipality-EC128,Nxuba,798,252,224,145,177
EC135,municipality-EC135,Intsika Yethu,6882,1916,1563,1158,2245
EC144,municipality-EC144,Gariep,1226,289,311,290,336
EC157,municipality-EC157,King Sabata Dalindyebo,24295,7685,5477,4454,6679
NMA,municipality-NMA,Nelson Mandela Bay,38750,15365,13258,4108,6019
FS164,municipality-FS164,Naledi,1032,356,275,169,232
FS191,municipality-FS191,Setsoto,4509,1599,1407,617,886
FS196,municipality-FS196,Mantsopa,2011,746,612,271,382
MAN,municipality-MAN,Mangaung,26231,10359,8798,2906,4168
EKU,municipality-EKU,Ekurhuleni,89631,39107,34428,6343,9753
GT422,municipality-GT422,Midvaal,2635,1081,1038,206,310
GT484,municipality-GT484,Merafong City,5516,2111,1761,710,934
JHB,municipality-JHB,City of Johannesburg,112400,50542,45081,6817,9960
TSH,municipality-TSH,City of Tshwane,80104,35231,30941,5406,8526
ETH,municipality-ETH,eThekwini,122179,50579,44682,10974,15944
KZN216,municipality-KZN216,Hibiscus Coast,10331,3968,3094,1375,1894
KZN227,municipality-KZN227,Richmond,2683,941,874,378,490
KZN241,municipality-KZN241,Endumeni,2860,1077,972,326,485
KZN253,municipality-KZN253,Emadlangeni,1473,485,448,207,333
KZN271,municipality-KZN271,Umhlabuyalingana,8188,2617,2003,1473,2095
KZN282,municipality-KZN282,uMhlathuze,13037,5214,4471,1382,1970
KZN292,municipality-KZN292,KwaDukuza,8441,3235,2552,1198,1456
KZN433,municipality-KZN433,Greater Kokstad,2692,956,704,450,582
LIM334,municipality-LIM334,Ba-Phalaborwa,5688,1957,1519,1034,1178
LIM352,municipality-LIM352,Aganang,7230,2781,2410,721,1318
LIM364,municipality-LIM364,Mookgopong,903,316,271,123,193
LIM367,municipality-LIM367,Mogalakwena,15250,5879,5100,1623,2648
LIM471,municipality-LIM471,Ephraim Mogale,5698,1947,1604,822,1325
LIM472,municipality-LIM472,Elias Motsoaledi,11539,4111,3078,1591,2759
LIM473,municipality-LIM473,Makhuduthamaga,13575,5224,4084,1479,2788
LIM474,municipality-LIM474,Fetakgomo,4659,1905,1521,423,810
LIM475,municipality-LIM475,Greater Tubatse,14585,5617,4669,1609,2690
MP301,municipality-MP301,Albert Luthuli,9785,4002,3249,956,1578
MP302,municipality-MP302,Msukaligwa,5789,2151,1879,687,1072
MP304,municipality-MP304,Pixley Ka Seme,3621,1465,1164,349,643
MP305,municipality-MP305,Lekwa,4070,1549,1204,542,775
MP306,municipality-MP306,Dipaleseng,1576,524,463,238,351
MP307,municipality-MP307,Govan Mbeki,10230,3939,3223,1304,1764
MP312,municipality-MP312,Emalahleni,12271,4585,3772,1608,2306
MP313,municipality-MP313,Steve Tshwete,7250,2991,2558,672,1029
MP314,municipality-MP314,Emakhazeni,1633,597,529,197,310
MP315,municipality-MP315,Thembisile,13506,4796,3564,1951,3195
MP316,municipality-MP316,Dr JS Moroka,11724,4384,3333,1481,2526
MP321,municipality-MP321,Thaba Chweu,3012,1199,976,322,515
MP323,municipality-MP323,Umjindi,2318,851,649,364,454
MP324,municipality-MP324,Nkomazi,21065,7471,6129,3179,4286
MP325,municipality-MP325,Bushbuckridge,29268,11075,9032,3603,5558
NW371,municipality-NW371,Moretele,7486,2914,2362,815,1395
NW372,municipality-NW372,Madibeng,13891,5436,4712,1494,2249
NW374,municipality-NW374,Kgetlengrivier,1606,501,436,303,366
NW375,municipality-NW375,Moses Kotane,8719,3342,3098,834,1445
NW381,municipality-NW381,Ratlou,4831,1362,1051,1008,1410
NW382,municipality-NW382,Tswaing,5182,1453,1237,1060,1432
NW383,municipality-NW383,Mafikeng,12140,4441,3697,1693,2309
NW385,municipality-NW385,Ramotshere Moiloa,5753,1970,1637,884,1262
NW392,municipality-NW392,Naledi,2434,781,621,488,544
NW393,municipality-NW393,Mamusa,2363,686,626,457,594
NW394,municipality-NW394,Greater Taung,8180,2666,2061,1336,2117
NW397,municipality-NW397,Kagisano/Molopo,4591,1292,928,956,1415
NW401,municipality-NW401,Ventersdorp,1754,468,424,391,471
NW402,municipality-NW402,Tlokwe City Council,4775,1778,1529,593,875
NW403,municipality-NW403,City of Matlosana,13435,4853,4201,1877,2504
NW404,municipality-NW404,Maquassi Hills,2634,790,685,538,621
NC061,municipality-NC061,Richtersveld,371,133,116,38,84
NC064,municipality-NC064,Kamiesberg,255,65,81,35,74
NC065,municipality-NC065,Hantam,722,247,226,87,162
NC066,municipality-NC066,Karoo Hoogland,383,91,93,84,115
NC067,municipality-NC067,Khâi-Ma,332,92,112,43,85
NC072,municipality-NC072,Umsobomvu,1027,367,308,120,232
NC073,municipality-NC073,Emthanjeni,1622,592,528,230,272
NC074,municipality-NC074,Kareeberg,354,118,89,72,75
NC075,municipality-NC075,Renosterberg,318,109,112,35,62
NC076,municipality-NC076,Thembelihle,556,183,182,87,104
NC078,municipality-NC078,Siyancuma,1384,500,409,204,271
NC081,municipality-NC081,Mier,242,82,73,39,48
NC082,municipality-NC082,Kai !Garib,2032,702,573,328,429
NC083,municipality-NC083,//Khara Hais,3762,1420,1229,454,659
NC084,municipality-NC084,!Kheis,565,218,126,93,128
NC086,municipality-NC086,Kgatelopele,623,235,196,79,113
NC091,municipality-NC091,Sol Plaatjie,8564,3384,2965,857,1358
