geo_code,geoid,name,total,Any tertiary-Female,Any tertiary-Male,Grade 10/11-Female,Grade 10/11-Male,Grade 9-Female,Grade 9-Male,Less than Grade9-Female,Less than Grade9-Male,Matric/matric equivalent-Female,Matric/matric equivalent-Male
ZA,country-ZA,South Africa,4993756,180307,134116,760474,764712,148943,184709,286031,380443,1157266,996755
WC044,municipality-WC044,George,16220,376,276,2417,2185,634,743,1344,1672,3526,3047
WC047,municipality-WC047,Bitou,4122,66,60,732,604,180,250,263,413,866,688
WC048,municipality-WC048,Knysna,5491,120,62,915,740,278,306,417,620,1074,959
WC051,municipality-WC051,Laingsburg,564,13,12,77,62,34,50,66,94,84,72
WC052,municipality-WC052,Prince Albert,1087,15,8,126,101,69,73,194,195,146,160
WC053,municipality-WC053,Beaufort West,3824,54,47,567,456,166,189,349,449,829,718
MP303,municipality-MP303,Mkhondo,14268,143,134,2209,2051,486,483,1211,1244,3368,2939
MP311,municipality-MP311,Victor Khanye,7063,122,140,1061,1190,220,278,510,706,1412,1424
MP322,municipality-MP322,Mbombela,63033,1904,1208,8778,9075,1551,1974,3532,4514,16811,13686
NW373,municipality-NW373,Rustenburg,55382,1357,1095,7358,8501,1617,2021,3403,4843,12436,12751
NW384,municipality-NW384,Ditsobotla,14997,257,186,2113,2194,721,794,2130,2349,2246,2007
NW396,municipality-NW396,Lekwa-Teemane,4746,59,44,727,751,228,248,550,722,719,698
NC062,municipality-NC062,Nama Khoi,3454,102,47,399,441,214,274,207,384,804,582
NC071,municipality-NC071,Ubuntu,1505,14,12,197,197,75,77,243,250,212,228
NC077,municipality-NC077,Siyathemba,1625,15,10,252,240,110,116,187,224,265,206
NC085,municipality-NC085,Tsantsabane,3472,62,52,475,539,128,166,287,395,656,712
NC094,municipality-NC094,Phokwane,5320,96,60,866,802,220,260,594,552,949,921
WC012,municipality-WC012,Cederberg,4195,34,50,605,601,329,351,476,531,654,564
WC024,municipality-WC024,Stellenbosch,18859,1343,1096,2132,1870,664,839,902,1417,4422,4174
WC033,municipality-WC033,Cape Agulhas,2645,53,32,357,351,180,181,315,397,419,360
WC045,municipality-WC045,Oudtshoorn,7529,87,53,977,922,329,368,857,1035,1624,1277
EC102,municipality-EC102,Blue Crane Route,2748,38,27,383,387,123,126,375,420,456,413
EC103,municipality-EC103,Ikwezi,794,8,6,138,104,45,20,118,147,99,109
EC104,municipality-EC104,Makana,7303,518,337,1122,1079,252,270,417,599,1479,1230
EC106,municipality-EC106,Sundays River Valley,4982,48,29,875,940,232,308,625,889,510,526
EC107,municipality-EC107,Baviaans,1338,6,12,197,161,85,98,233,224,147,175
EC108,municipality-EC108,Kouga,8284,137,107,1341,1233,412,416,969,1200,1320,1149
EC109,municipality-EC109,Kou-Kamma,3638,35,17,516,620,239,259,497,610,432,413
EC121,municipality-EC121,Mbhashe,19201,270,134,4193,3415,991,942,2178,3129,2338,1611
EC123,municipality-EC123,Great Kei,3145,31,19,647,684,118,201,221,443,420,361
EC124,municipality-EC124,Amahlathi,9376,115,61,1832,1948,438,612,797,1357,1208,1008
EC126,municipality-EC126,Ngqushwa,4930,66,36,984,1066,146,285,279,554,847,667
EC127,municipality-EC127,Nkonkobe,9312,208,139,1731,1854,345,466,592,1037,1607,1333
EC131,municipality-EC131,Inxuba Yethemba,5299,136,83,670,714,274,265,735,886,782,754
EC132,municipality-EC132,Tsolwana,2746,26,22,568,513,138,112,280,428,354,305
EC133,municipality-EC133,Inkwanca,2038,26,14,321,315,95,131,284,331,277,244
EC134,municipality-EC134,Lukanji,16920,501,347,2972,3042,597,774,1032,1478,3383,2794
EC136,municipality-EC136,Emalahleni,8692,63,51,1721,1651,423,534,800,1408,1168,873
EC137,municipality-EC137,Engcobo,10852,143,92,2452,1679,734,515,1401,1939,1169,728
EC138,municipality-EC138,Sakhisizwe,5153,69,46,978,951,226,314,463,814,712,580
EC141,municipality-EC141,Elundini,11429,133,91,2143,2051,594,764,1182,1913,1383,1175
EC142,municipality-EC142,Senqu,11753,114,78,2518,2257,657,655,1183,1509,1575,1207
EC143,municipality-EC143,Maletswai,3963,91,75,687,579,172,185,464,504,661,545
EC153,municipality-EC153,Ngquza Hill,22287,237,126,4593,4015,1216,1098,2651,3706,2573,2072
EC154,municipality-EC154,Port St Johns,12433,92,42,2531,2107,633,639,1562,1928,1680,1219
EC155,municipality-EC155,Nyandeni,24858,277,158,5063,4376,1252,1298,2542,3664,3508,2720
EC156,municipality-EC156,Mhlontlo,15709,157,97,3449,3124,890,1006,1347,2248,1905,1486
EC441,municipality-EC441,Matatiele,16432,190,134,3392,3067,1000,1048,1674,2352,2067,1508
EC442,municipality-EC442,Umzimvubu,15718,239,157,3400,3020,908,916,1376,2029,2151,1522
EC443,municipality-EC443,Mbizana,22147,242,129,4844,3912,1284,1105,2615,2974,2864,2178
EC444,municipality-EC444,Ntabankulu,10361,76,50,2212,1778,693,602,1346,1969,928,707
FS161,municipality-FS161,Letsemeng,3229,38,25,458,452,159,166,471,477,477,506
FS162,municipality-FS162,Kopanong,4065,50,28,580,618,220,241,545,568,679,536
FS163,municipality-FS163,Mohokare,3194,27,29,503,508,215,224,458,452,410,368
FS181,municipality-FS181,Masilonyana,5266,63,48,875,783,263,283,516,595,989,851
FS182,municipality-FS182,Tokologo,2491,29,25,317,297,129,186,431,427,354,296
FS183,municipality-FS183,Tswelopele,4495,34,38,750,624,241,302,486,593,761,666
FS184,municipality-FS184,Matjhabeng,39092,1326,944,6408,6137,1356,1683,2073,2823,8767,7575
FS185,municipality-FS185,Nala,7378,96,62,1383,1139,405,375,644,791,1341,1142
FS192,municipality-FS192,Dihlabeng,11187,356,237,1877,1655,499,482,831,913,2268,2069
FS193,municipality-FS193,Nketoana,5540,90,71,987,956,322,322,508,532,942,810
FS194,municipality-FS194,Maluti a Phofung,33411,1035,771,5997,5956,898,1074,1377,1803,8327,6173
FS195,municipality-FS195,Phumelela,4365,85,42,789,737,181,188,393,490,781,679
FS201,municipality-FS201,Moqhaka,13066,353,249,2064,1989,454,518,843,993,2882,2721
FS203,municipality-FS203,Ngwathe,10463,200,100,1710,1724,381,476,859,900,2207,1906
FS204,municipality-FS204,Metsimaholo,14275,650,535,2242,2372,417,547,721,978,2982,2831
FS205,municipality-FS205,Mafube,5179,63,47,830,844,204,240,340,468,1170,973
GT421,municipality-GT421,Emfuleni,75048,3923,3277,9986,11069,1103,1655,2054,3187,20495,18299
GT423,municipality-GT423,Lesedi,8904,209,207,1493,1613,255,390,432,631,1991,1683
GT481,municipality-GT481,Mogale City,34785,1581,1130,4488,5128,853,1101,1820,2532,8202,7950
GT482,municipality-GT482,Randfontein,14026,506,389,1927,2267,351,510,643,901,3459,3073
GT483,municipality-GT483,Westonaria,11855,211,153,1763,1995,433,567,837,1164,2345,2387
KZN211,municipality-KZN211,Vulamehlo,6697,46,39,1093,1177,153,194,508,567,1648,1272
KZN212,municipality-KZN212,Umdoni,7386,139,111,1055,952,229,273,547,631,1796,1653
KZN213,municipality-KZN213,Umzumbe,13722,164,92,2495,2459,449,520,880,1200,2936,2527
KZN214,municipality-KZN214,UMuziwabantu,8080,95,68,1559,1369,338,319,921,1061,1308,1042
KZN215,municipality-KZN215,Ezingoleni,4333,52,19,847,875,200,240,363,451,765,521
KZN221,municipality-KZN221,uMshwathi,10054,96,80,1601,1636,380,364,979,992,2082,1844
KZN222,municipality-KZN222,uMngeni,8223,261,180,1047,1016,297,281,570,785,1917,1869
KZN223,municipality-KZN223,Mpofana,3751,48,24,604,626,128,116,304,328,791,782
KZN224,municipality-KZN224,Impendle,2844,35,16,444,488,82,79,129,200,743,628
KZN225,municipality-KZN225,The Msunduzi,63327,2850,2064,7674,8161,1293,1575,2649,3332,17957,15772
KZN226,municipality-KZN226,Mkhambathini,6164,79,61,979,936,212,283,566,663,1253,1132
KZN232,municipality-KZN232,Emnambithi/Ladysmith,21471,510,322,3479,3029,587,653,1100,1273,5672,4846
KZN233,municipality-KZN233,Indaka,8427,57,36,1665,1292,319,319,745,727,2015,1252
KZN234,municipality-KZN234,Umtshezi,7383,146,95,1102,1150,228,231,621,536,1695,1579
KZN235,municipality-KZN235,Okhahlamba,10780,98,58,1991,1791,356,286,674,792,2711,2023
KZN236,municipality-KZN236,Imbabazane,10231,95,90,1609,1669,288,267,661,650,2618,2284
KZN242,municipality-KZN242,Nqutu,13765,144,95,2849,2317,463,556,1061,1196,3197,1887
KZN244,municipality-KZN244,Msinga,12901,124,76,2137,1675,390,354,1997,1189,3089,1870
KZN245,municipality-KZN245,Umvoti,8881,103,61,1439,1237,286,332,961,851,2176,1435
KZN252,municipality-KZN252,Newcastle,35235,1123,976,4946,5262,699,868,1226,1486,9919,8730
KZN254,municipality-KZN254,Dannhauser,9159,121,75,1662,1709,303,381,441,591,2105,1771
KZN261,municipality-KZN261,eDumbe,7364,81,36,1415,1278,288,273,541,652,1572,1228
KZN262,municipality-KZN262,UPhongolo,12480,115,86,2104,1938,405,388,1108,1168,2852,2316
KZN263,municipality-KZN263,Abaqulusi,18456,258,156,3149,3048,528,660,1159,1406,4439,3653
KZN265,municipality-KZN265,Nongoma,17577,243,156,2684,2542,432,480,1139,1187,5339,3375
KZN266,municipality-KZN266,Ulundi,16626,264,156,2302,2259,315,454,1042,1184,5218,3432
KZN272,municipality-KZN272,Jozini,17391,139,95,3162,2750,533,485,1550,1417,4073,3187
KZN273,municipality-KZN273,The Big 5 False Bay,3267,34,23,517,475,129,120,340,323,768,538
KZN274,municipality-KZN274,Hlabisa,6492,53,31,1151,1099,167,226,410,422,1794,1139
KZN275,municipality-KZN275,Mtubatuba,16241,188,109,2643,2456,402,472,1167,1228,4316,3260
KZN281,municipality-KZN281,Mfolozi,12320,100,77,2202,2054,291,390,639,737,3190,2640
KZN283,municipality-KZN283,Ntambanana,6839,43,24,1295,1129,209,212,520,523,1594,1290
KZN284,municipality-KZN284,uMlalazi,19298,228,122,3348,3210,557,629,1517,1651,4642,3394
KZN285,municipality-KZN285,Mthonjaneni,4326,43,33,781,621,125,145,411,478,977,712
KZN286,municipality-KZN286,Nkandla,9329,70,46,1601,1511,186,256,653,729,2664,1613
KZN291,municipality-KZN291,Mandeni,14041,190,132,2330,2207,390,487,783,1002,3506,3014
KZN293,municipality-KZN293,Ndwedwe,12214,117,71,1928,1984,354,407,909,1105,3001,2338
KZN294,municipality-KZN294,Maphumulo,7702,90,38,1304,1092,208,221,612,572,2172,1393
KZN431,municipality-KZN431,Ingwe,8680,69,52,1723,1585,360,387,668,791,1732,1313
KZN432,municipality-KZN432,Kwa Sani,1293,13,10,182,212,47,61,105,216,235,212
KZN434,municipality-KZN434,Ubuhlebezwe,8841,100,54,1519,1459,329,329,702,892,1870,1587
KZN435,municipality-KZN435,Umzimkhulu,15340,230,124,3404,2537,843,682,1583,1792,2482,1663
LIM331,municipality-LIM331,Greater Giyani,24995,421,224,5208,4575,1052,1267,1826,2005,4873,3544
LIM332,municipality-LIM332,Greater Letaba,21511,364,252,4553,4647,760,1111,1247,1751,3934,2892
LIM333,municipality-LIM333,Greater Tzaneen,39400,763,486,7554,7710,1538,2016,2552,3618,7419,5744
LIM335,municipality-LIM335,Maruleng,9265,158,108,2133,1958,389,542,619,773,1470,1115
LIM341,municipality-LIM341,Musina,7863,122,98,1676,1407,458,387,878,887,1001,949
LIM342,municipality-LIM342,Mutale,8308,194,162,1767,1632,434,486,562,612,1363,1096
LIM343,municipality-LIM343,Thulamela,61736,2503,1916,11558,11442,2097,2577,3331,3888,12243,10181
LIM344,municipality-LIM344,Makhado,47303,1277,963,9767,9542,1935,2437,2569,3370,8644,6799
LIM351,municipality-LIM351,Blouberg,14650,164,92,3375,3188,752,876,1094,1229,2287,1593
LIM353,municipality-LIM353,Molemole,9585,238,135,2014,2114,337,539,491,687,1761,1269
LIM354,municipality-LIM354,Polokwane,67292,3532,2638,10205,10966,1529,2412,1994,3315,17080,13621
LIM355,municipality-LIM355,Lepele-Nkumpi,19784,627,414,3838,3967,691,1028,868,1183,4212,2956
LIM361,municipality-LIM361,Thabazimbi,8583,154,139,1239,1555,306,400,756,1070,1417,1547
LIM362,municipality-LIM362,Lephalale,12910,474,512,2198,2591,398,545,733,1084,2155,2220
LIM365,municipality-LIM365,Modimolle,6723,129,103,1044,1109,277,307,865,897,1083,909
LIM366,municipality-LIM366,Bela-Bela,6371,139,106,1111,1155,234,273,563,710,1073,1007
BUF,municipality-BUF,Buffalo City,68983,2958,1823,11893,12128,1747,2515,2827,4533,15834,12725
EC101,municipality-EC101,Camdeboo,3789,90,48,574,574,175,219,430,519,604,556
EC105,municipality-EC105,Ndlambe,4668,75,48,796,766,202,232,501,746,703,599
EC122,municipality-EC122,Mnquma,18134,438,271,3762,3471,830,1079,1155,2165,2922,2041
EC128,municipality-EC128,Nxuba,1788,24,23,334,375,121,115,174,234,215,173
EC135,municipality-EC135,Intsika Yethu,9659,119,76,2000,1891,518,620,736,1571,1203,925
EC144,municipality-EC144,Gariep,2763,19,25,409,472,142,165,435,515,304,277
EC157,municipality-EC157,King Sabata Dalindyebo,41875,1241,734,8807,7014,2113,2021,3622,4915,6507,4901
NMA,municipality-NMA,Nelson Mandela Bay,108258,4353,3187,16916,17815,2940,3749,5086,7174,25253,21785
FS164,municipality-FS164,Naledi,2215,24,13,411,335,152,156,253,225,319,327
FS191,municipality-FS191,Setsoto,10234,170,113,1986,1718,473,532,891,883,1883,1585
FS196,municipality-FS196,Mantsopa,4594,44,65,761,699,258,254,452,430,864,767
MAN,municipality-MAN,Mangaung,77345,4102,3092,9917,9908,2164,2598,3489,4490,20068,17517
EKU,municipality-EKU,Ekurhuleni,329762,14942,11684,44520,49457,6017,8504,12018,17921,84742,79957
GT422,municipality-GT422,Midvaal,8247,389,264,1154,1374,190,320,465,657,1728,1706
GT484,municipality-GT484,Merafong City,18596,324,288,3137,3104,622,798,1323,1711,3773,3516
JHB,municipality-JHB,City of Johannesburg,464962,27664,21574,57944,61782,7614,10963,15754,23902,124533,113232
TSH,municipality-TSH,City of Tshwane,307097,22863,17066,32768,38112,4569,7066,9402,13832,85433,75986
ETH,municipality-ETH,eThekwini,377714,15797,11646,44989,49105,7234,9045,13922,18542,108212,99222
KZN216,municipality-KZN216,Hibiscus Coast,23769,697,501,3782,3577,738,803,1571,2033,5389,4678
KZN227,municipality-KZN227,Richmond,6041,63,66,1028,906,195,204,487,634,1226,1232
KZN241,municipality-KZN241,Endumeni,5886,134,92,818,880,159,172,348,469,1484,1330
KZN253,municipality-KZN253,Emadlangeni,2821,21,22,466,487,110,162,229,337,520,467
KZN271,municipality-KZN271,Umhlabuyalingana,13823,129,67,2430,2229,409,474,1283,1126,3233,2443
KZN282,municipality-KZN282,uMhlathuze,35578,1522,1075,4499,4233,631,712,1488,1544,10692,9182
KZN292,municipality-KZN292,KwaDukuza,24063,501,386,3363,3428,877,970,2245,2476,5118,4699
KZN433,municipality-KZN433,Greater Kokstad,6840,167,120,1048,986,293,300,604,711,1464,1147
LIM334,municipality-LIM334,Ba-Phalaborwa,15453,521,379,2790,2930,655,743,1207,1238,2639,2351
LIM352,municipality-LIM352,Aganang,10462,257,142,2084,2245,320,474,321,431,2494,1694
LIM364,municipality-LIM364,Mookgopong,3741,57,24,563,741,140,204,423,513,570,506
LIM367,municipality-LIM367,Mogalakwena,28206,658,390,6214,5738,1068,1396,1413,1797,5361,4171
LIM471,municipality-LIM471,Ephraim Mogale,11491,144,109,2302,2207,534,643,975,1353,1888,1336
LIM472,municipality-LIM472,Elias Motsoaledi,23358,526,313,4892,4850,943,1313,1337,1850,4244,3090
LIM473,municipality-LIM473,Makhuduthamaga,23068,367,207,5576,5041,939,1293,1019,1444,4406,2776
LIM474,municipality-LIM474,Fetakgomo,8236,156,77,1889,1832,294,380,339,488,1662,1119
LIM475,municipality-LIM475,Greater Tubatse,34511,791,585,8310,7541,1453,1730,1604,2077,5779,4641
MP301,municipality-MP301,Albert Luthuli,17738,236,187,2963,2815,472,564,937,1020,4771,3773
MP302,municipality-MP302,Msukaligwa,14538,353,247,2264,2150,405,432,816,1003,3545,3323
MP304,municipality-MP304,Pixley Ka Seme,7202,121,107,1195,1106,235,244,525,586,1655,1428
MP305,municipality-MP305,Lekwa,10565,285,221,1642,1837,306,381,644,846,2226,2177
MP306,municipality-MP306,Dipaleseng,4021,51,50,664,699,127,153,344,370,784,779
MP307,municipality-MP307,Govan Mbeki,30583,806,765,4374,4841,702,1060,1528,2133,6881,7493
MP312,municipality-MP312,Emalahleni,42651,1703,1428,5840,7056,962,1402,1736,2842,9710,9972
MP313,municipality-MP313,Steve Tshwete,22618,828,696,2697,3185,443,719,857,1410,5829,5954
MP314,municipality-MP314,Emakhazeni,4400,67,50,696,661,165,200,258,419,972,912
MP315,municipality-MP315,Thembisile,30287,465,404,4981,5210,988,1363,1584,2566,7321,5405
MP316,municipality-MP316,Dr JS Moroka,23102,503,323,3689,4079,739,1076,1210,1954,5523,4006
MP321,municipality-MP321,Thaba Chweu,9005,222,172,1254,1370,198,365,507,827,2103,1987
MP323,municipality-MP323,Umjindi,6114,122,87,938,982,191,216,434,462,1391,1291
MP324,municipality-MP324,Nkomazi,41664,702,466,6444,6146,1207,1436,4206,4353,9348,7356
MP325,municipality-MP325,Bushbuckridge,54776,946,580,10023,9958,1561,1819,3080,3345,13455,10009
NW371,municipality-NW371,Moretele,16492,316,272,2506,2850,485,639,855,1180,4151,3238
NW372,municipality-NW372,Madibeng,49485,1046,875,7080,8320,1470,2038,3658,5346,10204,9448
NW374,municipality-NW374,Kgetlengrivier,4709,77,48,600,730,164,211,662,815,698,704
NW375,municipality-NW375,Moses Kotane,21207,399,263,3300,3431,548,723,1171,1564,5300,4508
NW381,municipality-NW381,Ratlou,8021,71,55,1507,1104,427,384,1322,1412,1006,733
NW382,municipality-NW382,Tswaing,10829,108,76,1741,1561,611,627,1749,1783,1434,1139
NW383,municipality-NW383,Mafikeng,27131,1126,811,3915,3867,820,1019,1937,2242,6292,5102
NW385,municipality-NW385,Ramotshere Moiloa,12091,224,149,1979,1889,374,497,1191,1514,2376,1898
NW392,municipality-NW392,Naledi,5805,119,122,815,717,267,268,829,899,937,832
NW393,municipality-NW393,Mamusa,5385,46,25,912,832,291,239,773,825,777,665
NW394,municipality-NW394,Greater Taung,13710,155,124,2614,2213,730,742,1461,1594,2401,1676
NW397,municipality-NW397,Kagisano/Molopo,7710,78,39,1304,1044,398,348,1255,1231,1190,823
NW401,municipality-NW401,Ventersdorp,5382,56,41,974,906,255,299,816,791,671,573
NW402,municipality-NW402,Tlokwe City Council,18971,1092,883,2122,2241,441,524,916,1152,5086,4514
