geo_code,geoid,name,total,No,No-15-Female,No-15-Male,No-16-Female,No-16-Male,No-17-Female,No-17-Male,No-18-Female,No-18-Male,No-19-Female,No-19-Male,No-20-Female,No-20-Male,No-21-Female,No-21-Male,No-22-Female,No-22-Male,No-23-Female,No-23-Male,No-24-Female,No-24-Male,Yes,Yes-15-Female,Yes-15-Male,Yes-16-Female,Yes-16-Male,Yes-17-Female,Yes-17-Male,Yes-18-Female,Yes-18-Male,Yes-19-Female,Yes-19-Male,Yes-20-Female,Yes-20-Male,Yes-21-Female,Yes-21-Male,Yes-22-Female,Yes-22-Male,Yes-23-Female,Yes-23-Male,Yes-24-Female,Yes-24-Male
ZA,country-ZA,South Africa,9542744,4358273,30062,28288,45369,40928,72979,65423,132395,112160,212996,186757,272329,254410,328123,318649,359689,347493,388000,378285,396893,387045,5184471,442319,442325,425438,428900,407600,415488,344447,362320,274480,296575,214302,228665,170213,174185,122577,117464,93573,86964,72727,63909
WC044,municipality-WC044,George,31011,18314,153,166,263,254,401,390,726,692,1029,1022,1213,1135,1341,1340,1361,1319,1434,1304,1399,1372,12697,1443,1447,1335,1308,1214,1109,917,866,531,507,336,360,267,252,182,159,128,117,116,103
WC047,municipality-WC047,Bitou,7351,4675,37,31,42,55,58,96,150,163,237,194,306,266,367,394,335,321,389,395,414,425,2676,303,301,300,266,258,260,177,209,108,108,74,54,63,38,45,19,31,22,22,18
WC048,municipality-WC048,Knysna,10149,6020,33,37,57,58,106,104,213,198,327,249,378,329,465,457,467,452,496,488,553,553,4129,490,459,447,417,408,396,292,319,166,168,98,117,85,67,37,35,34,42,28,24
WC051,municipality-WC051,Laingsburg,1143,795,10,4,17,17,29,24,41,39,51,41,45,62,62,51,45,43,53,47,46,68,348,53,56,40,43,39,42,15,16,11,13,0,7,1,1,2,2,5,1,1,0
WC052,municipality-WC052,Prince Albert,2170,1500,21,22,27,33,41,67,65,82,82,73,104,81,107,117,108,113,83,80,108,86,670,108,101,81,93,57,57,38,36,11,23,3,14,8,10,4,4,7,7,4,4
WC053,municipality-WC053,Beaufort West,7508,4156,31,47,80,62,104,121,175,152,234,252,246,271,299,299,274,289,304,287,343,286,3352,371,432,342,365,346,281,184,234,133,139,84,75,67,57,44,41,51,49,27,30
MP303,municipality-MP303,Mkhondo,29271,12849,139,133,172,155,304,220,466,282,672,530,878,695,1057,946,1046,919,1150,1031,1096,958,16422,1498,1553,1423,1496,1403,1423,989,1181,800,885,591,707,466,521,301,311,247,239,218,170
MP311,municipality-MP311,Victor Khanye,13031,7103,59,34,86,60,120,88,219,192,369,309,438,477,531,614,535,577,568,623,561,643,5928,541,561,512,590,482,527,390,457,303,370,210,234,133,129,96,119,72,79,64,59
MP322,municipality-MP322,Mbombela,121347,54894,297,204,425,333,739,491,1389,983,2547,1980,3511,3092,4496,3915,4944,4447,5359,5002,5568,5172,66453,5743,5617,5586,5405,5529,5454,4944,4909,3800,4141,2610,2929,1949,2103,1315,1225,939,922,691,642
NW373,municipality-NW373,Rustenburg,90602,53704,282,274,399,379,634,634,1371,1154,2470,2248,3047,3225,3927,4252,4264,4873,4618,5428,4711,5514,36898,3186,3260,3242,3272,3008,3234,2534,2730,1756,2064,1293,1490,1003,1149,751,732,563,637,505,489
NW384,municipality-NW384,Ditsobotla,29177,15689,142,131,195,194,350,285,511,431,791,672,981,920,1168,1179,1307,1265,1321,1415,1178,1253,13488,1356,1326,1257,1185,1132,1176,887,1029,670,783,460,528,390,391,245,201,139,151,88,94
NW396,municipality-NW396,Lekwa-Teemane,9387,5270,49,64,71,83,132,120,182,174,253,233,303,349,419,417,354,385,418,458,405,401,4117,424,379,395,413,381,383,284,305,201,216,146,171,81,105,50,62,41,41,21,18
NC062,municipality-NC062,Nama Khoi,7337,4345,36,34,59,80,84,142,146,187,244,259,270,287,325,330,303,295,342,319,309,294,2992,360,391,353,315,292,293,245,227,110,111,46,66,20,36,21,15,27,30,21,13
NC071,municipality-NC071,Ubuntu,2982,1911,25,22,42,46,67,51,83,82,99,121,116,111,114,121,120,129,134,138,146,144,1071,129,123,107,119,79,76,76,88,54,56,29,39,19,21,14,9,9,8,6,10
NC077,municipality-NC077,Siyathemba,3439,2238,22,34,54,49,67,69,77,83,131,130,146,139,169,136,153,137,145,169,173,155,1201,170,160,152,134,99,113,82,111,46,52,16,28,10,7,2,7,4,5,2,1
NC085,municipality-NC085,Tsantsabane,6126,3628,21,23,46,44,84,64,100,88,165,165,196,242,248,288,327,308,255,336,308,320,2498,244,237,212,246,214,249,198,200,112,147,65,104,50,61,32,42,18,35,15,17
NC094,municipality-NC094,Phokwane,11143,5630,43,52,84,75,112,121,202,139,303,274,399,364,436,433,439,436,460,368,463,427,5513,573,567,533,538,479,490,395,437,231,338,159,216,118,128,66,74,59,54,32,26
WC012,municipality-WC012,Cederberg,7654,5072,62,46,73,79,110,170,221,175,314,307,310,322,331,344,409,340,355,375,361,368,2582,339,340,273,291,220,229,145,142,63,80,49,65,47,45,46,65,29,44,43,27
WC024,municipality-WC024,Stellenbosch,29762,13809,111,98,165,188,257,290,456,556,716,741,840,886,946,1043,1000,1049,1131,1133,1166,1037,15953,978,964,943,901,902,904,926,755,815,867,948,913,995,922,726,717,512,565,335,365
WC033,municipality-WC033,Cape Agulhas,5020,3341,40,33,59,60,100,82,136,155,197,141,205,220,236,214,178,236,276,257,260,256,1679,216,218,213,178,182,166,128,113,60,51,27,24,15,21,22,13,9,7,8,8
WC045,municipality-WC045,Oudtshoorn,15467,8968,107,84,140,175,219,250,358,405,537,532,631,588,615,683,631,606,655,604,587,561,6499,785,857,736,703,645,639,434,474,217,233,114,130,123,81,88,47,57,47,59,30
EC102,municipality-EC102,Blue Crane Route,5715,3436,42,41,74,47,123,85,156,146,204,179,197,196,249,268,225,212,262,245,248,237,2279,257,250,245,276,216,213,161,158,79,106,47,57,36,45,27,34,16,25,17,14
EC103,municipality-EC103,Ikwezi,1625,978,16,14,20,20,26,34,40,37,41,38,65,64,67,53,67,82,85,62,74,73,647,92,73,70,51,59,81,60,36,21,22,10,18,8,14,11,12,2,2,3,2
EC104,municipality-EC104,Makana,13326,6198,46,54,70,73,107,124,171,180,274,290,383,366,453,440,514,454,542,538,541,578,7128,561,590,569,552,533,504,479,415,340,336,312,281,334,268,268,217,207,158,103,101
EC106,municipality-EC106,Sundays River Valley,9132,6108,65,48,115,102,143,143,239,244,312,322,349,414,408,485,423,454,444,493,409,496,3024,320,346,320,362,257,275,186,235,104,150,86,124,46,65,31,39,19,20,15,24
EC107,municipality-EC107,Baviaans,2724,1830,20,19,40,48,47,46,67,85,107,114,118,120,122,150,125,126,122,117,135,102,894,113,147,103,109,93,97,60,55,24,29,10,14,3,7,5,8,4,4,5,4
