geo_code,geoid,name,total,Have electricity for everything-Female,Have electricity for everything-Male,Have electricity for some things-Female,Have electricity for some things-Male,No electricity-Female,No electricity-Male
ZA,country-ZA,South Africa,10140504,2699290,2640340,1677965,1674252,724660,723997
WC044,municipality-WC044,George,33649,9274,9023,6516,6394,1247,1195
WC047,municipality-WC047,Bitou,7848,1755,1827,2009,1861,185,211
WC048,municipality-WC048,Knysna,10872,3294,3074,1792,1780,473,459
WC051,municipality-WC051,Laingsburg,1237,443,399,108,132,67,88
WC052,municipality-WC052,Prince Albert,2246,702,706,278,322,120,118
WC053,municipality-WC053,Beaufort West,8266,2906,2737,1051,1150,185,237
MP303,municipality-MP303,Mkhondo,30970,3940,3872,6421,6154,5391,5192
MP311,municipality-MP311,Victor Khanye,13692,2187,2559,3657,3757,743,789
MP322,municipality-MP322,Mbombela,127097,47569,44631,14107,13954,3533,3303
NW373,municipality-NW373,Rustenburg,97014,34295,35428,6535,7239,5787,7730
NW384,municipality-NW384,Ditsobotla,30116,7640,7394,4036,4071,3468,3507
NW396,municipality-NW396,Lekwa-Teemane,9818,2601,2599,1764,1921,424,509
NC062,municipality-NC062,Nama Khoi,7989,3279,3362,595,592,55,106
NC071,municipality-NC071,Ubuntu,3106,1002,1009,381,386,154,174
NC077,municipality-NC077,Siyathemba,3553,974,956,660,643,145,175
NC085,municipality-NC085,Tsantsabane,6510,2308,2492,466,610,283,351
NC094,municipality-NC094,Phokwane,11441,3779,3763,1084,1119,885,811
WC012,municipality-WC012,Cederberg,8701,2898,2939,1035,1141,360,328
WC024,municipality-WC024,Stellenbosch,38264,13941,13166,4879,4683,842,753
WC033,municipality-WC033,Cape Agulhas,5339,1712,1584,979,934,63,67
WC045,municipality-WC045,Oudtshoorn,17288,4817,4797,2470,2736,1241,1227
EC102,municipality-EC102,Blue Crane Route,5947,1776,1686,913,935,309,328
EC103,municipality-EC103,Ikwezi,1667,479,438,303,291,79,77
EC104,municipality-EC104,Makana,17520,4272,3611,4233,4135,633,636
EC106,municipality-EC106,Sundays River Valley,9620,2182,2723,1478,1678,744,815
EC107,municipality-EC107,Baviaans,2874,517,553,686,712,197,209
EC108,municipality-EC108,Kouga,15855,4770,4807,2295,2287,857,839
EC109,municipality-EC109,Kou-Kamma,6695,1776,1808,1105,1270,354,382
EC121,municipality-EC121,Mbhashe,54969,4005,3911,9978,10638,13436,13001
EC123,municipality-EC123,Great Kei,7018,1148,1184,1487,1818,673,708
EC124,municipality-EC124,Amahlathi,22789,1988,1939,7441,8266,1415,1740
