geo_code,geoid,name,total,Employed-Female,Employed-Male,NEET-Female,NEET-Male,School/post-school,School/post-school-employment education training,School/post-school-Female,School/post-school-Male
ZA,country-ZA,South Africa,9629298,689851,935250,1727914,1370476,4905807,2429240,0,2476567
WC044,municipality-WC044,George,31532,3873,4694,6150,4947,11868,0,6041,5827
WC047,municipality-WC047,Bitou,7399,754,1072,1690,1354,2529,0,1297,1232
WC048,municipality-WC048,Knysna,10280,1141,1507,2123,1622,3887,0,1982,1905
WC051,municipality-WC051,Laingsburg,1158,171,270,244,141,332,0,158,174
WC052,municipality-WC052,Prince Albert,2197,169,384,597,404,643,0,313,330
WC053,municipality-WC053,Beaufort West,7655,633,907,1624,1319,3172,0,1557,1615
MP303,municipality-MP303,Mkhondo,29477,1550,2333,5832,4095,15667,0,7615,8052
MP311,municipality-MP311,Victor Khanye,13185,955,1939,2716,1985,5590,0,2668,2922
MP322,municipality-MP322,Mbombela,122131,8489,11291,22748,16301,63302,0,31503,31799
NW373,municipality-NW373,Rustenburg,91871,7444,15114,20003,15267,34043,0,16630,17413
NW384,municipality-NW384,Ditsobotla,29284,1320,3428,6832,4622,13082,0,6452,6630
NW396,municipality-NW396,Lekwa-Teemane,9424,498,1041,2158,1724,4003,0,1964,2039
NC062,municipality-NC062,Nama Khoi,7375,663,829,1512,1477,2894,0,1456,1438
NC071,municipality-NC071,Ubuntu,3010,301,504,680,515,1010,0,498,512
NC077,municipality-NC077,Siyathemba,3455,250,545,899,583,1178,0,578,600
NC085,municipality-NC085,Tsantsabane,6249,562,1130,1283,909,2365,0,1110,1255
NC094,municipality-NC094,Phokwane,11189,536,915,2501,1866,5371,0,2575,2796
WC012,municipality-WC012,Cederberg,7875,1570,1723,1191,1081,2310,0,1143,1167
WC024,municipality-WC024,Stellenbosch,30775,4387,4905,3923,3520,14040,0,7067,6973
WC033,municipality-WC033,Cape Agulhas,5132,819,1095,975,664,1579,0,829,750
WC045,municipality-WC045,Oudtshoorn,15649,1233,1887,3509,2881,6139,0,3087,3052
EC102,municipality-EC102,Blue Crane Route,5742,310,622,1505,1104,2201,0,1075,1126
EC103,municipality-EC103,Ikwezi,1632,184,237,340,257,614,0,320,294
EC104,municipality-EC104,Makana,13414,981,1258,2418,2106,6651,0,3444,3207
EC106,municipality-EC106,Sundays River Valley,9187,870,1774,2091,1557,2895,0,1343,1552
EC107,municipality-EC107,Baviaans,2735,192,397,726,561,859,0,409,450
EC108,municipality-EC108,Kouga,15426,1852,2691,3436,2478,4969,0,2471,2498
EC109,municipality-EC109,Kou-Kamma,6521,1043,1766,1308,856,1548,0,795,753
EC121,municipality-EC121,Mbhashe,52020,1283,1430,8242,7804,33261,0,16285,16976
EC123,municipality-EC123,Great Kei,6536,267,520,1169,1211,3369,0,1569,1800
EC124,municipality-EC124,Amahlathi,21799,650,1186,4006,3858,12099,0,5642,6457
EC126,municipality-EC126,Ngqushwa,11740,239,330,2052,2126,6993,0,3196,3797
EC127,municipality-EC127,Nkonkobe,20491,608,778,3868,3823,11414,0,5172,6242
EC131,municipality-EC131,Inxuba Yethemba,10797,821,1501,2267,1694,4514,0,2293,2221
EC132,municipality-EC132,Tsolwana,6132,194,383,1109,956,3490,0,1711,1779
EC133,municipality-EC133,Inkwanca,4003,185,417,770,584,2047,0,1005,1042
EC134,municipality-EC134,Lukanji,35818,1534,1964,6107,5586,20627,0,10143,10484
EC136,municipality-EC136,Emalahleni,21984,504,750,3430,3539,13761,0,6405,7356
EC137,municipality-EC137,Engcobo,28874,869,919,4991,4473,17622,0,8475,9147
EC138,municipality-EC138,Sakhisizwe,12253,466,723,1947,1857,7260,0,3369,3891
EC141,municipality-EC141,Elundini,27799,765,1278,4237,4090,17429,0,8181,9248
EC142,municipality-EC142,Senqu,27018,1064,1499,4541,3363,16551,0,7769,8782
EC143,municipality-EC143,Maletswai,7933,457,757,1494,1053,4172,0,2146,2026
EC153,municipality-EC153,Ngquza Hill,57754,1267,1419,10203,9129,35736,0,17334,18402
EC154,municipality-EC154,Port St Johns,33641,595,622,5391,4561,22472,0,11020,11452
EC155,municipality-EC155,Nyandeni,63512,1513,1755,9619,8873,41752,0,20541,21211
EC156,municipality-EC156,Mhlontlo,39265,1016,1165,6346,6052,24686,0,11584,13102
EC441,municipality-EC441,Matatiele,40076,1692,2060,6843,5603,23878,0,11032,12846
EC442,municipality-EC442,Umzimvubu,38499,1390,1494,6685,5797,23133,0,11114,12019
EC443,municipality-EC443,Mbizana,58910,1501,1556,10059,7797,37997,0,18592,19405
EC444,municipality-EC444,Ntabankulu,25996,540,562,4680,4325,15889,0,7933,7956
FS161,municipality-FS161,Letsemeng,6666,453,979,1636,1086,2512,0,1225,1287
FS162,municipality-FS162,Kopanong,8280,513,1089,1827,1092,3759,0,1830,1929
FS163,municipality-FS163,Mohokare,6379,327,721,1389,877,3065,0,1507,1558
FS181,municipality-FS181,Masilonyana,10738,432,945,2609,1874,4878,0,2481,2397
FS182,municipality-FS182,Tokologo,4918,271,717,1310,745,1875,0,910,965
FS183,municipality-FS183,Tswelopele,8599,379,947,2035,1464,3774,0,1968,1806
FS184,municipality-FS184,Matjhabeng,74515,4039,6033,15216,12209,37018,0,18513,18505
FS185,municipality-FS185,Nala,14679,626,1251,3728,2652,6422,0,3177,3245
FS192,municipality-FS192,Dihlabeng,22223,1381,2250,4629,3027,10936,0,5411,5525
FS193,municipality-FS193,Nketoana,11292,506,1120,2606,1591,5469,0,2573,2896
FS194,municipality-FS194,Maluti a Phofung,71999,2597,3396,13860,10764,41382,0,20249,21133
FS195,municipality-FS195,Phumelela,8828,380,1101,2145,1281,3921,0,1937,1984
FS201,municipality-FS201,Moqhaka,26074,1297,2530,5779,4148,12320,0,6059,6261
FS203,municipality-FS203,Ngwathe,20823,1179,1889,4386,3102,10267,0,4953,5314
FS204,municipality-FS204,Metsimaholo,26114,1729,3178,4859,3551,12797,0,6241,6556
FS205,municipality-FS205,Mafube,10645,378,972,2271,1571,5453,0,2774,2679
GT421,municipality-GT421,Emfuleni,135281,9148,12905,23955,19956,69317,0,35143,34174
GT423,municipality-GT423,Lesedi,16706,1383,2506,3424,2372,7021,0,3462,3559
GT481,municipality-GT481,Mogale City,59884,6285,9119,10687,8469,25324,0,12664,12660
GT482,municipality-GT482,Randfontein,25086,2332,3507,4865,3852,10530,0,5213,5317
GT483,municipality-GT483,Westonaria,19626,1376,3115,4610,3593,6932,0,3502,3430
KZN211,municipality-KZN211,Vulamehlo,15381,375,461,2985,2377,9183,0,4439,4744
KZN212,municipality-KZN212,Umdoni,14523,982,1238,2893,2386,7024,0,3495,3529
KZN213,municipality-KZN213,Umzumbe,32744,762,824,5900,4904,20354,0,9533,10821
KZN214,municipality-KZN214,UMuziwabantu,19995,710,966,3526,2708,12085,0,5875,6210
KZN215,municipality-KZN215,Ezingoleni,10780,346,408,1910,1387,6729,0,3126,3603
KZN221,municipality-KZN221,uMshwathi,21620,1716,1930,3778,2774,11422,0,5428,5994
KZN222,municipality-KZN222,uMngeni,15289,1779,2215,2747,2243,6305,0,3157,3148
KZN223,municipality-KZN223,Mpofana,7098,670,919,1403,1069,3037,0,1417,1620
KZN224,municipality-KZN224,Impendle,6553,142,188,1271,1112,3840,0,1834,2006
KZN225,municipality-KZN225,The Msunduzi,120440,8578,9554,21342,18003,62963,0,31223,31740
KZN226,municipality-KZN226,Mkhambathini,12378,900,1192,2463,1871,5952,0,2778,3174
KZN232,municipality-KZN232,Emnambithi/Ladysmith,44745,2593,3077,8688,6617,23770,0,11746,12024
KZN233,municipality-KZN233,Indaka,21482,355,307,4570,2951,13299,0,6457,6842
KZN234,municipality-KZN234,Umtshezi,15641,686,859,3039,2385,8672,0,4265,4407
KZN235,municipality-KZN235,Okhahlamba,25710,730,1069,4840,3220,15851,0,7484,8367
KZN236,municipality-KZN236,Imbabazane,23112,687,847,4485,3602,13491,0,6525,6966
KZN242,municipality-KZN242,Nqutu,34492,877,831,6950,4549,21285,0,10034,11251
KZN244,municipality-KZN244,Msinga,34919,745,587,6734,3872,22981,0,11429,11552
KZN245,municipality-KZN245,Umvoti,20293,1377,1284,3815,2565,11252,0,5573,5679
KZN252,municipality-KZN252,Newcastle,73726,3199,3941,12682,10305,43599,0,21210,22389
KZN254,municipality-KZN254,Dannhauser,21308,592,849,3978,3222,12667,0,5997,6670
KZN261,municipality-KZN261,eDumbe,16650,594,987,3244,2271,9554,0,4556,4998
KZN262,municipality-KZN262,UPhongolo,27304,1297,1657,5378,3751,15221,0,7218,8003
KZN263,municipality-KZN263,Abaqulusi,40688,1617,2006,7165,5526,24374,0,11536,12838
KZN265,municipality-KZN265,Nongoma,42013,1151,945,7767,5037,27113,0,12810,14303
KZN266,municipality-KZN266,Ulundi,38560,1007,913,7334,5436,23870,0,11653,12217
KZN272,municipality-KZN272,Jozini,40005,1320,1214,6410,4480,26581,0,13016,13565
KZN273,municipality-KZN273,The Big 5 False Bay,6832,428,424,1130,758,4092,0,1907,2185
KZN274,municipality-KZN274,Hlabisa,15533,435,407,2581,1734,10376,0,4923,5453
KZN275,municipality-KZN275,Mtubatuba,35772,1678,1663,6040,4465,21926,0,10707,11219
KZN281,municipality-KZN281,Mfolozi,24880,906,1292,4614,3488,14580,0,7038,7542
KZN283,municipality-KZN283,Ntambanana,16037,486,513,2969,2247,9822,0,4667,5155
KZN284,municipality-KZN284,uMlalazi,43754,1711,1934,7083,5297,27729,0,13571,14158
KZN285,municipality-KZN285,Mthonjaneni,9512,637,628,1662,1277,5308,0,2611,2697
KZN286,municipality-KZN286,Nkandla,23066,548,477,4071,3062,14908,0,7386,7522
KZN291,municipality-KZN291,Mandeni,28258,2147,2471,5185,3981,14474,0,6862,7612
KZN293,municipality-KZN293,Ndwedwe,28369,743,968,5155,3930,17573,0,8382,9191
KZN294,municipality-KZN294,Maphumulo,19864,548,513,3323,2269,13211,0,6565,6646
KZN431,municipality-KZN431,Ingwe,20257,595,898,3909,2796,12059,0,5659,6400
KZN432,municipality-KZN432,Kwa Sani,2227,312,554,469,324,568,0,231,337
KZN434,municipality-KZN434,Ubuhlebezwe,20196,760,1035,3560,2630,12211,0,5789,6422
KZN435,municipality-KZN435,Umzimkhulu,38477,1017,1043,7440,5018,23959,0,11673,12286
LIM331,municipality-LIM331,Greater Giyani,56799,1205,1449,9432,6509,38204,0,18428,19776
LIM332,municipality-LIM332,Greater Letaba,49280,1243,2436,7750,5543,32308,0,15389,16919
LIM333,municipality-LIM333,Greater Tzaneen,81443,2706,4555,13225,10511,50446,0,24832,25614
LIM335,municipality-LIM335,Maruleng,20183,555,865,3281,2362,13120,0,6292,6828
LIM341,municipality-LIM341,Musina,12645,1756,2604,2904,1392,3989,0,1942,2047
LIM342,municipality-LIM342,Mutale,20117,309,643,3221,1897,14047,0,6592,7455
LIM343,municipality-LIM343,Thulamela,139935,2541,4530,20119,14582,98163,0,47684,50479
LIM344,municipality-LIM344,Makhado,108172,2838,4886,16207,11682,72559,0,34777,37782
LIM351,municipality-LIM351,Blouberg,35986,827,1346,4875,3026,25912,0,12536,13376
LIM353,municipality-LIM353,Molemole,22234,624,1118,3324,2483,14685,0,6965,7720
LIM354,municipality-LIM354,Polokwane,129354,6779,9695,18046,13537,81297,0,40736,40561
LIM355,municipality-LIM355,Lepele-Nkumpi,46803,1044,1409,7467,5776,31107,0,14861,16246
LIM361,municipality-LIM361,Thabazimbi,12611,1280,2866,2912,2103,3450,0,1711,1739
LIM362,municipality-LIM362,Lephalale,22074,1691,3556,3509,2326,10992,0,5267,5725
LIM365,municipality-LIM365,Modimolle,12215,986,1662,2460,1728,5379,0,2630,2749
LIM366,municipality-LIM366,Bela-Bela,11084,893,1493,2206,1619,4873,0,2374,2499
BUF,municipality-BUF,Buffalo City,132541,8844,9495,22296,20163,71743,0,36491,35252
EC101,municipality-EC101,Camdeboo,8036,630,1118,1672,1319,3297,0,1637,1660
EC105,municipality-EC105,Ndlambe,9336,703,959,1996,1842,3836,0,1920,1916
EC122,municipality-EC122,Mnquma,48528,1201,1406,7181,6986,31754,0,15239,16515
EC128,municipality-EC128,Nxuba,3799,151,349,864,777,1658,0,811,847
EC135,municipality-EC135,Intsika Yethu,26014,586,852,4138,4481,15957,0,7302,8655
EC144,municipality-EC144,Gariep,5739,393,823,1130,869,2524,0,1248,1276
EC157,municipality-EC157,King Sabata Dalindyebo,97462,4068,3783,15426,13235,60950,0,30666,30284
