geo_code,geoid,name,total,Do not know-Female,Do not know-Male,Formal sector-Female,Formal sector-Male,Informal sector-Female,Informal sector-Male,Private household-Female,Private household-Male
ZA,country-ZA,South Africa,1676105,17382,27919,546152,705455,76135,145983,62851,94228
WC044,municipality-WC044,George,8609,88,133,3147,3658,431,701,202,249
WC047,municipality-WC047,Bitou,1841,20,17,591,776,61,163,77,136
WC048,municipality-WC048,Knysna,2664,33,45,862,1095,100,196,137,196
WC051,municipality-WC051,Laingsburg,437,2,7,147,245,13,10,7,6
WC052,municipality-WC052,Prince Albert,562,7,2,115,304,26,66,22,20
WC053,municipality-WC053,Beaufort West,1543,22,22,483,695,74,151,55,41
MP303,municipality-MP303,Mkhondo,4648,101,182,1276,1762,352,663,102,210
MP311,municipality-MP311,Victor Khanye,3102,63,91,716,1428,121,350,91,242
MP322,municipality-MP322,Mbombela,20294,177,322,6325,7817,1141,2250,846,1416
NW373,municipality-NW373,Rustenburg,23111,208,431,5717,11262,774,2224,770,1725
NW384,municipality-NW384,Ditsobotla,4737,27,42,943,2039,131,738,161,656
NW396,municipality-NW396,Lekwa-Teemane,1541,21,67,343,545,83,220,49,213
NC062,municipality-NC062,Nama Khoi,1521,8,11,468,566,162,237,22,47
NC071,municipality-NC071,Ubuntu,865,4,15,231,350,50,151,34,30
NC077,municipality-NC077,Siyathemba,839,1,5,190,457,21,91,45,29
NC085,municipality-NC085,Tsantsabane,1785,13,39,391,731,107,341,71,92
NC094,municipality-NC094,Phokwane,1510,21,30,411,605,71,207,54,111
WC012,municipality-WC012,Cederberg,3244,35,44,1317,1464,138,149,53,44
WC024,municipality-WC024,Stellenbosch,9311,123,130,3409,3672,558,782,281,356
WC033,municipality-WC033,Cape Agulhas,1917,31,51,666,875,90,125,33,46
WC045,municipality-WC045,Oudtshoorn,3126,12,50,1015,1496,149,261,60,83
EC102,municipality-EC102,Blue Crane Route,937,15,23,198,328,61,180,39,93
EC103,municipality-EC103,Ikwezi,423,2,5,117,124,42,69,27,37
EC104,municipality-EC104,Makana,2280,32,38,682,817,165,260,116,170
EC106,municipality-EC106,Sundays River Valley,2700,39,68,672,1328,115,266,66,146
EC107,municipality-EC107,Baviaans,588,5,12,122,209,26,95,38,81
EC108,municipality-EC108,Kouga,4605,26,42,1308,1684,415,775,137,218
EC109,municipality-EC109,Kou-Kamma,2875,5,29,717,1244,272,423,62,123
EC121,municipality-EC121,Mbhashe,2819,14,21,917,950,253,365,147,152
EC123,municipality-EC123,Great Kei,813,16,36,178,312,45,80,38,108
EC124,municipality-EC124,Amahlathi,1898,10,27,430,746,157,302,77,149
EC126,municipality-EC126,Ngqushwa,590,11,11,165,206,53,80,19,45
EC127,municipality-EC127,Nkonkobe,1425,12,26,474,553,85,132,56,87
EC131,municipality-EC131,Inxuba Yethemba,2339,17,20,651,1115,105,227,59,145
EC132,municipality-EC132,Tsolwana,584,2,11,133,236,18,53,42,89
EC133,municipality-EC133,Inkwanca,607,0,20,150,287,12,54,25,59
EC134,municipality-EC134,Lukanji,3580,34,60,1078,1286,239,347,221,315
EC136,municipality-EC136,Emalahleni,1294,9,21,389,527,78,131,46,93
EC137,municipality-EC137,Engcobo,1866,20,23,648,691,143,166,99,76
EC138,municipality-EC138,Sakhisizwe,1221,8,23,328,447,107,203,36,69
EC141,municipality-EC141,Elundini,2106,12,39,570,828,156,352,49,100
EC142,municipality-EC142,Senqu,2650,14,48,695,773,241,495,153,231
EC143,municipality-EC143,Maletswai,1241,16,40,307,453,71,157,72,125
EC153,municipality-EC153,Ngquza Hill,2818,35,38,942,1048,222,236,136,161
EC154,municipality-EC154,Port St Johns,1265,9,9,525,511,37,87,49,38
EC155,municipality-EC155,Nyandeni,3431,22,35,1217,1362,183,275,165,172
EC156,municipality-EC156,Mhlontlo,2275,14,16,809,887,126,193,120,110
EC441,municipality-EC441,Matatiele,3903,38,56,1131,1252,373,568,219,266
EC442,municipality-EC442,Umzimvubu,3011,40,40,1057,1056,216,308,144,150
EC443,municipality-EC443,Mbizana,3223,24,38,1110,1070,231,314,223,213
EC444,municipality-EC444,Ntabankulu,1158,11,14,461,446,50,89,48,39
FS161,municipality-FS161,Letsemeng,1494,15,28,286,522,120,410,38,75
FS162,municipality-FS162,Kopanong,1656,5,16,297,551,126,408,91,162
FS163,municipality-FS163,Mohokare,1070,6,16,201,357,67,217,54,152
FS181,municipality-FS181,Masilonyana,1415,25,57,295,553,60,152,51,222
FS182,municipality-FS182,Tokologo,1001,3,19,161,410,28,136,77,167
FS183,municipality-FS183,Tswelopele,1358,13,25,279,641,39,137,52,172
FS184,municipality-FS184,Matjhabeng,10445,98,207,3177,4578,428,890,346,721
FS185,municipality-FS185,Nala,1927,18,39,454,782,98,326,53,157
FS192,municipality-FS192,Dihlabeng,3730,26,55,1043,1742,166,285,142,271
FS193,municipality-FS193,Nketoana,1666,2,18,356,836,92,207,53,102
FS194,municipality-FS194,Maluti a Phofung,6033,82,127,1844,2182,426,759,225,388
FS195,municipality-FS195,Phumelela,1523,14,26,287,881,42,168,39,66
FS201,municipality-FS201,Moqhaka,3936,32,54,922,1581,192,632,151,372
FS203,municipality-FS203,Ngwathe,3154,34,45,891,1246,161,463,94,220
FS204,municipality-FS204,Metsimaholo,5106,55,105,1355,2611,147,346,171,316
FS205,municipality-FS205,Mafube,1396,12,41,258,565,68,281,41,130
GT421,municipality-GT421,Emfuleni,22778,205,336,7485,10218,841,1562,817,1314
GT423,municipality-GT423,Lesedi,4021,65,111,1085,1848,147,366,119,280
GT481,municipality-GT481,Mogale City,15985,199,319,4855,6716,676,1210,758,1252
GT482,municipality-GT482,Randfontein,6063,75,121,1942,2747,205,418,186,369
GT483,municipality-GT483,Westonaria,4609,28,84,1114,2358,150,471,108,296
