geo_code,geoid,name,total,Discouraged work-seeker-Female,Discouraged work-seeker-Male,Employed-Female,Employed-Male,Other not economically active-Female,Other not economically active-Male,Unemployed-Female,Unemployed-Male
ZA,country-ZA,South Africa,9886917,312511,254575,689851,935250,3037516,2867707,946361,843146
WC044,municipality-WC044,George,32617,1003,803,3873,4694,8726,7816,3020,2682
WC047,municipality-WC047,Bitou,7572,237,249,754,1072,1600,1454,1244,962
WC048,municipality-WC048,Knysna,10614,290,196,1141,1507,2765,2418,1240,1057
WC051,municipality-WC051,Laingsburg,1178,54,22,171,270,265,232,97,67
WC052,municipality-WC052,Prince Albert,2226,114,69,169,384,661,541,151,137
WC053,municipality-WC053,Beaufort West,8127,510,413,633,907,2238,2126,689,611
MP303,municipality-MP303,Mkhondo,30526,1106,725,1550,2333,9933,9544,2990,2345
MP311,municipality-MP311,Victor Khanye,13535,444,326,955,1939,3749,3446,1372,1304
MP322,municipality-MP322,Mbombela,124575,4231,2972,8489,11291,38625,35996,12748,10223
NW373,municipality-NW373,Rustenburg,94936,2158,1590,7444,15114,24260,21207,11929,11234
NW384,municipality-NW384,Ditsobotla,29718,1277,894,1320,3428,9932,8527,2326,2014
NW396,municipality-NW396,Lekwa-Teemane,9568,542,457,498,1041,2829,2575,827,799
NC062,municipality-NC062,Nama Khoi,7482,322,320,663,829,2149,2045,550,604
NC071,municipality-NC071,Ubuntu,3080,99,79,301,504,733,661,389,314
NC077,municipality-NC077,Siyathemba,3468,152,97,250,545,1060,867,275,222
NC085,municipality-NC085,Tsantsabane,6424,81,53,562,1130,1695,1643,703,557
NC094,municipality-NC094,Phokwane,11413,437,359,536,915,3541,3309,1227,1089
WC012,municipality-WC012,Cederberg,8037,129,80,1570,1723,1931,1845,364,395
WC024,municipality-WC024,Stellenbosch,32264,588,532,4387,4905,9047,8612,2132,2061
WC033,municipality-WC033,Cape Agulhas,5242,246,165,819,1095,1246,943,389,339
WC045,municipality-WC045,Oudtshoorn,16354,677,504,1233,1887,4818,4387,1469,1379
EC102,municipality-EC102,Blue Crane Route,5856,224,160,310,622,1877,1650,549,464
EC103,municipality-EC103,Ikwezi,1661,88,51,184,237,498,427,88,88
EC104,municipality-EC104,Makana,13753,457,419,981,1258,4172,3774,1428,1264
EC106,municipality-EC106,Sundays River Valley,9365,243,173,870,1774,2770,2569,504,462
EC107,municipality-EC107,Baviaans,2795,135,109,192,397,729,645,303,285
EC108,municipality-EC108,Kouga,15719,450,346,1852,2691,4176,3577,1428,1199
EC109,municipality-EC109,Kou-Kamma,6672,159,131,1043,1766,1544,1163,479,387
EC121,municipality-EC121,Mbhashe,52649,1880,1995,1283,1430,20994,20938,1985,2144
EC123,municipality-EC123,Great Kei,6664,424,454,267,520,2030,2210,349,410
EC124,municipality-EC124,Amahlathi,22060,1193,1173,650,1186,7345,7919,1248,1346
EC126,municipality-EC126,Ngqushwa,11954,649,685,239,330,3890,4468,823,870
EC127,municipality-EC127,Nkonkobe,20924,1113,1205,608,778,6468,7360,1673,1719
EC131,municipality-EC131,Inxuba Yethemba,10969,507,336,821,1501,3154,2897,983,770
EC132,municipality-EC132,Tsolwana,6262,306,219,194,383,2200,2225,380,355
EC133,municipality-EC133,Inkwanca,4121,217,167,185,417,1203,1151,426,355
EC134,municipality-EC134,Lukanji,36389,1482,1366,1534,1964,12206,12327,2874,2636
EC136,municipality-EC136,Emalahleni,22263,830,965,504,750,8092,8960,1056,1106
EC137,municipality-EC137,Engcobo,29897,1179,1184,869,919,11436,11349,1414,1547
EC138,municipality-EC138,Sakhisizwe,12644,380,452,466,723,4308,4616,829,870
EC141,municipality-EC141,Elundini,28411,790,709,765,1278,10294,11138,1647,1790
EC142,municipality-EC142,Senqu,27397,1111,926,1064,1499,9858,10038,1563,1338
EC143,municipality-EC143,Maletswai,8098,273,164,457,757,2722,2402,735,588
EC153,municipality-EC153,Ngquza Hill,59427,2519,2364,1267,1419,22773,22692,3122,3271
EC154,municipality-EC154,Port St Johns,34388,1666,1518,595,622,13742,13534,1390,1321
EC155,municipality-EC155,Nyandeni,64654,1913,2053,1513,1755,26125,25788,2727,2780
EC156,municipality-EC156,Mhlontlo,40277,1422,1554,1016,1165,14958,15745,2082,2335
EC441,municipality-EC441,Matatiele,41020,1312,1139,1692,2060,14635,15191,2445,2546
EC442,municipality-EC442,Umzimvubu,39665,1801,1746,1390,1494,14108,14177,2494,2455
EC443,municipality-EC443,Mbizana,60206,2560,2134,1501,1556,24260,23233,2570,2392
EC444,municipality-EC444,Ntabankulu,26571,1184,1183,540,562,10534,10157,1174,1237
