geo_code,geoid,name,total,Female-Black African,Female-Coloured,Female-Indian or Asian,Female-Other,Female-White,Male-Black African,Male-Coloured,Male-Indian or Asian,Male-Other,Male-White
ZA,country-ZA,South Africa,10140505,4266555,429852,103701,16736,285072,4184184,423331,112650,28794,289630
WC044,municipality-WC044,George,33651,5541,9254,85,102,2055,5216,8988,82,263,2065
WC047,municipality-WC047,Bitou,7848,2052,1366,30,186,315,1942,1334,18,242,363
WC048,municipality-WC048,Knysna,10874,2398,2578,22,44,518,2204,2481,26,94,509
WC051,municipality-WC051,Laingsburg,1237,40,543,0,7,27,58,521,0,6,35
WC052,municipality-WC052,Prince Albert,2246,26,1020,1,1,51,31,1030,7,8,71
WC053,municipality-WC053,Beaufort West,8268,763,3121,16,15,228,725,3089,21,34,256
MP303,municipality-MP303,Mkhondo,30969,15141,108,97,15,391,14496,84,128,58,451
MP311,municipality-MP311,Victor Khanye,13693,5669,87,27,8,797,6003,71,40,33,958
MP322,municipality-MP322,Mbombela,127097,60717,768,322,76,3326,57429,669,393,112,3285
NW373,municipality-NW373,Rustenburg,97014,42016,424,306,164,3707,45351,464,410,307,3865
NW384,municipality-NW384,Ditsobotla,30114,13864,331,54,17,877,13533,289,123,59,967
NW396,municipality-NW396,Lekwa-Teemane,9818,4074,368,11,14,323,4258,403,35,27,305
NC062,municipality-NC062,Nama Khoi,7990,152,3581,23,15,159,186,3634,19,45,176
NC071,municipality-NC071,Ubuntu,3106,337,1145,4,7,43,371,1120,7,20,52
NC077,municipality-NC077,Siyathemba,3552,361,1323,6,4,84,361,1300,16,14,83
NC085,municipality-NC085,Tsantsabane,6509,1593,1286,2,9,167,1838,1343,30,37,204
NC094,municipality-NC094,Phokwane,11441,4827,664,7,15,235,4758,604,42,43,246
WC012,municipality-WC012,Cederberg,8700,772,3250,17,3,251,826,3261,22,23,275
WC024,municipality-WC024,Stellenbosch,38264,5631,8468,94,91,5377,5193,8106,104,182,5018
WC033,municipality-WC033,Cape Agulhas,5338,376,2056,10,21,291,399,1805,8,38,334
WC045,municipality-WC045,Oudtshoorn,17288,833,7090,20,40,544,1030,6990,37,83,621
EC102,municipality-EC102,Blue Crane Route,5946,1847,1023,5,19,104,1779,999,13,38,119
EC103,municipality-EC103,Ikwezi,1668,317,500,0,0,44,332,421,3,14,37
EC104,municipality-EC104,Makana,17519,6798,999,130,35,1175,6137,899,88,78,1180
EC106,municipality-EC106,Sundays River Valley,9620,3243,996,5,26,134,3803,1170,8,94,141
EC107,municipality-EC107,Baviaans,2874,177,1188,5,3,27,169,1247,3,18,37
EC108,municipality-EC108,Kouga,15854,3309,3849,26,25,712,3285,3759,11,152,726
EC109,municipality-EC109,Kou-Kamma,6694,1019,2014,8,27,167,1240,1962,16,94,147
EC121,municipality-EC121,Mbhashe,54971,27245,81,29,16,49,27284,69,55,81,62
EC123,municipality-EC123,Great Kei,7016,3168,38,3,3,95,3544,46,3,4,112
EC124,municipality-EC124,Amahlathi,22788,10590,152,12,4,86,11623,153,9,45,114
EC126,municipality-EC126,Ngqushwa,12064,5624,15,9,1,8,6356,14,9,19,9
EC127,municipality-EC127,Nkonkobe,24894,11290,509,22,20,104,12228,509,34,55,123
EC131,municipality-EC131,Inxuba Yethemba,11495,3137,1941,20,33,421,3432,1987,24,65,435
EC132,municipality-EC132,Tsolwana,6300,2895,172,2,1,36,2974,162,11,11,36
EC133,municipality-EC133,Inkwanca,4184,1915,81,3,5,58,1969,90,1,18,44
EC134,municipality-EC134,Lukanji,37211,17331,638,65,51,292,17593,700,89,126,326
EC136,municipality-EC136,Emalahleni,23475,11028,58,5,18,30,12138,74,36,57,31
EC137,municipality-EC137,Engcobo,30604,15242,20,12,10,12,15200,21,23,43,21
EC138,municipality-EC138,Sakhisizwe,12882,6000,49,6,3,37,6678,40,16,26,27
EC141,municipality-EC141,Elundini,28676,13383,135,1,12,48,14833,136,21,51,56
EC142,municipality-EC142,Senqu,27773,13493,151,18,21,53,13733,171,42,32,59
EC143,municipality-EC143,Maletswai,8216,3762,308,7,7,138,3501,282,25,20,166
EC153,municipality-EC153,Ngquza Hill,59925,29664,184,34,16,35,29644,202,60,63,23
