,geo_code,name,total,At least one employed adult,No employed adult,province
0,ZA,South Africa,9770007,5647743,4122264,South Africa
1,WC044,George,32510,25891,6619,Western Cape
2,WC047,Bitou,7537,5809,1728,Western Cape
3,WC048,Knysna,10562,8313,2249,Western Cape
4,WC051,Laingsburg,1172,971,201,Western Cape
5,WC052,Prince Albert,2217,1554,663,Western Cape
6,WC053,Beaufort West,8047,4800,3247,Western Cape
7,MP303,Mkhondo,30097,15391,14706,Mpumalanga
8,MP311,Victor Khanye,13462,9512,3950,Mpumalanga
9,MP322,Mbombela,123455,82367,41088,North West
10,NW373,Rustenburg,94375,70373,24002,North West
11,NW384,Ditsobotla,29416,17463,11953,North West
12,NW396,Lekwa-Teemane,9474,5319,4155,Northern Cape
13,NC062,Nama Khoi,7445,5116,2329,Northern Cape
14,NC071,Ubuntu,3047,2125,922,Northern Cape
15,NC077,Siyathemba,3436,2394,1042,Northern Cape
16,NC085,Tsantsabane,6379,4666,1713,Northern Cape
17,NC094,Phokwane,11301,6280,5021,Western Cape
18,WC012,Cederberg,8012,6715,1297,Western Cape
19,WC024,Stellenbosch,32193,24189,8004,Western Cape
20,WC033,Cape Agulhas,5224,4680,544,Western Cape
21,WC045,Oudtshoorn,16275,11532,4743,Eastern Cape
22,EC102,Blue Crane Route,5784,2986,2798,Eastern Cape
23,EC103,Ikwezi,1632,1065,567,Eastern Cape
24,EC104,Makana,13655,8283,5372,Eastern Cape
25,EC106,Sundays River Valley,9296,6469,2827,Eastern Cape
26,EC107,Baviaans,2763,1677,1086,Eastern Cape
27,EC108,Kouga,15622,12008,3614,Eastern Cape
28,EC109,Kou-Kamma,6643,5657,986,Eastern Cape
29,EC121,Mbhashe,50724,10689,40035,Eastern Cape
30,EC123,Great Kei,6522,2930,3592,Eastern Cape
31,EC124,Amahlathi,21547,8578,12969,Eastern Cape
32,EC126,Ngqushwa,11553,3033,8520,Eastern Cape
33,EC127,Nkonkobe,20424,6720,13704,Eastern Cape
34,EC131,Inxuba Yethemba,10849,6991,3858,Eastern Cape
35,EC132,Tsolwana,6071,2025,4046,Eastern Cape
36,EC133,Inkwanca,4052,1825,2227,Eastern Cape
37,EC134,Lukanji,35728,16659,19069,Eastern Cape
38,EC136,Emalahleni,21380,5248,16132,Eastern Cape
39,EC137,Engcobo,28846,6464,22382,Eastern Cape
40,EC138,Sakhisizwe,12346,4816,7530,Eastern Cape
41,EC141,Elundini,27231,7828,19403,Eastern Cape
42,EC142,Senqu,26435,9463,16972,Eastern Cape
43,EC143,Maletswai,7987,4641,3346,Eastern Cape
44,EC153,Ngquza Hill,57680,12247,45433,Eastern Cape
45,EC154,Port St Johns,33236,5668,27568,Eastern Cape
46,EC155,Nyandeni,62991,15072,47919,Eastern Cape
47,EC156,Mhlontlo,39099,9490,29609,Eastern Cape
48,EC441,Matatiele,39384,13422,25962,Eastern Cape
49,EC442,Umzimvubu,38246,11018,27228,Eastern Cape
50,EC443,Mbizana,58424,14061,44363,Eastern Cape
51,EC444,Ntabankulu,25828,4878,20950,Free State
52,FS161,Letsemeng,6631,4144,2487,Free State
53,FS162,Kopanong,8256,4573,3683,Free State
54,FS163,Mohokare,6315,3182,3133,Free State
55,FS181,Masilonyana,10786,5297,5489,Free State
56,FS182,Tokologo,4900,2707,2193,Free State
57,FS183,Tswelopele,8772,4722,4050,Free State
58,FS184,Matjhabeng,75279,44881,30398,Free State
59,FS185,Nala,14780,7773,7007,Free State
60,FS192,Dihlabeng,22104,13967,8137,Free State
61,FS193,Nketoana,11182,6206,4976,Free State
62,FS194,Maluti a Phofung,71457,29760,41697,Free State
63,FS195,Phumelela,8734,5211,3523,Free State
64,FS201,Moqhaka,26166,15437,10729,Free State
65,FS203,Ngwathe,20849,11338,9511,Free State
66,FS204,Metsimaholo,26504,18138,8366,Free State
67,FS205,Mafube,10613,5594,5019,Gauteng
68,GT421,Emfuleni,137114,87450,49664,Gauteng
69,GT423,Lesedi,16848,12522,4326,Gauteng
70,GT481,Mogale City,60990,47261,13729,Gauteng
71,GT482,Randfontein,25323,19390,5933,Gauteng
72,GT483,Westonaria,19984,13629,6355,KwaZulu-Natal
73,KZN211,Vulamehlo,15653,4394,11259,KwaZulu-Natal
74,KZN212,Umdoni,14684,8161,6523,KwaZulu-Natal
75,KZN213,Umzumbe,32708,9484,23224,KwaZulu-Natal
76,KZN214,UMuziwabantu,20088,6982,13106,KwaZulu-Natal
77,KZN215,Ezingoleni,10613,3763,6850,KwaZulu-Natal
78,KZN221,uMshwathi,21810,10157,11653,KwaZulu-Natal
79,KZN222,uMngeni,15583,11115,4468,KwaZulu-Natal
80,KZN223,Mpofana,7203,4242,2961,KwaZulu-Natal
81,KZN224,Impendle,6650,1484,5166,KwaZulu-Natal
82,KZN225,The Msunduzi,123335,75648,47687,KwaZulu-Natal
83,KZN226,Mkhambathini,12483,6321,6162,KwaZulu-Natal
84,KZN232,Emnambithi/Ladysmith,45665,24843,20822,KwaZulu-Natal
85,KZN233,Indaka,21439,3879,17560,KwaZulu-Natal
86,KZN234,Umtshezi,15875,6937,8938,KwaZulu-Natal
87,KZN235,Okhahlamba,25924,8530,17394,KwaZulu-Natal
88,KZN236,Imbabazane,23579,8395,15184,KwaZulu-Natal
89,KZN242,Nqutu,34281,7274,27007,KwaZulu-Natal
90,KZN244,Msinga,35084,6159,28925,KwaZulu-Natal
91,KZN245,Umvoti,20339,8041,12298,KwaZulu-Natal
92,KZN252,Newcastle,74337,36040,38297,KwaZulu-Natal
93,KZN254,Dannhauser,21273,8364,12909,KwaZulu-Natal
94,KZN261,eDumbe,16734,6185,10549,KwaZulu-Natal
95,KZN262,UPhongolo,27649,10569,17080,KwaZulu-Natal
96,KZN263,Abaqulusi,41875,14993,26882,KwaZulu-Natal
97,KZN265,Nongoma,42529,10540,31989,KwaZulu-Natal
98,KZN266,Ulundi,39152,10489,28663,KwaZulu-Natal
99,KZN272,Jozini,40834,10835,29999,KwaZulu-Natal
100,KZN273,The Big 5 False Bay,7366,2327,5039,KwaZulu-Natal
101,KZN274,Hlabisa,15726,4287,11439,KwaZulu-Natal
102,KZN275,Mtubatuba,36805,12950,23855,KwaZulu-Natal
103,KZN281,Mfolozi,26099,11291,14808,KwaZulu-Natal
104,KZN283,Ntambanana,16281,5750,10531,KwaZulu-Natal
105,KZN284,uMlalazi,44637,13911,30726,KwaZulu-Natal
