,geo_code,name,province,total,0-14,15-24,25-34,35-44,45-54,55-64
0,ZA,South Africa,South Africa,50929991,0.29112522325008855,0.19910675028393388,0.17236260654355898,0.12472554727135138,0.0946270538316019,0.06223443078951261
1,WC044,George,Western Cape,192398,0.26175947774924896,0.17489267040197923,0.1625380721213318,0.14484038295616378,0.11545858065052651,0.07545296728656223
2,WC047,Bitou,Western Cape,48713,0.2516987251862952,0.16108636298318724,0.19204319175579415,0.15858189805596043,0.10732248065198202,0.06491080409746885
3,WC048,Knysna,Western Cape,67992,0.24833803976938462,0.159915872455583,0.17569714084009883,0.14735557124367574,0.10554182845040593,0.07881809624661724
4,WC051,Laingsburg,Western Cape,8234,0.2598979839689094,0.1503521982025747,0.14950206461015303,0.15253825601165896,0.12411950449356328,0.08987126548457615
5,WC052,Prince Albert,Western Cape,13012,0.2953427605287427,0.17268675069166922,0.1428681217337842,0.13272363971718415,0.11889025514909314,0.07216415616354134
6,WC053,Beaufort West,Western Cape,48923,0.31318602702205506,0.1689798254399771,0.13983198086789445,0.1330049261083744,0.11193099360219119,0.07466835639678679
7,MP303,Mkhondo,Mpumalanga,142548,0.3596262311642394,0.21726015096669193,0.14884109212335495,0.10661671857900497,0.07734938406712125,0.048643264023346525
8,MP311,Victor Khanye,Mpumalanga,71487,0.28690531145522963,0.1915313273742079,0.18020059591254353,0.13010757200609901,0.10130513240169542,0.06388574146348287
9,MP322,Mbombela,North West,590441,0.3048399416707173,0.21525605437291787,0.17911696511590489,0.12481856781625937,0.08385427163764034,0.04967812194613856
10,NW373,Rustenburg,North West,543955,0.24117987701188517,0.17834931198352805,0.22089878758353174,0.15681811914588523,0.11514371593238411,0.05323050619996139
11,NW384,Ditsobotla,North West,163984,0.311506000585423,0.18365206361596254,0.15666772368035906,0.12251195238559859,0.10052200214655088,0.06743950629329691
12,NW396,Lekwa-Teemane,Northern Cape,52630,0.31056431692950787,0.18656659699790995,0.1554626638799164,0.11920957628728862,0.0963328899866996,0.06971309139274179
13,NC062,Nama Khoi,Northern Cape,47555,0.24344443276206498,0.16799495321207022,0.1398380822205867,0.1381768478603722,0.12105982546525076,0.09075806960361686
14,NC071,Ubuntu,Northern Cape,18272,0.3248686514886165,0.16993213660245185,0.13523423817863398,0.12735332749562173,0.10080998248686515,0.07038091068301226
15,NC077,Siyathemba,Northern Cape,21480,0.2958566108007449,0.16540968342644322,0.14166666666666666,0.1255586592178771,0.11284916201117319,0.07853817504655493
16,NC085,Tsantsabane,Northern Cape,35041,0.2672583544990154,0.18578236922462257,0.18478353928255473,0.13378613624040409,0.09694358037727234,0.06147084843469079
17,NC094,Phokwane,Western Cape,62926,0.31122270603566093,0.18180084543749803,0.1455678098083463,0.11774147411244955,0.09711407049550265,0.06776213329943108
18,WC012,Cederberg,Western Cape,50093,0.2540873974407602,0.1736969237218773,0.16728884275248038,0.1466272732717146,0.12195316710917693,0.07136725690216197
19,WC024,Stellenbosch,Western Cape,155330,0.22687825919011137,0.24634005021566988,0.17530419107706174,0.13250498937745445,0.10419751496813236,0.06453357368183867
20,WC033,Cape Agulhas,Western Cape,32821,0.233539502148015,0.16263977331586485,0.14947746869382408,0.14365802382620882,0.12988635324944395,0.08972913683312514
21,WC045,Oudtshoorn,Eastern Cape,94956,0.2822991701419605,0.18206327140991618,0.13678967100551834,0.13479927545389445,0.1129891739331901,0.07776233202746535
22,EC102,Blue Crane Route,Eastern Cape,35736,0.29043541526751737,0.16641481978956793,0.13815200358182225,0.12956122677412132,0.11929147078576226,0.08392097604656369
23,EC103,Ikwezi,Eastern Cape,10400,0.3089423076923077,0.16038461538461538,0.13365384615384615,0.12336538461538461,0.12653846153846154,0.07605769230769231
24,EC104,Makana,Eastern Cape,80109,0.24363055337103198,0.2186895355078705,0.15776005192924641,0.13074685740678327,0.11339549863311238,0.07125291789936213
