,geo_code,name,province,total,prop_yes,prop_no
0,ZA,South Africa,South Africa,9886916,0.9600055264958254,0.0348937929684039
1,WC044,George,Western Cape,32616,0.98448614177091,0.011620063772381653
2,WC047,Bitou,Western Cape,7572,0.9717379820390913,0.025752773375594295
3,WC048,Knysna,Western Cape,10615,0.9637305699481865,0.0335374470089496
4,WC051,Laingsburg,Western Cape,1177,0.9855564995751912,0.009345794392523364
5,WC052,Prince Albert,Western Cape,2227,0.9964077233947014,0.003143242029636282
6,WC053,Beaufort West,Western Cape,8126,0.9853556485355649,0.006030027073590943
7,MP303,Mkhondo,Mpumalanga,30525,0.980999180999181,0.01542997542997543
8,MP311,Victor Khanye,Mpumalanga,13535,0.9561876616180274,0.0379756187661618
9,MP322,Mbombela,North West,124575,0.9613004214328718,0.03443708609271523
10,NW373,Rustenburg,North West,94936,0.9129624167860453,0.08047526754866437
11,NW384,Ditsobotla,North West,29720,0.9826043068640646,0.01547779273216689
12,NW396,Lekwa-Teemane,Northern Cape,9567,0.9863070973136825,0.011079753318699696
13,NC062,Nama Khoi,Northern Cape,7484,0.9927846071619455,0.006547300908605024
14,NC071,Ubuntu,Northern Cape,3079,0.9840857421240663,0.013965573238064306
15,NC077,Siyathemba,Northern Cape,3468,0.9864475201845444,0.011534025374855825
16,NC085,Tsantsabane,Northern Cape,6422,0.9870756773590782,0.01058860168171909
17,NC094,Phokwane,Western Cape,11411,0.987380597668916,0.010516168609236702
18,WC012,Cederberg,Western Cape,8037,0.9652855543113102,0.02811994525320393
19,WC024,Stellenbosch,Western Cape,32264,0.9649764443342425,0.026066203818497398
20,WC033,Cape Agulhas,Western Cape,5242,0.9610835558946966,0.029378099961846624
21,WC045,Oudtshoorn,Eastern Cape,16354,0.9937018466430231,0.004830622477681301
22,EC102,Blue Crane Route,Eastern Cape,5857,0.9894143759603893,0.006829434864264982
23,EC103,Ikwezi,Eastern Cape,1662,0.9831528279181708,0.013237063778580024
24,EC104,Makana,Eastern Cape,13753,0.9746964298698466,0.021159019850214497
25,EC106,Sundays River Valley,Eastern Cape,9365,0.9618793379604912,0.03577148958889482
26,EC107,Baviaans,Eastern Cape,2794,0.9917680744452398,0.007516105941302791
27,EC108,Kouga,Eastern Cape,15720,0.9770356234096692,0.017938931297709924
28,EC109,Kou-Kamma,Eastern Cape,6672,0.9682254196642686,0.02772781774580336
29,EC121,Mbhashe,Eastern Cape,52649,0.9931052821516079,0.0036467929115462784
30,EC123,Great Kei,Eastern Cape,6666,0.9915991599159916,0.0027002700270027003
31,EC124,Amahlathi,Eastern Cape,22059,0.9941067138129561,0.004215966272269822
32,EC126,Ngqushwa,Eastern Cape,11954,0.992136523339468,0.004851932407562322
33,EC127,Nkonkobe,Eastern Cape,20924,0.9870005735041101,0.009510609826037087
34,EC131,Inxuba Yethemba,Eastern Cape,10970,0.9895168641750228,0.007748404740200547
35,EC132,Tsolwana,Eastern Cape,6263,0.9811591888871148,0.013412102826121666
36,EC133,Inkwanca,Eastern Cape,4122,0.9856865599223678,0.010674429888403688
37,EC134,Lukanji,Eastern Cape,36389,0.9832092115749265,0.014427436862788206
38,EC136,Emalahleni,Eastern Cape,22263,0.9870637380406954,0.009208103130755065
39,EC137,Engcobo,Eastern Cape,29896,0.9813352956917314,0.0060208723575060205
40,EC138,Sakhisizwe,Eastern Cape,12644,0.9822840873141411,0.009095223030686491
41,EC141,Elundini,Eastern Cape,28411,0.9835979022209708,0.01165041709197142
42,EC142,Senqu,Eastern Cape,27396,0.9581325740984086,0.03595415389107899
43,EC143,Maletswai,Eastern Cape,8097,0.9845621835247622,0.012597258243793997
44,EC153,Ngquza Hill,Eastern Cape,59427,0.9928988506907634,0.003449610446430074
45,EC154,Port St Johns,Eastern Cape,34389,0.9938061589461746,0.001512111430980837
46,EC155,Nyandeni,Eastern Cape,64655,0.9923285128760343,0.0028304075477534607
47,EC156,Mhlontlo,Eastern Cape,40277,0.9902177421357102,0.003376616927775157
48,EC441,Matatiele,Eastern Cape,41021,0.974110821286658,0.017088808171424393
49,EC442,Umzimvubu,Eastern Cape,39664,0.9877470754336426,0.004109519967728923
50,EC443,Mbizana,Eastern Cape,60208,0.9922435556736646,0.0021425724156258303
51,EC444,Ntabankulu,Free State,26569,0.9940155820693289,0.0031615792841281193
52,FS161,Letsemeng,Free State,6733,0.990049012327343,0.008911332244170504
53,FS162,Kopanong,Free State,8384,0.9862833969465649,0.012404580152671756
54,FS163,Mohokare,Free State,6421,0.9806883662980844,0.018377199813113223
55,FS181,Masilonyana,Free State,10944,0.9799890350877193,0.014437134502923976
56,FS182,Tokologo,Free State,4970,0.9847082494969819,0.01267605633802817
57,FS183,Tswelopele,Free State,8870,0.9896279594137543,0.00947012401352875
58,FS184,Matjhabeng,Free State,75962,0.9581764566493773,0.03900634527790211
59,FS185,Nala,Free State,14927,0.9878743216989349,0.009914919273799156
60,FS192,Dihlabeng,Free State,22404,0.986073915372255,0.012453133369041242
61,FS193,Nketoana,Free State,11392,0.9906952247191011,0.007900280898876405
62,FS194,Maluti a Phofung,Free State,72911,0.9911124521677113,0.007008544664042463
63,FS195,Phumelela,Free State,8899,0.9867400831554107,0.012810428137993032
64,FS201,Moqhaka,Free State,26470,0.9855685681904043,0.012278050623347185
65,FS203,Ngwathe,Free State,21159,0.9830332246325441,0.014981804433101754
66,FS204,Metsimaholo,Free State,26671,0.9751415394998313,0.021334033219601815
67,FS205,Mafube,Gauteng,10803,0.9870406368601314,0.010182356752753864
68,GT421,Emfuleni,Gauteng,137855,0.9597040368503137,0.03519640201661166
69,GT423,Lesedi,Gauteng,16975,0.9551693667157585,0.03988217967599411
70,GT481,Mogale City,Gauteng,61201,0.9187921765984216,0.07501511413212203
71,GT482,Randfontein,Gauteng,25429,0.9504109481300876,0.04435880294152346
72,GT483,Westonaria,KwaZulu-Natal,20140,0.8677259185700099,0.12591857000993048
73,KZN211,Vulamehlo,KwaZulu-Natal,15935,0.9926576717916535,0.000815814245371823
74,KZN212,Umdoni,KwaZulu-Natal,14818,0.9914293426913213,0.0035092455122148736
75,KZN213,Umzumbe,KwaZulu-Natal,33441,0.994736999491642,0.0018241081307377172
76,KZN214,UMuziwabantu,KwaZulu-Natal,20550,0.9950851581508516,0.0021897810218978104
77,KZN215,Ezingoleni,KwaZulu-Natal,10861,0.9961329527667803,0.0019335236166098885
78,KZN221,uMshwathi,KwaZulu-Natal,22178,0.9867887095319686,0.008567048426368472
79,KZN222,uMngeni,KwaZulu-Natal,15706,0.9592512415637336,0.035018464281166437
80,KZN223,Mpofana,KwaZulu-Natal,7273,0.9806132270039873,0.011962051423071635
81,KZN224,Impendle,KwaZulu-Natal,6857,0.9928540177920373,0.0035000729181857955
82,KZN225,The Msunduzi,KwaZulu-Natal,124237,0.980923557394335,0.014182570409781305
83,KZN226,Mkhambathini,KwaZulu-Natal,12647,0.9879813394480904,0.010674468253340712
84,KZN232,Emnambithi/Ladysmith,KwaZulu-Natal,46170,0.9873727528698288,0.008143816330950834
85,KZN233,Indaka,KwaZulu-Natal,21866,0.9957010884478186,0.0011890606420927466
86,KZN234,Umtshezi,KwaZulu-Natal,16072,0.9871826779492284,0.007217521154803385
87,KZN235,Okhahlamba,KwaZulu-Natal,26415,0.9918985424947946,0.006019307211811471
88,KZN236,Imbabazane,KwaZulu-Natal,23912,0.9944379391100703,0.0012964202074272331
89,KZN242,Nqutu,KwaZulu-Natal,34986,0.9957125707425828,0.0025724575544503517
90,KZN244,Msinga,KwaZulu-Natal,36125,0.9936332179930796,0.0016055363321799308
91,KZN245,Umvoti,KwaZulu-Natal,20838,0.9911699779249448,0.005806699299356944
92,KZN252,Newcastle,KwaZulu-Natal,75163,0.9877067174008488,0.008568045447893245
93,KZN254,Dannhauser,KwaZulu-Natal,21651,0.9957507736363217,0.002909796314258002
94,KZN261,eDumbe,KwaZulu-Natal,17002,0.986707446182802,0.009704740618750735
95,KZN262,UPhongolo,KwaZulu-Natal,28089,0.9756132293780484,0.020969062622378867
96,KZN263,Abaqulusi,KwaZulu-Natal,42523,0.9890412247489594,0.005667521106224867
97,KZN265,Nongoma,KwaZulu-Natal,43231,0.9922046679466124,0.0024750757558233676
98,KZN266,Ulundi,KwaZulu-Natal,39695,0.9926942939916866,0.0037032371835243735
99,KZN272,Jozini,KwaZulu-Natal,41474,0.9883782610792303,0.007474562376428606
100,KZN273,The Big 5 False Bay,KwaZulu-Natal,7481,0.9756717016441652,0.007485630263333779
101,KZN274,Hlabisa,KwaZulu-Natal,15989,0.9931828131840641,0.0020639189442741884
102,KZN275,Mtubatuba,KwaZulu-Natal,37293,0.9842597806558872,0.008339366637170515
